timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-08T00:00:03,39.65,771.26,26.13,1359.71,32.57,16.94,1026.54,914.89,0.15,0.15,0.2102,472.4884,30.0000,44.34,24.98,992.59,81.76,44.36
2024-02-08T00:00:08,39.58,771.29,26.16,1359.84,40.13,20.87,968.59,863.20,0.17,0.17,0.2100,472.0850,30.0000,44.33,24.97,992.61,47.48,25.76
2024-02-08T00:00:13,39.60,771.26,26.16,1359.77,65.94,34.29,987.91,880.43,0.21,0.21,0.2103,472.6450,30.0000,44.34,24.98,992.63,47.48,25.76
2024-02-08T00:00:18,39.56,771.32,26.14,1359.85,65.93,34.29,976.85,870.58,0.22,0.22,0.2102,472.5352,30.0000,44.35,24.98,992.62,56.27,30.53
2024-02-08T00:00:23,39.57,771.67,26.13,1360.53,59.65,31.02,985.18,877.97,0.19,0.19,0.2101,472.1660,30.0000,44.35,24.97,992.62,47.48,25.76
2024-02-08T00:00:28,39.54,771.98,26.12,1361.06,59.65,31.02,1001.75,892.74,0.17,0.17,0.2102,472.4714,30.0000,44.36,24.97,992.62,65.07,35.30
2024-02-08T00:00:33,39.57,772.07,26.13,1361.23,65.94,34.29,1004.51,895.20,0.18,0.18,0.2100,471.9786,30.0000,44.37,24.97,992.62,56.27,30.53
2024-02-08T00:00:38,39.59,771.82,26.14,1360.76,46.42,24.14,987.92,880.43,0.16,0.16,0.2101,472.1878,30.0000,44.38,24.97,992.60,47.48,25.76
2024-02-08T00:00:43,39.58,771.72,26.14,1360.58,59.65,31.02,976.87,870.58,0.16,0.16,0.2100,472.1465,30.0000,44.39,24.97,992.60,39.55,21.46
2024-02-08T00:00:48,39.61,771.84,26.14,1360.80,52.73,27.42,990.69,882.89,0.13,0.13,0.2104,472.8651,30.0000,44.37,24.97,992.61,39.55,21.46
2024-02-08T00:00:53,39.60,772.13,26.14,1361.33,65.94,34.29,971.36,865.66,0.10,0.10,0.2105,473.0593,30.0000,44.37,24.97,992.62,56.27,30.53
2024-02-08T00:00:58,39.54,772.57,26.14,1362.05,59.65,31.02,979.60,873.04,0.07,0.07,0.2105,473.0954,30.0000,44.36,24.97,992.58,30.76,16.69
2024-02-08T00:01:03,39.61,772.44,26.12,1361.85,46.42,24.14,976.86,870.58,0.09,0.09,0.2101,472.3588,30.0000,44.36,24.97,992.59,39.55,21.46
