timestamp(UTC),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPid_P3-PPB(ppm),NetPid_P3-PPB_ug,NetPid_P3-TEMP(°C),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_O3-O3_ug,NetADC_O3-O3(ppb)
2024-02-14T00:00:03,15.89,8.53,20.77,1101.59,28.47,1962.46,1.40,1.21,8194.45,7227.33,0.9,2107.5,33.0,0.6722,1526.8285,35.0000,27.46,26.20,1007.12,32.43,16.69
2024-02-14T00:00:08,-7.56,-4.06,21.20,1101.04,28.41,1961.66,1.45,1.26,8266.03,7289.77,0.9,2103.1,33.0,0.6711,1524.3865,35.0000,27.76,26.17,1007.11,3.03,1.56
2024-02-14T00:00:13,-8.42,-4.52,21.41,1100.78,28.41,1961.40,1.28,1.11,8290.51,7310.58,0.9,2101.5,33.0,0.6686,1518.8205,35.0000,27.98,26.14,1007.12,3.03,1.56
2024-02-14T00:00:19,-0.61,-0.33,21.36,1100.67,28.37,1961.40,1.23,1.07,8244.09,7268.95,0.9,2099.3,33.0,0.6666,1514.4871,35.0000,27.92,26.11,1007.11,10.05,5.17
2024-02-14T00:00:24,-17.10,-9.18,21.21,1100.40,28.37,1961.01,1.37,1.19,8273.28,7294.39,0.9,2096.6,33.0,0.6658,1512.7171,35.0000,27.76,26.09,1007.09,-25.66,-13.20
2024-02-14T00:00:29,-17.10,-9.18,20.86,1101.01,28.32,1962.28,1.52,1.32,8213.76,7241.20,0.9,2105.9,33.0,0.6656,1512.4655,35.0000,27.47,26.06,1007.08,-32.66,-16.80
2024-02-14T00:00:35,-17.98,-9.65,20.57,1100.71,28.31,1962.00,1.51,1.31,8264.71,7285.14,0.9,2112.1,33.0,0.6662,1513.9758,35.0000,26.90,26.03,1007.12,-53.68,-27.61
2024-02-14T00:00:40,15.02,8.06,19.96,1100.02,28.24,1960.89,1.43,1.24,8273.04,7292.08,0.9,2112.6,33.0,0.6677,1517.4658,35.0000,26.68,26.01,1007.11,-45.98,-23.65
2024-02-14T00:00:45,-10.16,-5.45,19.58,1100.20,28.22,1961.43,1.39,1.20,8271.36,7289.77,0.9,2126.5,33.0,0.6690,1520.4938,35.0000,25.97,25.98,1007.12,-67.69,-34.81
2024-02-14T00:00:51,-10.16,-5.45,19.13,1099.83,28.18,1960.94,1.35,1.17,8177.62,7206.52,0.9,2131.6,33.0,0.6706,1524.4663,35.0000,25.68,25.95,1007.11,-74.69,-38.41
2024-02-14T00:00:56,-26.68,-14.31,18.81,1099.93,28.18,1961.27,1.22,1.06,8201.84,7227.33,0.9,2136.0,33.0,0.6729,1529.7176,35.0000,25.36,25.93,1007.11,-45.29,-23.29
2024-02-14T00:01:02,-9.30,-4.99,18.66,1099.81,28.17,1961.19,1.11,0.96,8199.77,7225.02,0.9,2135.4,33.0,0.6746,1533.5823,35.0000,25.33,25.91,1007.11,-24.27,-12.48
2024-02-14T00:01:07,-1.47,-0.79,18.76,1099.93,28.11,1961.57,0.96,0.83,8203.13,7227.33,0.9,2138.5,33.0,0.6759,1536.7836,35.0000,25.47,25.88,1007.10,-53.70,-27.61
2024-02-14T00:01:12,-0.62,-0.33,19.06,1099.91,28.09,1961.71,0.84,0.72,8146.10,7176.45,0.9,2138.5,33.0,0.6768,1538.9173,35.0000,25.71,25.85,1007.09,-24.98,-12.84
2024-02-14T00:01:18,8.07,4.33,19.39,1099.85,28.07,1961.76,0.77,0.67,8178.24,7204.20,0.9,2131.0,33.0,0.6758,1536.8576,35.0000,26.24,25.83,1007.10,-10.97,-5.64
2024-02-14T00:01:23,8.07,4.33,20.09,1099.41,28.05,1961.11,0.78,0.67,8165.71,7192.64,0.9,2127.5,33.0,0.6736,1531.8569,35.0000,26.78,25.80,1007.08,10.76,5.53
2024-02-14T00:01:28,41.98,22.51,20.54,1100.40,28.05,1963.13,0.79,0.68,8177.26,7201.89,0.9,2118.7,33.0,0.6713,1526.8580,35.0000,27.32,25.78,1007.14,31.77,16.33
2024-02-14T00:01:34,0.26,0.14,21.16,1101.41,28.01,1964.90,0.85,0.74,8153.44,7181.08,0.9,2111.2,33.0,0.6687,1520.9923,35.0000,27.82,25.77,1007.08,10.06,5.17
2024-02-14T00:01:39,0.26,0.14,21.49,1101.54,28.00,1965.28,0.83,0.71,8180.37,7204.20,0.9,2103.8,33.0,0.6664,1515.7789,34.0000,28.25,25.76,1007.13,45.81,23.54
2024-02-14T00:01:44,33.29,17.85,21.93,1101.96,27.98,1966.05,0.95,0.82,8127.93,7157.95,0.9,2104.6,33.0,0.6645,1511.4274,35.0000,28.60,25.74,1007.07,31.78,16.33
2024-02-14T00:01:50,33.30,17.85,21.94,1101.97,27.97,1966.17,0.91,0.78,8149.34,7176.45,0.9,2096.9,33.0,0.6627,1507.4431,34.0000,28.67,25.73,1007.09,24.77,12.73
2024-02-14T00:01:55,-0.62,-0.33,21.85,1101.90,27.94,1966.18,0.90,0.77,8149.89,7176.45,0.9,2099.2,33.0,0.6611,1504.0148,34.0000,28.53,25.71,1007.09,17.77,9.13
2024-02-14T00:02:00,8.08,4.33,21.62,1101.82,27.91,1966.19,0.89,0.76,8221.42,7238.89,0.9,2105.6,33.0,0.6612,1504.3294,34.0000,28.38,25.70,1007.13,-17.98,-9.24
2024-02-14T00:02:06,-9.31,-4.99,21.29,1102.25,27.90,1966.95,0.96,0.82,8166.23,7190.33,0.9,2106.8,33.0,0.6614,1504.7484,34.0000,28.01,25.69,1007.09,-32.00,-16.44
2024-02-14T00:02:11,-17.13,-9.18,21.03,1102.24,27.86,1967.04,1.03,0.89,8203.46,7222.70,0.9,2112.0,33.0,0.6620,1506.0883,34.0000,27.64,25.67,1007.08,-3.27,-1.68
