timestamp(UTC),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_O3-O3_ug,NetADC_O3-O3(ppb)
2024-02-06T09:52:04,76.42,40.54,51.92,1053.95,20.45,1900.33,19341.23,16854.36,3.72,2.89,0.8368,1923.6001,20.0000,56.69,20.05,998.36,70.01,35.60
2024-02-06T09:52:09,58.43,31.00,51.84,1053.81,20.50,1899.89,19409.88,16915.90,3.16,2.53,0.7476,1718.4774,20.0000,56.62,20.08,998.37,64.20,32.65
2024-02-06T09:52:14,67.41,35.77,51.79,1057.91,20.54,1907.00,19421.09,16928.21,2.81,2.26,0.6034,1386.7536,20.0000,56.60,20.11,998.32,57.11,29.05
2024-02-06T09:52:19,58.41,31.00,51.74,1058.37,20.58,1907.64,19385.35,16898.67,2.53,2.00,0.4995,1147.7455,20.0000,56.46,20.13,998.29,71.26,36.25
2024-02-06T09:52:24,75.50,40.07,51.61,1057.89,20.65,1906.69,19373.15,16888.82,2.18,1.74,0.4340,997.2804,20.0000,56.39,20.16,998.35,64.18,32.65
2024-02-06T09:52:29,50.32,26.71,51.48,1059.53,20.68,1909.50,19385.81,16901.13,2.00,1.61,0.3976,913.5482,20.0000,56.32,20.19,998.37,64.83,32.98
2024-02-06T09:52:34,58.40,31.00,51.40,1060.48,20.69,1911.00,19338.39,16861.74,2.42,1.88,0.3683,846.0627,20.0000,56.29,20.21,998.33,71.24,36.25
2024-02-06T09:52:39,75.48,40.07,51.31,1063.69,20.79,1916.66,19427.53,16940.52,2.61,1.99,0.3470,797.1548,20.0000,56.16,20.23,998.33,57.74,29.38
2024-02-06T09:52:44,58.39,31.00,51.17,1065.54,20.82,1919.72,19345.77,16871.59,2.61,1.98,0.3297,757.3235,21.0000,56.06,20.26,998.29,71.88,36.58
2024-02-06T09:52:49,58.38,31.00,51.02,1069.05,20.85,1925.78,19354.37,16881.44,3.29,2.38,0.3170,728.1049,21.0000,55.99,20.29,998.26,64.80,32.98
2024-02-06T09:52:54,84.42,44.83,50.95,1070.87,20.89,1928.99,17110.07,14924.39,4.71,3.30,0.3056,701.7346,21.0000,55.94,20.31,998.29,64.79,32.98
2024-02-06T09:52:59,67.35,35.77,50.85,1074.75,20.93,1935.68,13111.87,11438.63,5.02,3.57,0.2981,684.5072,21.0000,55.97,20.35,998.28,64.78,32.98
2024-02-06T09:53:04,67.35,35.77,50.76,1076.02,20.98,1937.84,10455.85,9122.18,4.99,3.57,0.2903,666.5255,21.0000,55.99,20.37,998.28,78.27,39.85
2024-02-06T09:53:09,93.38,49.60,50.74,1077.46,21.00,1940.26,8632.33,7531.93,5.29,3.71,0.2835,650.7928,21.0000,56.01,20.39,998.26,78.27,39.85
2024-02-06T09:53:14,76.32,40.54,50.76,1081.70,21.05,1947.76,7283.23,6355.24,5.40,3.77,0.2775,637.0284,21.0000,56.04,20.41,998.26,71.84,36.58
2024-02-06T09:53:19,58.35,31.00,50.75,1088.66,21.09,1960.02,6334.41,5528.11,5.01,3.48,0.2722,624.7607,21.0000,56.10,20.44,998.21,78.25,39.85
2024-02-06T09:53:24,67.32,35.77,50.78,1093.42,21.10,1968.45,5637.28,4920.07,4.18,2.91,0.2682,615.6095,21.0000,56.08,20.47,998.25,78.24,39.85
2024-02-06T09:53:29,67.32,35.77,50.75,1109.82,21.14,1997.94,5098.46,4449.89,3.60,2.55,0.2638,605.4658,21.0000,56.07,20.49,998.29,65.40,33.31
2024-02-06T09:53:34,50.27,26.71,50.73,1161.58,21.20,2090.97,4720.18,4120.02,3.23,2.27,0.2593,595.0596,22.0000,56.11,20.51,998.29,64.75,32.98
2024-02-06T09:53:39,67.31,35.77,50.70,1165.54,21.25,2098.06,4342.17,3790.15,2.99,2.10,0.2563,588.2139,22.0000,56.09,20.54,998.37,64.75,32.98
2024-02-06T09:53:44,50.26,26.71,50.71,1174.63,21.26,2114.17,4107.62,3585.83,3.15,2.18,0.2532,581.0112,22.0000,56.13,20.56,998.33,91.73,46.73
2024-02-06T09:53:49,84.34,44.83,50.70,1173.63,21.29,2112.06,3841.99,3354.43,3.28,2.25,0.2501,573.8374,22.0000,56.04,20.59,998.29,78.22,39.85
2024-02-06T09:53:54,76.26,40.54,50.60,1177.35,21.34,2118.41,3627.10,3167.34,3.08,2.12,0.2481,569.1178,22.0000,56.14,20.62,998.22,78.85,40.18
2024-02-06T09:53:59,67.28,35.77,50.66,1181.56,21.37,2125.77,3511.15,3066.41,3.12,2.14,0.2459,564.0104,22.0000,56.01,20.64,998.18,71.78,36.58
2024-02-06T09:54:04,49.33,26.23,50.56,1183.53,21.41,2129.09,3316.35,2896.56,3.02,2.07,0.2431,557.6614,22.0000,55.78,20.67,998.19,78.83,40.18
2024-02-06T09:54:09,67.27,35.77,50.29,1182.70,21.44,2127.56,3197.92,2793.17,2.83,1.95,0.2408,552.3276,22.0000,55.79,20.69,998.24,78.83,40.18
2024-02-06T09:54:14,59.20,31.48,50.29,1183.36,21.46,2128.53,3110.21,2716.85,2.68,1.85,0.2389,547.7765,22.0000,55.83,20.72,998.24,65.35,33.31
2024-02-06T09:54:19,50.22,26.71,50.31,1181.56,21.48,2125.10,2980.32,2603.61,2.79,1.91,0.2372,543.8706,22.0000,55.78,20.74,998.22,92.31,47.06
