timestamp(UTC),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetBME280-HPA(hPa),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB_ug,NetPid_P1-PPB(ppm),NetPid_P1-TEMP(°C),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_NO2-NO2(ppb),NetADC_NO2-NO2_ug,NetCO2-HUM(%),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetCO2-CO2(ppm)
2024-02-05T00:10:00,50.20,44.26,998.46,43.36,23.56,0.25,0.25,422.6939,0.1861,29.0000,77.98,40.12,28.30,52.72,37.85,25.03,904.18,507.42
2024-02-05T00:20:00,51.06,45.02,998.49,43.36,23.55,0.27,0.27,422.4437,0.1859,29.0000,78.67,40.48,28.43,52.97,37.84,25.04,905.64,508.22
2024-02-05T00:30:00,49.04,43.24,998.52,43.37,23.55,0.24,0.24,422.0378,0.1858,29.0000,78.81,40.55,27.83,51.85,37.83,25.04,899.86,504.96
2024-02-05T00:40:00,50.18,44.24,998.45,43.36,23.55,0.24,0.24,421.7623,0.1856,29.0000,78.26,40.27,29.14,54.28,37.83,25.04,899.42,504.75
2024-02-05T00:50:00,46.86,41.32,998.43,43.36,23.55,0.24,0.24,421.3664,0.1855,29.0000,79.84,41.08,28.68,53.42,37.83,25.04,905.77,508.32
2024-02-05T01:00:00,46.20,40.74,998.44,43.36,23.55,0.26,0.26,421.0636,0.1853,29.0000,79.08,40.69,29.34,54.66,37.84,25.03,901.94,506.16
2024-02-05T01:10:00,43.57,38.41,998.47,43.37,23.55,0.24,0.24,420.4095,0.1850,29.0000,78.06,40.16,29.01,54.04,37.85,25.03,905.63,508.22
2024-02-05T01:20:00,43.02,37.93,998.51,43.37,23.55,0.23,0.23,419.5408,0.1847,29.0000,78.75,40.51,28.20,52.55,37.84,25.03,897.75,503.77
2024-02-05T01:30:00,41.59,36.67,998.54,43.35,23.55,0.21,0.21,418.4634,0.1842,29.0000,78.80,40.54,28.16,52.46,37.83,25.03,897.19,503.45
2024-02-05T01:40:00,39.60,34.91,998.57,43.36,23.55,0.21,0.21,417.8066,0.1839,29.0000,79.67,40.99,29.22,54.44,37.84,25.03,886.26,497.30
2024-02-05T01:50:00,39.57,34.89,998.52,43.37,23.54,0.23,0.23,417.4411,0.1837,29.0000,78.33,40.30,28.48,53.06,37.84,25.03,892.73,500.94
2024-02-05T02:00:00,38.37,33.83,998.51,43.37,23.54,0.22,0.22,416.9750,0.1835,29.0000,78.81,40.55,28.31,52.75,37.84,25.03,899.10,504.52
2024-02-05T02:10:00,34.60,30.50,998.46,43.37,23.54,0.22,0.22,416.4047,0.1833,29.0000,78.68,40.48,28.50,53.10,37.84,25.02,892.56,500.88
2024-02-05T02:20:00,35.23,31.06,998.51,43.36,23.55,0.18,0.18,416.1347,0.1832,29.0000,77.42,39.83,29.30,54.58,37.84,25.03,886.33,497.36
2024-02-05T02:30:00,34.53,30.44,998.53,43.35,23.55,0.20,0.20,415.4861,0.1829,29.0000,78.39,40.33,29.76,55.45,37.84,25.02,890.42,499.65
2024-02-05T02:40:00,33.78,29.78,998.52,43.37,23.55,0.19,0.19,415.0761,0.1827,29.0000,79.14,40.72,30.09,56.07,37.85,25.03,897.42,503.58
2024-02-05T02:50:00,34.75,30.64,998.48,43.38,23.54,0.18,0.18,415.0475,0.1827,29.0000,78.34,40.31,28.74,53.54,37.85,25.03,897.37,503.57
2024-02-05T03:00:00,34.46,30.38,998.44,43.39,23.54,0.21,0.21,414.7064,0.1825,29.0000,78.69,40.49,29.17,54.34,37.86,25.03,894.82,502.15
2024-02-05T03:10:00,31.78,28.02,998.38,43.41,23.54,0.18,0.18,414.8015,0.1826,29.0000,80.28,41.31,28.61,53.29,37.87,25.02,900.39,505.31
2024-02-05T03:20:00,32.53,28.68,998.44,43.42,23.54,0.19,0.19,414.7635,0.1826,29.0000,80.05,41.19,28.93,53.89,37.87,25.02,900.50,505.34
2024-02-05T03:30:00,33.42,29.46,998.54,43.41,23.55,0.15,0.15,414.4845,0.1824,29.0000,78.87,40.58,28.67,53.41,37.88,25.02,906.74,508.80
2024-02-05T03:40:00,30.85,27.20,998.58,43.42,23.54,0.15,0.15,414.2369,0.1823,29.0000,79.21,40.75,28.60,53.29,37.88,25.03,904.63,507.59
2024-02-05T03:50:00,25.88,22.81,998.60,43.41,23.55,0.19,0.19,413.4563,0.1820,29.0000,79.87,41.09,28.23,52.59,37.88,25.02,899.71,504.82
2024-02-05T04:00:00,27.44,24.19,998.61,43.42,23.54,0.17,0.17,413.2759,0.1819,29.0000,79.33,40.81,29.29,54.58,37.89,25.02,901.90,506.03
2024-02-05T04:10:00,26.94,23.75,998.63,43.42,23.54,0.18,0.18,412.8189,0.1817,29.0000,79.93,41.12,28.45,53.02,37.89,25.01,901.87,506.01
2024-02-05T04:20:00,26.76,23.59,998.69,43.43,23.53,0.16,0.16,412.6772,0.1816,29.0000,79.40,40.84,28.72,53.52,37.89,25.02,889.42,498.99
2024-02-05T04:30:00,26.11,23.01,998.73,43.43,23.54,0.14,0.14,412.6991,0.1816,29.0000,77.94,40.09,28.94,53.92,37.89,25.02,888.26,498.32
2024-02-05T04:40:00,24.77,21.83,998.79,43.42,23.54,0.18,0.18,412.0565,0.1813,29.0000,78.44,40.35,28.30,52.74,37.88,25.03,892.66,500.77
