timestamp(UTC),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetBME280-HPA(hPa),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB_ug,NetPid_P1-PPB(ppm),NetPid_P1-TEMP(°C),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_NO2-NO2(ppb),NetADC_NO2-NO2_ug,NetCO2-HUM(%),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetCO2-CO2(ppm)
2024-02-05T01:00:00,48.92,43.14,998.46,43.36,23.55,0.25,0.25,421.8946,0.1857,29.0000,78.77,40.53,28.62,53.32,37.84,25.04,902.80,506.64
2024-02-05T02:00:00,40.95,36.11,998.52,43.36,23.55,0.22,0.22,418.4394,0.1842,29.0000,78.74,40.51,28.56,53.21,37.84,25.03,896.44,503.03
2024-02-05T03:00:00,34.56,30.47,998.49,43.37,23.54,0.20,0.20,415.4759,0.1829,29.0000,78.44,40.36,29.26,54.51,37.85,25.03,893.15,501.20
2024-02-05T04:00:00,30.31,26.73,998.52,43.42,23.54,0.17,0.17,414.1698,0.1823,29.0000,79.60,40.95,28.72,53.51,37.88,25.02,902.31,506.32
2024-02-05T05:00:00,25.82,22.76,998.73,43.42,23.54,0.16,0.16,412.2072,0.1814,29.0000,78.85,40.56,28.53,53.17,37.88,25.03,892.91,500.94
2024-02-05T06:00:00,25.07,22.10,998.96,43.29,23.63,0.16,0.16,411.6610,0.1812,29.0000,79.10,40.69,28.77,53.60,37.79,25.11,886.11,497.17
2024-02-05T07:00:00,21.90,19.29,999.43,43.38,23.59,0.16,0.16,412.8891,0.1816,29.0000,79.38,40.81,29.13,54.31,37.87,25.07,887.59,497.69
2024-02-05T08:00:00,-39.62,-34.67,999.71,43.98,23.01,1.10,1.03,369.2611,0.1621,28.4625,94.22,48.31,31.71,59.27,38.37,24.45,898.66,502.75
2024-02-05T09:00:00,-72.26,-63.32,1000.04,45.40,22.44,2.32,1.96,336.3339,0.1473,27.7944,89.18,45.63,30.42,56.97,39.60,23.85,971.03,542.03
2024-02-05T10:00:00,10.94,9.62,1000.53,45.38,23.20,2.07,1.75,364.8511,0.1601,28.8639,81.35,41.72,29.24,54.64,39.71,24.61,1439.14,805.05
2024-02-05T11:00:00,54.48,47.96,1000.65,46.94,23.69,2.06,1.73,393.8586,0.1731,29.0000,79.74,40.96,28.14,52.52,41.21,25.10,2284.52,1279.89
2024-02-05T12:00:00,76.31,67.25,1000.37,46.85,23.92,2.60,2.15,411.1344,0.1808,29.2698,78.35,40.29,26.87,50.10,41.15,25.36,2858.01,1602.81
2024-02-05T13:00:00,9.43,8.31,999.95,43.11,23.91,5.10,4.10,370.9674,0.1632,29.2625,85.22,43.84,26.30,49.00,37.87,25.33,2154.16,1208.54
2024-02-05T14:00:00,-8.65,-7.64,999.47,40.78,24.28,5.38,4.30,345.8709,0.1525,29.9653,92.74,47.79,28.08,52.24,35.78,25.69,1643.18,923.45
2024-02-05T15:00:00,18.97,16.79,999.23,39.98,24.73,5.23,4.10,341.9454,0.1510,30.0000,94.76,48.91,29.66,55.08,35.11,26.13,1570.77,884.32
2024-02-06T10:00:00,3800.61,3319.85,997.20,56.55,20.87,2.29,1.78,710.8341,0.3103,23.6444,119.16,60.82,36.81,69.13,49.38,22.24,2160.65,1203.11
2024-02-06T11:00:00,1354.76,1196.97,997.00,48.58,23.75,3.02,2.11,567.5762,0.2504,28.5789,66.73,34.39,19.39,36.07,42.56,25.28,2397.98,1348.69
2024-02-06T12:00:00,1490.58,1317.52,996.48,46.93,23.69,1.54,1.13,581.4110,0.2565,29.0000,65.57,33.82,21.42,39.81,41.32,25.09,2641.41,1485.95
2024-02-06T13:00:00,976.67,818.57,995.87,33.58,5.37,0.66,0.55,488.6865,0.2028,12.4325,78.08,36.82,46.47,93.93,28.61,7.31,2861.42,1508.47
2024-02-06T14:00:00,1383.07,1181.57,995.25,69.00,11.06,0.85,0.70,581.8609,0.2467,17.1794,116.92,57.61,24.68,48.75,55.45,13.52,3433.45,1856.01
2024-02-06T15:00:00,1262.40,1117.08,994.76,51.23,23.54,0.37,0.33,604.3217,0.2670,29.2472,44.18,22.82,12.48,23.16,44.33,25.28,3374.81,1900.82
2024-02-06T16:00:00,1235.20,1096.59,994.29,48.76,24.33,0.40,0.35,606.8291,0.2689,30.0000,63.56,32.93,21.06,38.97,42.77,25.87,3175.90,1794.45
2024-02-06T17:00:00,1275.52,1133.39,993.95,48.45,24.49,0.36,0.33,612.4696,0.2717,30.0000,69.93,36.26,24.23,44.79,42.73,25.93,3038.94,1718.59
2024-02-06T18:00:00,1285.80,1143.20,993.51,48.47,24.54,0.31,0.31,614.9772,0.2729,30.0000,72.35,37.54,25.79,47.64,42.76,25.99,2904.94,1643.79
2024-02-06T19:00:00,1290.60,1148.54,992.94,48.30,24.65,0.31,0.30,616.2137,0.2738,30.0000,72.04,37.41,25.79,47.60,42.72,26.04,2777.39,1573.09
2024-02-06T20:00:00,1279.30,1139.22,992.40,48.21,24.68,0.30,0.30,615.6068,0.2737,30.0000,71.77,37.29,25.87,47.73,42.63,26.08,2671.92,1514.34
2024-02-06T21:00:00,1259.32,1121.68,992.24,48.09,24.70,0.29,0.29,613.8498,0.2729,30.0000,72.17,37.51,26.51,48.89,42.51,26.11,2538.51,1439.04
2024-02-06T22:00:00,1248.40,1112.51,991.81,47.96,24.72,0.29,0.29,612.6513,0.2725,30.0000,72.42,37.66,26.23,48.35,42.38,26.13,2455.31,1392.58
2024-02-06T23:00:00,1241.53,1107.01,991.34,47.82,24.74,0.28,0.28,611.8944,0.2724,30.0000,72.36,37.65,26.33,48.51,42.25,26.15,2381.24,1351.32
2024-02-07T00:00:00,1241.34,1107.57,990.71,47.68,24.75,0.29,0.29,611.4589,0.2723,30.0000,72.15,37.57,26.60,48.97,42.13,26.16,2311.32,1312.51
2024-02-07T01:00:00,1227.51,1096.03,990.01,47.47,24.76,0.32,0.32,608.8165,0.2714,30.0000,71.11,37.05,26.18,48.16,41.98,26.15,2213.01,1257.61
2024-02-07T02:00:00,1209.96,1081.15,989.15,47.42,24.72,0.32,0.32,606.3789,0.2705,30.0000,72.43,37.77,27.19,49.99,41.88,26.14,2124.31,1208.07
2024-02-07T03:00:00,1197.03,1070.46,988.32,47.32,24.71,0.32,0.32,604.5324,0.2699,30.0000,72.60,37.88,26.63,48.92,41.77,26.14,2051.77,1167.77
2024-02-07T04:00:00,1192.68,1067.40,987.55,47.21,24.71,0.32,0.32,603.6322,0.2697,30.0000,72.94,38.09,26.69,48.99,41.66,26.14,1978.47,1126.92
2024-02-07T05:00:00,1185.54,1061.83,986.84,47.07,24.72,0.35,0.35,602.9250,0.2696,30.0000,73.20,38.26,27.16,49.82,41.52,26.16,1916.22,1092.32
2024-02-07T06:00:00,1176.12,1052.93,987.35,46.96,24.74,0.33,0.33,602.5832,0.2693,30.0000,71.86,37.54,27.21,49.92,41.40,26.18,1873.12,1067.28
2024-02-07T07:00:00,1178.88,1053.98,988.69,46.93,24.75,0.35,0.35,604.5952,0.2698,30.0000,72.35,37.74,27.11,49.81,41.33,26.20,1837.03,1045.31
2024-02-07T08:00:00,1054.40,941.64,989.84,46.88,24.76,0.37,0.37,598.3744,0.2668,30.0014,71.78,37.41,27.48,50.54,41.28,26.22,1780.75,1012.13
2024-02-07T09:00:00,914.76,816.18,990.61,46.51,24.72,0.34,0.34,586.3376,0.2612,30.0000,72.79,37.90,27.50,50.63,40.95,26.19,1666.67,946.45
2024-02-07T10:00:00,937.93,836.40,991.02,46.56,24.68,0.35,0.35,588.5953,0.2620,30.0000,73.50,38.25,27.24,50.18,40.98,26.15,1635.17,928.04
2024-02-07T11:00:00,913.30,814.17,991.33,46.61,24.68,0.33,0.33,586.9404,0.2612,30.0000,73.51,38.24,27.77,51.17,41.03,26.15,1589.18,901.65
2024-02-07T12:00:00,921.55,821.55,991.25,46.65,24.66,0.30,0.30,588.4315,0.2619,30.0000,73.52,38.25,27.31,50.32,41.05,26.14,1543.10,875.54
2024-02-07T13:00:00,928.02,826.99,991.58,46.60,24.64,0.29,0.29,590.0807,0.2625,30.0000,72.88,37.90,27.23,50.19,40.99,26.13,1502.10,851.93
2024-02-07T14:00:00,930.03,828.57,991.79,46.52,24.63,0.26,0.26,591.5876,0.2631,30.0000,72.28,37.58,27.00,49.78,40.92,26.11,1456.47,825.84
2024-02-07T15:00:00,845.38,752.99,992.01,46.06,24.63,0.24,0.24,579.0687,0.2575,30.0000,72.19,37.52,27.20,50.16,40.51,26.12,1402.99,795.34
2024-02-07T16:00:00,863.57,769.02,992.14,46.18,24.60,0.23,0.23,583.2014,0.2593,30.0000,73.72,38.31,27.30,50.36,40.61,26.09,1385.29,785.13
2024-02-07T17:00:00,885.62,788.38,992.43,46.29,24.59,0.23,0.23,589.1056,0.2618,30.0000,73.49,38.17,27.45,50.66,40.70,26.07,1381.09,782.48
