timestamp(UTC),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPid_P3-PPB(ppm),NetPid_P3-PPB_ug,NetPid_P3-TEMP(°C),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_O3-O3_ug,NetADC_O3-O3(ppb)
2024-02-08T08:03:46,48.60,25.77,59.43,854.30,18.21,1541.08,2.54,1.89,18197.92,15850.64,-0.3,-739.5,16.0,0.7732,1778.3580,17.0000,67.12,17.74,990.96,47.73,24.26
2024-02-08T08:03:51,89.89,47.67,59.22,845.41,18.27,1524.87,2.32,1.67,18227.71,15878.39,0.5,1222.8,16.0,0.9929,2283.2392,17.0000,66.97,17.78,990.98,63.31,32.18
2024-02-08T08:03:57,64.40,34.16,59.00,834.48,18.34,1504.82,1.96,1.45,18202.52,15859.89,0.5,1239.0,17.0,0.9369,2154.0213,17.0000,66.94,17.81,990.87,71.08,36.14
2024-02-08T08:04:02,38.91,20.64,58.90,825.16,18.37,1487.98,1.59,1.21,18202.07,15859.89,0.5,1227.0,17.0,0.8937,2054.5614,17.0000,66.89,17.85,990.98,78.87,40.10
2024-02-08T08:04:07,104.81,55.60,58.71,812.91,18.47,1465.78,1.21,0.99,18216.75,15873.77,0.5,1206.0,17.0,0.8618,1981.2096,17.0000,66.81,17.87,990.98,86.67,44.07
2024-02-08T08:04:13,71.41,37.89,58.52,805.35,18.54,1451.91,1.21,0.98,18181.80,15846.02,0.5,1186.8,17.0,0.8407,1932.4307,17.0000,66.65,17.92,990.98,72.48,36.86
2024-02-08T08:04:18,53.84,28.57,58.11,794.39,18.62,1431.98,1.03,0.84,18238.04,15896.89,0.5,1164.1,17.0,0.8232,1891.9318,17.0000,66.47,17.94,990.93,123.45,62.79
2024-02-08T08:04:23,79.29,42.08,57.86,787.59,18.68,1419.52,0.84,0.69,18166.34,15836.77,0.5,1142.4,17.0,0.8066,1853.4221,18.0000,66.29,17.99,990.96,73.87,37.58
2024-02-08T08:04:29,61.72,32.76,57.57,778.80,18.76,1403.50,0.73,0.60,18185.29,15855.27,0.5,1127.9,17.0,0.7885,1811.7421,18.0000,66.10,18.03,990.97,95.82,48.75
2024-02-08T08:04:34,78.41,41.62,57.38,775.37,18.82,1397.24,0.64,0.52,18173.61,15846.02,0.5,1114.8,18.0,0.7776,1786.6017,18.0000,66.02,18.06,991.01,88.74,45.15
2024-02-08T08:04:39,69.62,36.96,57.11,768.63,18.92,1384.82,0.66,0.54,18194.04,15866.83,0.5,1100.3,18.0,0.7689,1766.1770,18.0000,65.87,18.10,990.96,110.65,56.31
2024-02-08T08:04:45,44.15,23.44,56.95,765.36,18.96,1378.79,0.79,0.63,18160.37,15839.08,0.5,1082.6,18.0,0.7586,1742.2347,18.0000,65.83,18.13,990.96,104.27,53.07
2024-02-08T08:04:50,44.14,23.44,56.70,761.59,19.05,1371.75,0.72,0.57,18167.64,15848.33,0.5,1070.6,18.0,0.7521,1726.9954,18.0000,65.71,18.18,990.95,82.31,41.90
2024-02-08T08:04:56,77.48,41.15,56.55,758.74,19.09,1366.47,0.62,0.49,18186.95,15866.83,0.5,1060.8,18.0,0.7448,1710.2713,18.0000,65.55,18.20,990.92,104.95,53.43
2024-02-08T08:05:01,52.01,27.63,56.36,756.33,19.16,1361.94,0.57,0.46,18157.83,15843.70,0.5,1052.1,18.0,0.7362,1690.1969,19.0000,65.49,18.25,990.94,112.01,57.03
2024-02-08T08:05:06,77.46,41.15,56.21,755.54,19.23,1360.31,0.51,0.42,18192.18,15876.08,0.5,1039.7,18.0,0.7307,1677.2560,19.0000,65.40,18.29,990.93,104.92,53.43
2024-02-08T08:05:12,94.10,50.00,55.96,754.61,19.29,1358.42,0.50,0.41,18152.33,15843.70,0.4,1027.7,18.0,0.7241,1661.9324,19.0000,65.27,18.32,990.88,112.68,57.39
2024-02-08T08:05:17,43.22,22.97,55.80,752.38,19.35,1354.27,0.69,0.55,18145.14,15839.08,0.4,1022.2,18.0,0.7151,1641.1603,19.0000,65.00,18.37,990.95,120.44,61.35
2024-02-08T08:05:22,43.22,22.97,55.50,748.15,19.41,1346.44,0.75,0.60,18168.68,15862.20,0.4,1016.6,19.0,0.7067,1621.4901,19.0000,65.05,18.41,990.92,112.65,57.39
2024-02-08T08:05:33,59.87,31.83,55.16,738.99,19.56,1329.53,0.69,0.56,13126.55,11463.83,0.4,1003.7,19.0,0.6951,1594.3057,19.0000,64.78,18.51,990.95,120.38,61.35
2024-02-08T08:05:38,43.20,22.97,55.12,736.30,19.60,1324.50,0.66,0.55,9989.91,8725.83,0.4,997.3,19.0,0.6908,1584.2963,19.0000,64.73,18.55,990.93,106.24,54.15
2024-02-08T08:05:43,76.49,40.68,55.14,735.77,19.67,1323.36,0.58,0.48,8437.38,7370.70,0.4,990.3,19.0,0.6875,1576.5468,20.0000,64.73,18.59,990.94,128.84,65.68
2024-02-08T08:05:49,51.08,27.17,55.05,736.17,19.72,1323.90,0.55,0.46,7361.66,6431.83,0.4,986.9,19.0,0.6851,1570.9169,20.0000,64.66,18.63,990.94,113.98,58.11
2024-02-08T08:08:21,58.74,31.36,50.95,736.48,21.25,1319.63,0.40,0.35,2648.56,2322.52,,,,0.5690,1299.8618,22.0000,61.37,19.70,990.94,114.26,58.47
2024-02-08T08:08:26,84.06,44.88,51.12,735.83,21.31,1318.29,0.48,0.42,2603.40,2283.20,0.4,950.4,22.0,0.5684,1298.2761,22.0000,61.42,19.75,990.99,93.85,48.03
2024-02-08T08:08:31,58.73,31.36,50.98,735.80,21.34,1318.06,0.58,0.51,2560.86,2246.20,0.4,933.7,22.0,0.5637,1287.3945,22.0000,61.50,19.77,990.92,108.61,55.59
2024-02-08T08:08:37,75.31,40.22,51.01,738.18,21.41,1322.17,0.60,0.54,2539.46,2227.70,0.4,922.5,22.0,0.5605,1279.8697,23.0000,61.49,19.82,990.97,123.38,63.16
2024-02-08T08:08:42,41.26,22.04,50.94,740.10,21.45,1325.40,0.63,0.56,2502.18,2195.33,0.4,918.8,22.0,0.5591,1276.5395,23.0000,61.51,19.86,990.96,94.52,48.39
2024-02-08T08:08:48,41.26,22.04,50.53,742.07,21.49,1328.79,0.58,0.52,2454.46,2153.70,0.4,912.8,22.0,0.5556,1268.3731,23.0000,61.10,19.90,990.98,87.47,44.79
2024-02-08T08:08:53,66.56,35.56,50.25,743.42,21.53,1331.01,0.54,0.48,2390.87,2098.20,0.4,910.8,22.0,0.5501,1255.6967,23.0000,60.84,19.94,990.98,109.25,55.95
2024-02-08T08:08:58,16.83,8.99,50.04,744.58,21.60,1332.95,0.48,0.43,2380.10,2088.95,0.4,911.9,22.0,0.5456,1245.2542,23.0000,60.68,19.97,990.98,95.19,48.75
2024-02-08T08:09:04,49.96,26.70,49.86,744.87,21.65,1333.30,0.41,0.36,2366.61,2077.39,0.4,911.2,22.0,0.5415,1235.8580,23.0000,60.52,20.01,990.98,88.14,45.15
2024-02-08T08:09:09,58.68,31.36,49.63,744.57,21.70,1332.57,0.47,0.42,2255.65,1980.27,0.4,905.8,23.0,0.5383,1228.2744,23.0000,60.34,20.04,990.95,94.46,48.39
2024-02-08T08:09:15,49.95,26.70,49.46,744.23,21.73,1331.82,0.92,0.82,2236.97,1964.08,0.4,905.1,22.0,0.5348,1220.2516,23.0000,60.22,20.08,990.98,88.12,45.15
2024-02-08T08:09:20,58.66,31.36,49.39,743.54,21.80,1330.42,1.02,0.90,2236.70,1964.08,0.4,903.8,23.0,0.5314,1212.2422,23.0000,60.10,20.12,990.99,87.41,44.79
2024-02-08T08:09:25,41.22,22.04,49.26,742.51,21.85,1328.43,1.01,0.89,2189.03,1922.45,0.4,903.2,23.0,0.5286,1205.7754,23.0000,60.01,20.15,990.97,102.15,52.35
2024-02-08T08:09:31,32.50,17.38,49.16,741.48,21.89,1326.40,0.98,0.87,2151.88,1890.08,0.4,901.3,23.0,0.5261,1199.8117,23.0000,59.91,20.19,990.98,80.34,41.18
2024-02-08T08:09:36,32.50,17.38,49.06,740.27,21.92,1324.14,0.97,0.86,2146.44,1885.45,0.4,898.9,23.0,0.5236,1194.0354,23.0000,59.80,20.22,991.00,109.15,55.95
2024-02-08T08:09:42,74.32,39.75,48.96,738.47,21.95,1320.77,0.94,0.83,2122.50,1864.64,0.4,897.7,23.0,0.5210,1188.0183,23.0000,59.70,20.25,990.98,94.39,48.39
2024-02-08T08:09:47,41.21,22.04,48.83,736.00,22.01,1316.18,0.89,0.79,2090.66,1836.89,0.4,894.8,23.0,0.5179,1180.7981,24.0000,59.59,20.29,991.00,95.08,48.75
2024-02-08T08:09:52,57.76,30.90,48.74,733.09,22.04,1310.80,0.77,0.68,2064.08,1813.77,0.4,896.9,23.0,0.5154,1174.9554,24.0000,59.48,20.32,990.97,102.09,52.35
2024-02-08T08:09:58,41.20,22.04,48.64,728.54,22.10,1302.53,0.74,0.65,2066.48,1816.08,0.4,894.3,23.0,0.5129,1169.0665,24.0000,59.39,20.35,990.96,95.06,48.75
