Room,Value,Time,Type
Ruum 2,1205.0,11:14 2023-05-25,CO2 ppm
Ruum 2,1185.0,11:17 2023-05-25,CO2 ppm
Ruum 2,1166.0,11:20 2023-05-25,CO2 ppm
Ruum 2,1160.0,11:23 2023-05-25,CO2 ppm
Ruum 2,22.5,11:24 2023-05-25,t° C
Ruum 2,44.7,11:24 2023-05-25,RH %
Ruum 2,1157.0,11:26 2023-05-25,CO2 ppm
Ruum 2,1146.0,11:29 2023-05-25,CO2 ppm
Ruum 2,1129.0,11:32 2023-05-25,CO2 ppm
Ruum 2,1117.0,11:35 2023-05-25,CO2 ppm
Ruum 2,1108.0,11:38 2023-05-25,CO2 ppm
Ruum 2,44.5,11:39 2023-05-25,RH %
Ruum 2,22.6,11:39 2023-05-25,t° C
Ruum 2,1117.0,11:41 2023-05-25,CO2 ppm
Ruum 2,1124.0,11:44 2023-05-25,CO2 ppm
Ruum 2,1140.0,11:47 2023-05-25,CO2 ppm
Ruum 2,1154.0,11:50 2023-05-25,CO2 ppm
Ruum 2,1184.0,11:53 2023-05-25,CO2 ppm
Ruum 2,22.7,11:54 2023-05-25,t° C
Ruum 2,45.0,11:54 2023-05-25,RH %
Ruum 2,1225.0,11:56 2023-05-25,CO2 ppm
Ruum 2,1233.0,11:59 2023-05-25,CO2 ppm
Ruum 2,1232.0,12:02 2023-05-25,CO2 ppm
Ruum 2,1226.0,12:05 2023-05-25,CO2 ppm
Ruum 2,1233.0,12:08 2023-05-25,CO2 ppm
Ruum 2,45.1,12:09 2023-05-25,RH %
Ruum 2,22.8,12:09 2023-05-25,t° C
Ruum 2,1249.0,12:11 2023-05-25,CO2 ppm
Ruum 2,1252.0,12:14 2023-05-25,CO2 ppm
Ruum 2,1245.0,12:17 2023-05-25,CO2 ppm
Ruum 2,1233.0,12:20 2023-05-25,CO2 ppm
Ruum 2,1220.0,12:23 2023-05-25,CO2 ppm
Ruum 2,22.9,12:24 2023-05-25,t° C
Ruum 2,44.7,12:24 2023-05-25,RH %
Ruum 2,1209.0,12:26 2023-05-25,CO2 ppm
Ruum 2,1200.0,12:29 2023-05-25,CO2 ppm
Ruum 2,1200.0,12:32 2023-05-25,CO2 ppm
Ruum 2,1206.0,12:35 2023-05-25,CO2 ppm
Ruum 2,1204.0,12:38 2023-05-25,CO2 ppm
Ruum 2,23.0,12:39 2023-05-25,t° C
Ruum 2,44.5,12:39 2023-05-25,RH %
Ruum 2,1202.0,12:41 2023-05-25,CO2 ppm
Ruum 2,1198.0,12:44 2023-05-25,CO2 ppm
Ruum 2,1199.0,12:47 2023-05-25,CO2 ppm
Ruum 2,1204.0,12:50 2023-05-25,CO2 ppm
Ruum 2,1214.0,12:53 2023-05-25,CO2 ppm
Ruum 2,23.1,12:54 2023-05-25,t° C
Ruum 2,44.4,12:54 2023-05-25,RH %
Ruum 2,1221.0,12:56 2023-05-25,CO2 ppm
Ruum 2,1231.0,12:59 2023-05-25,CO2 ppm
Ruum 2,1223.0,13:02 2023-05-25,CO2 ppm
Ruum 2,1202.0,13:05 2023-05-25,CO2 ppm
Ruum 2,1198.0,13:08 2023-05-25,CO2 ppm
Ruum 2,23.1,13:09 2023-05-25,t° C
Ruum 2,44.0,13:09 2023-05-25,RH %
Ruum 2,1195.0,13:11 2023-05-25,CO2 ppm
Ruum 2,1197.0,13:14 2023-05-25,CO2 ppm
Ruum 2,1209.0,13:17 2023-05-25,CO2 ppm
Ruum 2,1209.0,13:20 2023-05-25,CO2 ppm
Ruum 2,1206.0,13:23 2023-05-25,CO2 ppm
Ruum 2,23.2,13:24 2023-05-25,t° C
Ruum 2,43.7,13:24 2023-05-25,RH %
Ruum 2,1208.0,13:26 2023-05-25,CO2 ppm
Ruum 2,1209.0,13:29 2023-05-25,CO2 ppm
Ruum 2,1203.0,13:32 2023-05-25,CO2 ppm
Ruum 2,1197.0,13:35 2023-05-25,CO2 ppm
Ruum 2,1192.0,13:38 2023-05-25,CO2 ppm
Ruum 2,43.4,13:41 2023-05-25,RH %
Ruum 2,23.3,13:41 2023-05-25,t° C
Ruum 2,1189.0,13:41 2023-05-25,CO2 ppm
Ruum 2,1181.0,13:44 2023-05-25,CO2 ppm
Ruum 2,1169.0,13:47 2023-05-25,CO2 ppm
Ruum 2,1154.0,13:50 2023-05-25,CO2 ppm
Ruum 2,1148.0,13:53 2023-05-25,CO2 ppm
Ruum 2,42.9,13:56 2023-05-25,RH %
Ruum 2,23.4,13:56 2023-05-25,t° C
Ruum 2,1141.0,13:56 2023-05-25,CO2 ppm
Ruum 2,1132.0,13:59 2023-05-25,CO2 ppm
Ruum 2,1126.0,14:02 2023-05-25,CO2 ppm
Ruum 2,1114.0,14:05 2023-05-25,CO2 ppm
Ruum 2,1107.0,14:08 2023-05-25,CO2 ppm
Ruum 2,23.4,14:11 2023-05-25,t° C
Ruum 2,42.5,14:11 2023-05-25,RH %
Ruum 2,1100.0,14:11 2023-05-25,CO2 ppm
Ruum 2,1071.0,14:14 2023-05-25,CO2 ppm
Ruum 2,1043.0,14:17 2023-05-25,CO2 ppm
Ruum 2,1038.0,14:20 2023-05-25,CO2 ppm
Ruum 2,1044.0,14:23 2023-05-25,CO2 ppm
Ruum 2,42.1,14:26 2023-05-25,RH %
Ruum 2,23.4,14:26 2023-05-25,t° C
Ruum 2,1054.0,14:26 2023-05-25,CO2 ppm
Ruum 2,1060.0,14:29 2023-05-25,CO2 ppm
Ruum 2,1071.0,14:32 2023-05-25,CO2 ppm
Ruum 2,1081.0,14:35 2023-05-25,CO2 ppm
Ruum 2,1099.0,14:38 2023-05-25,CO2 ppm
Ruum 2,42.2,14:41 2023-05-25,RH %
Ruum 2,23.5,14:41 2023-05-25,t° C
Ruum 2,1119.0,14:41 2023-05-25,CO2 ppm
Ruum 2,1124.0,14:44 2023-05-25,CO2 ppm
Ruum 2,1124.0,14:47 2023-05-25,CO2 ppm
Ruum 2,1119.0,14:50 2023-05-25,CO2 ppm
Ruum 2,1120.0,14:53 2023-05-25,CO2 ppm
Ruum 2,23.6,14:56 2023-05-25,t° C
Ruum 2,42.2,14:56 2023-05-25,RH %
Ruum 2,1122.0,14:56 2023-05-25,CO2 ppm
Ruum 2,1124.0,14:59 2023-05-25,CO2 ppm
Ruum 2,1126.0,15:02 2023-05-25,CO2 ppm
Ruum 2,1127.0,15:05 2023-05-25,CO2 ppm
Ruum 2,1126.0,15:08 2023-05-25,CO2 ppm
Ruum 2,23.6,15:11 2023-05-25,t° C
Ruum 2,42.1,15:11 2023-05-25,RH %
Ruum 2,1126.0,15:11 2023-05-25,CO2 ppm
Ruum 2,1124.0,15:14 2023-05-25,CO2 ppm
Ruum 2,1143.0,15:17 2023-05-25,CO2 ppm
Ruum 2,1154.0,15:20 2023-05-25,CO2 ppm
Ruum 2,1167.0,15:23 2023-05-25,CO2 ppm
Ruum 2,42.4,15:26 2023-05-25,RH %
Ruum 2,23.7,15:26 2023-05-25,t° C
Ruum 2,1184.0,15:26 2023-05-25,CO2 ppm
Ruum 2,1189.0,15:29 2023-05-25,CO2 ppm
Ruum 2,1194.0,15:32 2023-05-25,CO2 ppm
Ruum 2,1207.0,15:35 2023-05-25,CO2 ppm
Ruum 2,1218.0,15:38 2023-05-25,CO2 ppm
Ruum 2,23.7,15:41 2023-05-25,t° C
Ruum 2,42.4,15:41 2023-05-25,RH %
Ruum 2,1219.0,15:41 2023-05-25,CO2 ppm
Ruum 2,1219.0,15:44 2023-05-25,CO2 ppm
Ruum 2,1221.0,15:47 2023-05-25,CO2 ppm
Ruum 2,1231.0,15:50 2023-05-25,CO2 ppm
Ruum 2,1244.0,15:53 2023-05-25,CO2 ppm
Ruum 2,42.5,15:56 2023-05-25,RH %
Ruum 2,23.7,15:56 2023-05-25,t° C
Ruum 2,1245.0,15:56 2023-05-25,CO2 ppm
Ruum 2,1242.0,15:59 2023-05-25,CO2 ppm
Ruum 2,1230.0,16:02 2023-05-25,CO2 ppm
Ruum 2,1222.0,16:05 2023-05-25,CO2 ppm
Ruum 2,1221.0,16:08 2023-05-25,CO2 ppm
Ruum 2,23.7,16:10 2023-05-25,t° C
Ruum 2,42.5,16:10 2023-05-25,RH %
Ruum 2,1227.0,16:11 2023-05-25,CO2 ppm
Ruum 2,1227.0,16:14 2023-05-25,CO2 ppm
Ruum 2,1235.0,16:17 2023-05-25,CO2 ppm
Ruum 2,1236.0,16:20 2023-05-25,CO2 ppm
Ruum 2,1230.0,16:23 2023-05-25,CO2 ppm
Ruum 2,42.6,16:26 2023-05-25,RH %
Ruum 2,23.8,16:26 2023-05-25,t° C
Ruum 2,1232.0,16:26 2023-05-25,CO2 ppm
Ruum 2,1238.0,16:29 2023-05-25,CO2 ppm
Ruum 2,1228.0,16:32 2023-05-25,CO2 ppm
Ruum 2,1234.0,16:35 2023-05-25,CO2 ppm
