Datum;SW Temp;IW Temp;SW Feuchte;IW Feuchte;Vereisung VD;Temp 1 Klimakammer;Feuchte 1 Klimakammer;Temp 2 Klimakammer;Feuchte 2 Klimakammer;Mittelwert Feuchte absolut;Hochdruck;Saugdruck;Sauggastemperatur;Heißgastemperatur;Flüssigkeitstemperatur;Ölüberwachung;Sauggastemperatur Verdampfer;Temperatur Verdampfer Eintritt;Temperatur Verdampfer Austritt;SW Hochdruck;SW Hochdruck MAX;SW MOP;SW Nacheinspritzung;SW Min Überhitzung;Regler Temp Heizen;Regler Temp Kühlen;Regler Feuchte Befeuchten;Regler Feuchte Entfeuchten;Regler Hochdruck;Regler Hochdruck MAX;Regler Min Überhitzung;Regler MOP;Regler Nacheinspritzung;Y Lüfter;Y Befeuchter;Y Erhitzer;Y Expansionsventil Verdampfer;Y Heißgasventil;Y Kompressor;Y Verflüssiger;Überhitzung Kompressor;Überhitzung Verdampfer;Unterkühlung
19.2.2024 09:59:23;-40;-17.091833114624023;15;31.514949798583984;-17.45840072631836;-17.50189971923828;31.26930046081543;-17.125099182128906;31.76059913635254;0.3032306134700775;10.300600051879883;1.2832000255584717;-24.584199905395508;30.681900024414062;19.371299743652344;138.63999938964844;-25.482099533081055;-26.735300064086914;-25.548500061035156;14;18;1.5;20;4;0;0;0;0;0;0;0;0;0;77.5;0;0;0;100;43;0;-2.838184356689453;-3.736083984375;1.157562255859375
19.2.2024 09:59:43;-40;-16.917333602905273;15;32.06324768066406;-13.856100082397461;-17.250999450683594;32.09560012817383;-17.000099182128906;32.03089904785156;0.3137877881526947;4.260000228881836;2.294800043106079;-22.536800384521484;29.218599319458008;19.538000106811523;138.63999938964844;-19.038000106811523;-21.74090003967285;-23.75119972229004;14;18;1.5;20;4;0;9.032699584960938;0;5.8335418701171875;0;100;15.5761137008667;41.460391998291016;24.008289337158203;77.5;0;0;0;100;46.60773849487305;0;-10.140046119689941;-6.6412458419799805;-24.384191513061523
19.2.2024 10:00:03;25;-16.834365844726562;15;36.0265007019043;-13.352299690246582;-17.250099182128906;37.7140998840332;-16.875099182128906;34.33890151977539;0.35675927996635437;10.546899795532227;2.1459999084472656;-17.14389991760254;23.538999557495117;27.097900390625;138.63999938964844;-16.722900390625;-18.454700469970703;-20.675800323486328;14;18;1.5;20;4;100;0;1.659773826599121;0;0;100;17.396774291992188;38.70830535888672;30.0540771484375;77.5;1.659773826599121;100;30;82.31208038330078;43;0;-3.5235729217529297;-3.1025733947753906;-5.779516220092773
19.2.2024 10:00:23;25;-16.84003257751465;15;41.840797424316406;-12.47719955444336;-17.374900817871094;45.40439987182617;-16.750499725341797;38.277198791503906;0.41917291283607483;10.544699668884277;2.273400068283081;-17.33300018310547;25.658899307250977;26.747699737548828;138.63999938964844;-18.089000701904297;-17.202199935913086;-18.8656005859375;14;18;1.5;20;4;100;0;1.290842056274414;0;0;100;15.14599323272705;33.33458709716797;29.654809951782227;41.5;0;0;0;0;45.08613586425781;0;-4.761814117431641;-5.517814636230469;-5.436313629150391
