Datum;SW Temp;IW Temp;SW Feuchte;IW Feuchte;Vereisung VD;Temp 1 Klimakammer;Feuchte 1 Klimakammer;Temp 2 Klimakammer;Feuchte 2 Klimakammer;Mittelwert Feuchte absolut;Hochdruck;Saugdruck;Sauggastemperatur;Heißgastemperatur;Flüssigkeitstemperatur;Ölüberwachung;Sauggastemperatur Verdampfer;Temperatur Verdampfer Eintritt;Temperatur Verdampfer Austritt;SW Hochdruck;SW Hochdruck MAX;SW MOP;SW Nacheinspritzung;SW Min Überhitzung;Regler Temp Heizen;Regler Temp Kühlen;Regler Feuchte Befeuchten;Regler Feuchte Entfeuchten;Regler Hochdruck;Regler Hochdruck MAX;Regler Min Überhitzung;Regler MOP;Regler Nacheinspritzung;Y Lüfter;Y Befeuchter;Y Erhitzer;Y Expansionsventil Verdampfer;Y Heißgasventil;Y Kompressor;Y Verflüssiger;Überhitzung Kompressor;Überhitzung Verdampfer;Unterkühlung
14.2.2024 12:02:32;0;26.249967575073242;40;47.96929931640625;-11.01990032196045;26.499900817871094;45.81740188598633;25;50.12120056152344;9.767532348632812;8.294300079345703;2.433300018310547;0.6958000063896179;35.49530029296875;9.147700309753418;138.63999938964844;3.725600004196167;23.821500778198242;22.947799682617188;14;18;1.5;20;4;0;0;0;0;0;100;9.492945671081543;36.844024658203125;0;77.5;0;0;30;92.00755310058594;43;0;11.991437911987305;15.021038055419922;4.421363830566406
14.2.2024 12:02:52;0;26.158266067504883;40;42.651702880859375;-8.544300079345703;26.262100219726562;40.059200286865234;25.040199279785156;45.24420166015625;8.874258995056152;9.168800354003906;2.4860000610351562;3.5309998989105225;44.48080062866211;4.110799789428711;138.63999938964844;6.857100009918213;24.159400939941406;17.30699920654297;14;18;1.5;20;4;0;0;0;0;0;100;13.310373306274414;30.109481811523438;0;77.5;0;0;30;72.45658111572266;43;0;14.415719032287598;17.741918563842773;12.612359046936035
14.2.2024 12:03:12;0;25.804235458374023;40;38.74580001831055;-9.993200302124023;25.70159912109375;37.41600036621094;24.890199661254883;40.075599670410156;7.801689147949219;9.721099853515625;0.16459999978542328;6.60890007019043;51.93199920654297;4.678199768066406;138.63999938964844;9.547900199890137;23.404300689697266;12.454899787902832;14;18;1.5;20;4;0;0;0;0;0;100;39.776329040527344;45.13981246948242;0;77.5;0;0;5;52.90350341796875;43;0;43.64167785644531;46.5806770324707;13.940681457519531
14.2.2024 12:03:32;0;25.309768676757812;40;43.43199920654297;-9.603500366210938;25.0802001953125;43.160099029541016;24.579099655151367;43.70389938354492;8.354485511779785;10.22350025177002;-0.4413999915122986;7.769599914550781;56.614200592041016;5.155700206756592;138.63999938964844;10.116700172424316;22.962499618530273;14.691699981689453;14;18;1.5;20;4;0;0;0;0;0;100;58.47905349731445;58.23396301269531;0;77.5;0;0;5;33.342411041259766;43;0;59.23004150390625;61.57714080810547;15.123132705688477
14.2.2024 12:03:52;0;24.967498779296875;40;48.293701171875;-12.492400169372559;24.647199630737305;48.30839920043945;24.37529945373535;48.27899932861328;9.071637153625488;10.70419979095459;-0.8223999738693237;8.160699844360352;60.497398376464844;5.460899829864502;138.63999938964844;10.36929988861084;22.952999114990234;16.740800857543945;14;18;1.5;20;4;0;0;0;0;0;100;80.60924530029297;73.21466064453125;0;77.5;0;0;5;13.773666381835938;43;0;76.00501251220703;78.21351623535156;16.355789184570312
14.2.2024 12:04:13;0;24.725631713867188;40;52.129249572753906;-9.1899995803833;24.375900268554688;52.25149917602539;24.250099182128906;52.00699996948242;9.665264129638672;11.10789966583252;-0.8967999815940857;8.11460018157959;64.20179748535156;5.7129998207092285;138.63999938964844;10.539999961853027;23.067899703979492;18.16069984436035;14;18;1.5;20;4;0;0;0;0;0;100;94.43816375732422;88.45399475097656;0;77.5;0;0;5;0;43;0;79.50984954833984;81.93524932861328;17.35909080505371
14.2.2024 12:04:33;0;24.543031692504883;40;54.76270294189453;-9.17590045928955;24.127099990844727;54.922000885009766;24.125099182128906;54.60340118408203;10.065803527832031;11.476799964904785;-0.8967000246047974;8.008099555969238;67.22630310058594;5.950500011444092;138.63999938964844;10.66759967803955;23.216899871826172;19.498899459838867;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.39868927001953;82.0579833984375;18.24201774597168
14.2.2024 12:04:53;0;24.5057315826416;40;56.13224792480469;-10.890199661254883;24.01689910888672;56.460201263427734;24.125099182128906;55.804298400878906;10.290843963623047;11.821800231933594;-0.8967000246047974;7.932600021362305;69.45320129394531;6.171000003814697;138.63999938964844;10.781700134277344;23.359800338745117;20.999900817871094;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.32308959960938;82.17218780517578;19.047508239746094
14.2.2024 12:05:13;0;24.458532333374023;40;57.196800231933594;-9.041799545288086;24.000099182128906;57.59590148925781;24.125099182128906;56.797698974609375;10.499176979064941;12.051899909973145;-0.8974999785423279;7.894800186157227;71.25430297851562;6.388800144195557;138.63999938964844;10.892499923706055;23.491600036621094;22.138599395751953;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.3233642578125;82.3210678100586;19.502546310424805
14.2.2024 12:05:33;0;24.45836639404297;40;58.552146911621094;-10.788299560546875;24.000099182128906;58.78889846801758;24.124900817871094;58.315399169921875;10.750465393066406;12.149499893188477;-0.8974999785423279;7.890100002288818;72.5791015625;6.6057000160217285;138.63999938964844;11.000499725341797;23.607500076293945;22.80940055847168;14;18;1.5;20;4;0;0;0;0;0;100;100;100;0;77.5;0;0;5;0;43;0;79.31866455078125;82.42896270751953;19.56856918334961
