timestamp(UTC),NetADC_SO2-SO2,NetADC_H2Sb-H2Sb,NetADC_CO-CO,NetADC_NO2-NO2,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-05-28T00:00:02,22.13,-4.72,167.60,44.71,22.30,347.91,30.02,6.38,6.38,0.1815,34.0000,23.22,28.46,1006.87
2023-05-28T00:00:08,22.13,4.19,156.29,29.44,22.32,347.60,30.03,6.59,6.59,0.1815,34.0000,23.22,28.46,1006.82
2023-05-28T00:00:13,18.66,-6.27,163.08,55.45,22.30,347.21,30.02,6.74,6.74,0.1816,34.0000,23.21,28.46,1006.88
2023-05-28T00:00:19,22.13,-1.23,194.73,44.71,22.30,347.35,30.06,6.77,6.77,0.1815,34.0000,23.22,28.46,1006.87
2023-05-28T00:00:25,23.87,-8.59,167.60,44.71,22.29,347.78,30.03,6.79,6.79,0.1815,34.0000,23.21,28.46,1006.88
2023-05-28T00:00:30,26.48,2.25,183.43,44.71,22.26,347.88,30.03,6.72,6.72,0.1816,34.0000,23.21,28.46,1006.87
2023-05-28T00:00:36,31.69,-4.33,192.47,28.88,22.26,347.60,30.02,6.78,6.78,0.1815,34.0000,23.21,28.46,1006.87
2023-05-28T00:00:41,11.71,-4.72,174.38,39.62,22.26,348.00,30.03,6.74,6.74,0.1815,34.0000,23.22,28.46,1006.86
2023-05-28T00:00:47,20.40,-0.46,174.38,28.88,22.33,348.20,30.02,6.72,6.72,0.1815,34.0000,23.22,28.46,1006.87
2023-05-28T00:00:52,24.74,-4.33,154.03,33.96,22.27,348.63,30.04,6.96,6.96,0.1815,34.0000,23.22,28.46,1006.85
2023-05-28T00:00:58,23.00,-5.11,181.17,23.22,22.27,348.77,30.03,7.05,7.05,0.1816,34.0000,23.22,28.46,1006.87
2023-05-28T00:01:04,19.53,-3.17,165.34,22.66,22.29,348.54,30.02,7.40,7.40,0.1816,34.0000,23.22,28.45,1006.85
2023-05-28T00:01:09,15.18,-2.39,172.12,33.96,22.30,349.44,30.03,7.67,7.67,0.1815,34.0000,23.22,28.45,1006.86
2023-05-28T00:01:15,22.13,-6.27,172.12,39.62,22.26,349.58,30.02,7.81,7.81,0.1815,34.0000,23.22,28.45,1006.88
