timestamp(UTC),NetADC_SO2-SO2,NetADC_H2Sb-H2Sb,NetADC_CO-CO,NetADC_NO2-NO2,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-05-18T00:00:01,3.01,-5.11,52.28,44.71,20.55,338.34,28.24,1.49,1.49,0.1781,32.0000,21.76,26.66,1011.43
2023-05-18T00:00:07,6.49,-5.49,29.67,18.14,20.63,338.60,28.24,1.47,1.47,0.1780,32.0000,21.77,26.66,1011.44
2023-05-18T00:00:13,19.53,-0.07,52.28,33.96,20.63,339.09,28.27,1.41,1.41,0.1780,32.0000,21.77,26.67,1011.44
2023-05-18T00:00:18,19.53,-6.27,52.28,50.92,20.59,338.88,28.26,1.49,1.49,0.1780,32.0000,21.76,26.66,1011.43
2023-05-18T00:00:24,11.71,1.48,34.19,28.88,20.60,339.29,28.27,1.42,1.42,0.1781,32.0000,21.76,26.67,1011.41
2023-05-18T00:00:29,9.10,0.32,52.28,23.79,20.60,339.20,28.26,1.39,1.39,0.1781,32.0000,21.77,26.67,1011.42
2023-05-18T00:00:35,16.05,-3.94,43.24,28.88,20.59,339.14,28.26,1.36,1.36,0.1781,32.0000,21.77,26.67,1011.48
2023-05-18T00:00:40,9.10,-6.27,43.24,34.53,20.61,339.06,28.26,1.55,1.55,0.1781,32.0000,21.76,26.66,1011.44
2023-05-18T00:00:46,20.40,-0.07,52.28,23.22,20.59,338.83,28.26,1.71,1.71,0.1780,32.0000,21.77,26.66,1011.44
2023-05-18T00:00:52,9.97,-2.01,45.50,34.53,20.61,338.62,28.23,1.74,1.74,0.1781,32.0000,21.77,26.67,1011.45
2023-05-18T00:00:57,16.05,-1.23,29.67,45.27,20.54,338.40,28.23,1.63,1.63,0.1781,32.0000,21.76,26.66,1011.44
2023-05-18T00:01:03,14.31,0.32,36.46,28.88,20.58,338.12,28.23,1.46,1.46,0.1781,32.0000,21.77,26.66,1011.41
2023-05-18T00:01:08,23.00,-3.56,34.19,39.62,20.60,337.98,28.27,1.28,1.28,0.1781,32.0000,21.77,26.66,1011.39
2023-05-18T00:01:14,15.18,-2.39,65.85,18.14,20.57,337.57,28.27,1.20,1.20,0.1781,32.0000,21.77,26.66,1011.39
2023-05-18T00:01:19,19.53,-0.46,29.67,23.79,20.58,337.30,28.23,1.21,1.21,0.1781,32.0000,21.77,26.67,1011.40
2023-05-18T00:01:25,21.26,-3.17,47.76,28.88,20.60,336.30,28.24,1.12,1.12,0.1781,32.0000,21.77,26.66,1011.44
2023-05-18T00:01:30,20.40,-2.01,38.72,29.44,20.61,335.83,28.23,1.30,1.30,0.1781,32.0000,21.77,26.66,1011.43
2023-05-18T00:01:36,24.74,-2.39,65.85,23.79,20.60,335.28,28.26,1.38,1.38,0.1781,32.0000,21.78,26.66,1011.42
2023-05-18T00:01:41,14.31,1.87,43.24,28.88,20.59,335.34,28.24,1.37,1.37,0.1782,32.0000,21.77,26.66,1011.41
2023-05-18T00:01:47,22.13,-2.78,52.28,28.88,20.57,335.51,28.24,1.40,1.40,0.1781,32.0000,21.78,26.66,1011.45
2023-05-18T00:01:53,13.44,-5.88,61.33,34.53,20.55,334.92,28.24,1.42,1.42,0.1781,32.0000,21.78,26.67,1011.44
2023-05-18T00:01:58,16.05,-3.56,27.41,28.88,20.60,334.96,28.23,1.57,1.57,0.1781,32.0000,21.77,26.66,1011.46
2023-05-18T00:02:04,18.66,-6.66,22.89,44.71,20.60,334.88,28.23,1.69,1.69,0.1781,32.0000,21.77,26.67,1011.42
2023-05-18T00:02:09,11.71,-7.43,29.67,33.96,20.57,334.92,28.24,1.69,1.69,0.1781,32.0000,21.78,26.66,1011.46
2023-05-18T00:02:15,13.44,-3.17,27.41,28.31,20.61,334.81,28.26,1.61,1.61,0.1781,32.0000,21.78,26.66,1011.44
2023-05-18T00:02:20,16.05,-3.56,29.67,33.96,20.63,334.44,28.26,1.53,1.53,0.1781,32.0000,21.78,26.66,1011.43
2023-05-18T00:02:26,2.15,-8.20,34.19,23.22,20.66,334.27,28.26,1.38,1.38,0.1781,32.0000,21.79,26.66,1011.45
2023-05-18T00:02:32,13.44,-7.43,9.32,50.36,20.69,334.43,28.28,1.42,1.42,0.1781,32.0000,21.79,26.66,1011.45
2023-05-18T00:02:37,19.53,-6.66,20.63,23.22,20.61,334.62,28.26,1.51,1.51,0.1779,32.0000,21.78,26.66,1011.46
