timestamp(UTC),NetADC_SO2-SO2,NetADC_H2Sb-H2Sb,NetADC_CO-CO,NetADC_NO2-NO2,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-06-05T08:34:42,37.78,26.66,115.59,33.96,20.68,444.56,31.68,4.51,6.61,0.5468,35.0000,21.40,30.05,1006.11
2023-06-05T08:34:52,27.35,22.01,138.21,34.53,20.65,445.49,31.66,3.03,3.84,0.2506,35.0000,21.40,30.06,1006.12
2023-06-05T08:34:57,31.69,15.81,102.03,39.62,20.70,446.15,31.69,2.78,3.46,0.2042,35.0000,21.40,30.05,1006.11
2023-06-05T08:35:03,28.22,18.91,102.03,28.88,20.71,445.15,31.69,2.63,3.23,0.1860,35.0000,21.40,30.06,1006.12
2023-06-05T08:35:09,34.30,21.24,129.16,33.96,20.66,444.29,31.71,2.51,3.00,0.1745,35.0000,21.40,30.06,1006.13
2023-06-05T08:35:14,27.35,15.81,81.68,28.31,20.72,441.77,31.69,2.31,2.74,0.1677,35.0000,21.40,30.06,1006.14
2023-06-05T08:35:20,30.82,15.42,120.12,33.96,20.73,442.01,31.72,2.23,2.58,0.1637,35.0000,21.40,30.06,1006.15
2023-06-05T08:35:25,36.91,14.65,95.24,44.71,20.69,440.87,31.66,1.91,1.91,0.1603,35.0000,21.40,30.06,1006.12
2023-06-05T08:35:31,30.82,19.69,120.12,49.79,20.72,440.32,31.71,2.07,2.07,0.1583,35.0000,21.40,30.06,1006.14
2023-06-05T08:35:36,33.43,16.20,92.98,17.57,20.66,439.53,31.71,2.13,2.13,0.1560,35.0000,21.40,30.06,1006.14
2023-06-05T08:35:42,24.74,13.88,115.59,28.31,20.70,440.48,31.72,2.18,2.18,0.1547,35.0000,21.41,30.06,1006.13
2023-06-05T08:35:48,36.91,8.84,122.38,28.88,20.73,440.47,31.72,2.16,2.16,0.1538,35.0000,21.41,30.06,1006.14
2023-06-05T08:35:53,36.91,8.45,131.42,28.31,20.68,440.32,31.71,2.20,2.20,0.1532,35.0000,21.41,30.06,1006.18
2023-06-05T08:35:59,32.56,13.49,106.55,44.71,20.70,439.91,31.71,2.13,2.13,0.1523,35.0000,21.40,30.06,1006.16
2023-06-05T08:36:04,20.40,13.88,113.33,44.71,20.72,439.19,31.71,2.02,2.02,0.1516,35.0000,21.41,30.06,1006.14
2023-06-05T08:36:10,39.51,21.24,113.33,28.31,20.74,438.42,31.72,1.99,1.99,0.1511,35.0000,21.41,30.06,1006.18
2023-06-05T08:36:15,24.74,10.39,106.55,33.96,20.71,436.82,31.71,2.06,2.06,0.1508,35.0000,21.42,30.07,1006.19
2023-06-05T08:36:21,32.56,10.00,81.68,39.62,20.66,436.26,31.69,2.10,2.10,0.1504,35.0000,21.41,30.07,1006.17
2023-06-05T08:36:27,33.43,10.39,106.55,44.71,20.70,434.68,31.71,2.09,2.09,0.1502,35.0000,21.41,30.07,1006.20
2023-06-05T08:36:32,36.04,13.49,106.55,33.96,20.68,433.81,31.72,1.95,1.95,0.1499,35.0000,21.41,30.07,1006.16
2023-06-05T08:36:38,9.10,10.00,129.16,17.57,20.72,432.35,31.68,1.80,1.80,0.1497,35.0000,21.41,30.07,1006.13
2023-06-05T08:36:43,35.17,10.00,106.55,28.88,20.73,432.31,31.72,1.72,1.72,0.1495,35.0000,21.41,30.07,1006.13
2023-06-05T08:36:49,34.30,4.19,106.55,17.57,20.70,431.09,31.72,1.64,1.64,0.1495,35.0000,21.42,30.07,1006.15
2023-06-05T08:36:54,35.17,12.33,122.38,44.71,20.72,431.31,31.71,1.85,1.85,0.1493,35.0000,21.41,30.07,1006.13
2023-06-05T08:37:00,24.74,8.45,133.68,23.22,20.68,430.79,31.71,1.85,1.85,0.1492,35.0000,21.41,30.08,1006.13
2023-06-05T08:37:06,34.30,5.74,113.33,28.31,20.74,429.94,31.69,1.73,1.73,0.1492,35.0000,21.42,30.07,1006.15
2023-06-05T08:37:11,22.13,7.29,124.64,34.53,20.66,430.32,31.71,1.64,1.64,0.1492,35.0000,21.41,30.07,1006.11
2023-06-05T08:37:17,36.91,3.80,117.86,28.31,20.68,430.06,31.69,1.46,1.46,0.1490,35.0000,21.42,30.07,1006.15
2023-06-05T08:37:22,22.13,4.58,122.38,28.88,20.70,429.71,31.75,1.45,1.45,0.1492,35.0000,21.41,30.08,1006.13
2023-06-05T08:37:28,29.96,5.74,88.46,28.88,20.71,429.54,31.71,1.62,1.62,0.1490,35.0000,21.42,30.08,1006.11
2023-06-05T08:37:33,30.82,4.19,104.29,28.88,20.71,429.29,31.72,1.87,1.87,0.1487,35.0000,21.41,30.07,1006.08
2023-06-05T08:37:39,34.30,4.58,70.37,39.62,20.74,429.28,31.72,1.97,1.97,0.1494,35.0000,21.42,30.08,1006.10
2023-06-05T08:37:45,21.26,12.71,108.81,44.71,20.70,429.61,31.72,2.04,2.04,0.1492,35.0000,21.42,30.08,1006.13
2023-06-05T08:37:50,27.35,12.33,99.77,33.96,20.77,429.20,31.71,2.11,2.11,0.1491,35.0000,21.42,30.08,1006.10
2023-06-05T08:37:56,32.56,6.13,124.64,33.96,20.68,428.58,31.71,2.06,2.06,0.1494,35.0000,21.42,30.08,1006.07
2023-06-05T08:38:01,43.86,10.00,102.03,23.22,20.70,428.69,31.72,2.08,2.08,0.1496,35.0000,21.41,30.08,1006.11
2023-06-05T08:38:07,24.74,12.33,113.33,28.88,20.68,428.47,31.72,2.06,2.06,0.1492,35.0000,21.41,30.08,1006.09
2023-06-05T08:38:12,29.09,7.68,115.59,23.22,20.71,427.65,31.71,2.06,2.06,0.1500,35.0000,21.42,30.08,1006.11
2023-06-05T08:38:18,40.38,7.68,117.86,17.57,20.74,427.21,31.71,2.15,2.15,0.1481,35.0000,21.41,30.08,1006.08
2023-06-05T08:38:24,30.82,11.16,108.81,45.27,20.71,427.39,31.72,2.15,2.15,0.1500,35.0000,21.41,30.08,1006.11
2023-06-05T08:38:29,33.43,5.35,108.81,23.22,20.71,427.44,31.73,2.18,2.18,0.1506,35.0000,21.41,30.09,1006.09
2023-06-05T08:38:35,35.17,5.35,117.86,50.36,20.71,427.66,31.69,2.32,2.32,0.1480,35.0000,21.42,30.08,1006.10
2023-06-05T08:38:40,33.43,9.23,131.42,23.22,20.73,428.09,31.73,2.35,2.35,0.1502,35.0000,21.42,30.08,1006.07
2023-06-05T08:38:46,20.40,9.61,111.07,33.96,20.72,428.17,31.71,2.26,2.26,0.1507,35.0000,21.42,30.09,1006.08
2023-06-05T08:38:51,30.82,7.68,95.24,39.05,20.72,427.86,31.69,2.20,2.20,0.1485,35.0000,21.42,30.09,1006.08
2023-06-05T08:38:57,31.69,7.68,122.38,28.31,20.77,428.44,31.71,2.18,2.18,0.1498,35.0000,21.42,30.08,1006.08
2023-06-05T08:39:03,23.00,0.70,106.55,22.66,20.72,428.17,31.69,2.13,2.13,0.1510,35.0000,21.42,30.09,1006.12
2023-06-05T08:39:08,28.22,6.13,99.77,28.88,20.74,428.15,31.71,2.12,2.12,0.1502,35.0000,21.42,30.08,1006.10
2023-06-05T08:39:14,38.65,2.25,117.86,23.22,20.72,428.45,31.71,2.20,2.20,0.1486,35.0000,21.42,30.10,1006.12
2023-06-05T08:39:19,22.13,8.84,95.24,33.96,20.68,428.26,31.71,2.10,2.10,0.1506,35.0000,21.42,30.09,1006.12
2023-06-05T08:39:25,24.74,4.97,99.77,45.27,20.76,428.33,31.72,2.03,2.03,0.1515,35.0000,21.42,30.09,1006.08
2023-06-05T08:39:30,35.17,6.13,129.16,44.71,20.71,428.18,31.72,2.00,2.00,0.1511,35.0000,21.42,30.10,1006.14
2023-06-05T08:39:36,23.87,9.61,144.99,50.36,20.73,428.22,31.72,2.11,2.11,0.1492,35.0000,21.42,30.09,1006.12
2023-06-05T08:39:42,40.38,8.45,113.33,44.71,20.73,427.70,31.75,2.21,2.21,0.1508,35.0000,21.42,30.10,1006.13
2023-06-05T08:39:47,36.91,1.87,117.86,33.96,20.71,427.80,31.71,2.29,2.29,0.1519,35.0000,21.42,30.10,1006.14
2023-06-05T08:39:53,26.48,8.84,124.64,17.57,20.76,428.26,31.72,2.34,2.34,0.1523,35.0000,21.42,30.10,1006.13
2023-06-05T08:39:58,25.61,7.68,117.86,28.31,20.72,428.03,31.71,2.13,2.13,0.1501,35.0000,21.42,30.10,1006.10
2023-06-05T08:40:04,26.48,8.06,108.81,33.96,20.74,428.37,31.72,1.96,1.96,0.1496,35.0000,21.42,30.10,1006.12
2023-06-05T08:40:09,30.82,6.90,122.38,33.96,20.72,428.15,31.71,1.89,1.89,0.1519,35.0000,21.42,30.10,1006.08
2023-06-05T08:40:15,22.13,6.52,111.07,23.22,20.74,427.99,31.71,1.86,1.86,0.1528,35.0000,21.42,30.09,1006.10
2023-06-05T08:40:20,17.79,8.45,117.86,33.40,20.72,427.47,31.71,1.91,1.91,0.1532,35.0000,21.42,30.10,1006.11
2023-06-05T08:40:26,28.22,-1.62,111.07,28.88,20.76,427.52,31.72,2.10,2.10,0.1506,35.0000,21.43,30.10,1006.09
