timestamp(UTC),NetADC_SO2-SO2,NetADC_H2Sb-H2Sb,NetADC_CO-CO,NetADC_NO2-NO2,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-05-15T00:00:02,13.44,-2.39,113.33,33.96,28.58,351.54,28.87,4.29,4.29,0.1844,33.0000,29.84,27.39,997.85
2023-05-15T00:00:07,18.66,9.61,106.55,34.53,28.60,352.20,28.90,4.12,4.12,0.1843,33.0000,29.84,27.38,997.82
2023-05-15T00:00:13,26.48,0.70,77.16,39.62,28.56,352.37,28.88,3.98,3.98,0.1844,33.0000,29.84,27.39,997.85
2023-05-15T00:00:18,26.48,-1.23,111.07,29.44,28.53,352.87,28.88,4.08,4.08,0.1843,33.0000,29.84,27.39,997.83
2023-05-15T00:00:24,27.35,-1.62,117.86,13.05,28.59,353.28,28.90,4.15,4.15,0.1844,33.0000,29.84,27.38,997.87
2023-05-15T00:00:29,14.31,4.19,97.51,34.53,28.55,353.51,28.91,4.12,4.12,0.1844,33.0000,29.84,27.38,997.88
2023-05-15T00:00:35,35.17,5.74,99.77,23.79,28.58,353.43,28.90,4.26,4.26,0.1843,33.0000,29.84,27.38,997.86
2023-05-15T00:00:40,15.18,4.97,108.81,34.53,28.58,353.44,28.87,4.53,4.53,0.1843,33.0000,29.84,27.38,997.83
2023-05-15T00:00:46,21.26,3.80,135.94,13.05,28.59,353.95,28.90,4.72,4.72,0.1844,33.0000,29.85,27.38,997.84
2023-05-15T00:00:52,23.00,4.19,108.81,40.18,28.59,354.06,28.88,4.82,4.82,0.1844,33.0000,29.85,27.39,997.83
2023-05-15T00:00:57,28.22,4.19,99.77,29.44,28.62,354.33,28.90,4.85,4.85,0.1844,33.0000,29.84,27.39,997.83
2023-05-15T00:01:03,24.74,4.19,97.51,35.10,28.56,354.60,28.90,4.77,4.77,0.1843,33.0000,29.84,27.38,997.84
2023-05-15T00:01:08,29.09,2.64,102.03,34.53,28.59,355.09,28.90,4.71,4.71,0.1844,33.0000,29.84,27.38,997.83
2023-05-15T00:01:14,25.61,2.25,106.55,29.44,28.57,355.02,28.87,4.92,4.92,0.1845,33.0000,29.84,27.38,997.83
2023-05-15T00:01:19,22.13,4.97,111.07,23.79,28.62,355.48,28.91,5.03,5.03,0.1844,33.0000,29.84,27.38,997.84
2023-05-15T00:01:25,29.96,6.90,97.51,50.92,28.62,355.69,28.88,4.88,4.88,0.1844,33.0000,29.85,27.38,997.83
2023-05-15T00:01:30,31.69,6.13,102.03,34.53,28.62,355.58,28.90,4.69,4.69,0.1844,33.0000,29.85,27.38,997.82
2023-05-15T00:01:36,18.66,2.64,108.81,23.79,28.59,355.58,28.90,4.41,4.41,0.1844,33.0000,29.84,27.38,997.81
2023-05-15T00:01:42,31.69,7.68,77.16,23.79,28.60,355.80,28.88,4.19,4.19,0.1842,33.0000,29.85,27.38,997.82
2023-05-15T00:01:47,12.57,-3.56,83.94,45.27,28.58,355.97,28.87,4.23,4.23,0.1844,33.0000,29.85,27.37,997.84
2023-05-15T00:01:53,7.36,-2.01,95.24,44.71,28.60,355.51,28.88,4.52,4.52,0.1844,33.0000,29.85,27.38,997.83
2023-05-15T00:01:58,23.87,-0.84,104.29,28.88,28.60,354.91,28.90,4.68,4.68,0.1844,33.0000,29.85,27.38,997.82
2023-05-15T00:02:04,20.40,-3.17,86.20,23.22,28.57,354.74,28.88,4.58,4.58,0.1844,33.0000,29.85,27.38,997.82
2023-05-15T00:02:09,26.48,-0.07,97.51,28.88,28.60,354.40,28.87,4.44,4.44,0.1843,33.0000,29.85,27.38,997.85
2023-05-15T00:02:15,19.53,1.48,90.72,23.22,28.60,353.64,28.87,4.30,4.30,0.1843,33.0000,29.86,27.38,997.84
2023-05-15T00:02:21,15.18,2.64,115.59,39.62,28.54,353.54,28.87,4.41,4.41,0.1845,33.0000,29.85,27.38,997.81
2023-05-15T00:02:26,23.87,5.74,77.16,17.57,28.62,353.75,28.88,4.63,4.63,0.1845,33.0000,29.86,27.37,997.83
2023-05-15T00:02:32,16.05,8.06,90.72,45.27,28.66,353.94,28.87,4.70,4.70,0.1845,33.0000,29.85,27.37,997.82
2023-05-15T00:02:37,24.74,8.06,81.68,28.88,28.54,353.55,28.87,4.70,4.70,0.1844,33.0000,29.86,27.38,997.82
2023-05-15T00:02:43,23.00,7.68,122.38,33.96,28.60,353.19,28.88,4.36,4.36,0.1844,33.0000,29.86,27.37,997.83
2023-05-15T00:02:48,23.00,3.80,113.33,28.88,28.59,353.54,28.88,4.29,4.29,0.1843,33.0000,29.87,27.37,997.81
2023-05-15T00:02:54,15.18,-2.01,74.89,45.27,28.60,353.78,28.90,4.30,4.30,0.1844,33.0000,29.87,27.37,997.81
2023-05-15T00:02:59,16.92,-0.84,86.20,28.88,28.62,354.37,28.88,4.19,4.19,0.1844,33.0000,29.87,27.37,997.81
2023-05-15T00:03:05,17.79,-2.01,95.24,39.05,28.62,354.53,28.88,4.02,4.02,0.1844,33.0000,29.87,27.37,997.85
2023-05-15T00:03:11,15.18,0.32,108.81,33.96,28.65,354.14,28.88,4.13,4.13,0.1844,33.0000,29.87,27.37,997.81
2023-05-15T00:03:16,11.71,-0.46,86.20,56.01,28.63,353.90,28.87,4.23,4.23,0.1844,33.0000,29.87,27.37,997.84
2023-05-15T00:03:22,17.79,3.42,97.51,23.79,28.62,353.38,28.87,4.38,4.38,0.1844,33.0000,29.87,27.38,997.81
2023-05-15T00:03:27,26.48,3.42,90.72,28.88,28.63,353.56,28.87,4.54,4.54,0.1844,33.0000,29.88,27.37,997.79
2023-05-15T00:03:33,20.40,3.42,97.51,50.36,28.60,354.14,28.90,4.41,4.41,0.1844,33.0000,29.87,27.37,997.81
2023-05-15T00:03:38,14.31,-0.46,72.63,45.27,28.60,354.21,28.90,4.21,4.21,0.1844,33.0000,29.88,27.38,997.86
2023-05-15T00:03:44,17.79,0.70,86.20,28.88,28.62,354.57,28.87,4.02,4.02,0.1844,33.0000,29.88,27.37,997.85
2023-05-15T00:03:50,21.26,1.48,97.51,50.36,28.63,355.06,28.88,4.22,4.22,0.1844,33.0000,29.88,27.37,997.85
2023-05-15T00:03:55,19.53,2.64,63.59,56.01,28.62,355.07,28.88,4.57,4.57,0.1844,33.0000,29.88,27.37,997.83
2023-05-15T00:04:01,13.44,4.19,104.29,12.48,28.63,355.58,28.88,4.72,4.72,0.1844,33.0000,29.89,27.37,997.84
2023-05-15T00:04:06,9.97,7.68,97.51,56.01,28.65,354.70,28.88,4.66,4.66,0.1845,33.0000,29.88,27.37,997.83
