timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P3-PPM,NetPid_P3-PPB_ug,NetPid_P3-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-12-16T00:00:02,30.02,59.72,340.70,395.51,28.57,54.48,37.67,1054.89,25.64,1924.13,0.3,766.3,31.0,1.30,1.30,0.1932,449.3586,32.0000,49.12,23.76,1022.75
2023-12-16T00:00:08,28.94,57.57,377.70,438.48,21.11,40.26,37.72,1055.02,25.65,1924.43,0.3,767.9,31.0,1.23,1.23,0.1932,449.2944,31.0000,49.12,23.75,1022.75
2023-12-16T00:00:13,44.79,89.11,347.64,403.58,33.23,63.37,37.72,1055.29,25.64,1924.89,0.3,767.9,31.0,1.35,1.35,0.1932,449.3079,32.0000,49.12,23.76,1022.77
2023-12-16T00:00:18,41.18,81.93,345.33,400.91,15.05,28.70,37.67,1055.58,25.65,1925.51,0.3,768.6,30.0,1.32,1.32,0.1932,449.3402,31.0000,49.13,23.75,1022.78
2023-12-16T00:00:24,33.26,66.17,354.58,411.65,33.69,64.25,37.71,1055.85,25.65,1925.97,0.3,768.3,31.0,1.30,1.30,0.1933,449.5120,32.0000,49.13,23.75,1022.76
2023-12-16T00:00:29,29.30,58.29,373.08,433.13,20.18,38.48,37.67,1055.40,25.62,1925.19,0.3,767.5,31.0,1.16,1.16,0.1932,449.4322,32.0000,49.13,23.75,1022.79
2023-12-16T00:00:34,36.86,73.33,363.83,422.38,20.18,38.48,37.69,1055.30,25.62,1924.95,0.3,769.3,30.0,1.04,1.04,0.1932,449.4006,31.0000,49.14,23.75,1022.76
2023-12-16T00:00:40,37.22,74.05,356.89,414.33,29.03,55.36,37.69,1055.32,25.65,1925.02,0.3,768.9,31.0,1.11,1.11,0.1932,449.3128,32.0000,49.14,23.76,1022.81
2023-12-16T00:00:45,25.70,51.13,396.20,459.96,29.03,55.36,37.72,1055.85,25.66,1925.95,0.3,770.2,31.0,1.23,1.23,0.1932,449.2499,31.0000,49.13,23.75,1022.76
2023-12-16T00:00:50,33.26,66.17,396.20,459.96,24.84,47.37,37.72,1056.38,25.66,1926.94,0.3,769.3,30.0,1.28,1.28,0.1932,449.2913,32.0000,49.13,23.75,1022.76
2023-12-16T00:00:56,22.09,43.95,359.20,417.01,20.18,38.48,37.70,1056.83,25.62,1927.77,0.3,768.5,31.0,1.23,1.23,0.1932,449.3708,31.0000,49.13,23.75,1022.77
2023-12-16T00:01:01,33.26,66.17,391.58,454.59,20.18,38.48,37.70,1056.89,25.62,1927.82,0.3,769.6,30.0,1.22,1.22,0.1933,449.4847,32.0000,49.14,23.76,1022.77
2023-12-16T00:01:06,29.30,58.29,363.83,422.36,29.03,55.36,37.69,1056.56,25.65,1927.17,0.3,767.9,31.0,1.21,1.21,0.1932,449.2584,32.0000,49.14,23.76,1022.75
2023-12-16T00:01:12,18.13,36.07,359.20,416.99,20.18,38.48,37.72,1056.75,25.64,1927.54,0.3,764.6,30.0,1.15,1.15,0.1932,449.3895,32.0000,49.14,23.75,1022.73
2023-12-16T00:01:17,22.09,43.94,380.02,441.15,24.84,47.37,37.67,1057.52,25.65,1928.89,0.3,765.7,30.0,1.18,1.18,0.1932,449.3557,32.0000,49.13,23.76,1022.73
2023-12-16T00:01:22,29.66,59.01,373.08,433.11,29.50,56.25,37.69,1057.12,25.65,1928.22,0.3,767.2,31.0,1.32,1.32,0.1933,449.4684,31.0000,49.13,23.76,1022.76
2023-12-16T00:01:28,25.70,51.13,363.83,422.36,24.84,47.37,37.72,1056.74,25.64,1927.50,0.3,768.5,31.0,1.29,1.29,0.1932,449.3653,31.0000,49.13,23.76,1022.75
2023-12-16T00:01:33,33.26,66.17,386.95,449.20,20.18,38.48,37.69,1057.13,25.64,1928.22,0.3,769.1,31.0,1.32,1.32,0.1932,449.3753,32.0000,49.14,23.76,1022.75
2023-12-16T00:01:38,36.86,73.33,370.77,430.44,24.84,47.37,37.72,1057.43,25.64,1928.83,0.3,766.0,31.0,1.33,1.33,0.1932,449.3923,32.0000,49.14,23.75,1022.75
2023-12-16T00:01:44,33.26,66.17,382.33,443.85,24.84,47.37,37.73,1057.37,25.64,1928.69,0.3,769.9,31.0,1.41,1.41,0.1932,449.3409,32.0000,49.14,23.75,1022.73
2023-12-16T00:01:49,36.86,73.33,363.83,422.36,20.18,38.48,37.68,1057.43,25.65,1928.76,0.3,767.2,30.0,1.40,1.40,0.1932,449.1991,32.0000,49.14,23.75,1022.71
2023-12-16T00:01:54,40.82,81.20,363.83,422.35,11.32,21.59,37.73,1057.29,25.65,1928.45,0.3,766.2,31.0,1.29,1.29,0.1932,449.3018,32.0000,49.14,23.75,1022.69
