timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-01-05T12:26:34,96.11,186.28,16534.31,18700.70,-277.99,-516.46,53.87,2050.21,21.88,3643.42,0.00,0.00,1.3009,2947.4391,21.0000,58.89,21.21,987.88
2024-01-05T12:26:39,85.40,165.52,16558.35,18727.56,-267.66,-497.26,53.72,2051.33,21.92,3645.35,2.41,4.69,1.1772,2667.0817,21.0000,58.83,21.23,987.93
2024-01-05T12:26:44,68.19,132.16,16505.47,18666.66,-292.08,-542.60,53.54,2047.88,21.96,3638.99,1.98,3.85,1.0002,2266.0674,21.0000,58.80,21.24,987.91
2024-01-05T12:26:49,77.60,150.39,16455.00,18608.75,-254.04,-471.91,53.38,2044.96,22.04,3633.65,1.03,1.85,0.8495,1924.4726,21.0000,58.74,21.26,987.93
2024-01-05T12:26:54,66.89,129.63,16524.70,18687.19,-246.53,-457.95,53.33,2043.02,22.08,3630.13,0.78,1.40,0.7523,1704.1239,21.0000,58.69,21.27,987.94
2024-01-05T12:26:59,66.56,128.98,16539.12,18702.28,-247.94,-460.54,53.19,2045.30,22.11,3633.93,0.59,1.04,0.7028,1592.0072,21.0000,58.67,21.28,987.91
2024-01-05T12:27:04,66.24,128.35,16524.70,18684.75,-235.73,-437.83,53.08,2045.47,22.16,3634.01,0.52,0.95,0.6649,1505.9913,21.0000,58.57,21.30,987.91
2024-01-05T12:27:09,62.67,121.43,16524.70,18684.29,-223.05,-414.27,52.85,2044.58,22.20,3632.33,0.47,0.87,0.6367,1442.2286,22.0000,58.51,21.30,987.89
2024-01-05T12:27:14,59.09,114.49,16563.16,18727.22,-206.14,-382.85,52.45,2041.35,22.23,3626.48,0.49,0.90,0.6102,1382.0526,22.0000,58.01,21.31,987.89
2024-01-05T12:27:19,55.52,107.57,16539.12,18699.11,-216.47,-402.02,52.11,2035.53,22.26,3615.97,3.74,7.02,0.5848,1324.4593,22.0000,57.50,21.32,987.88
2024-01-05T12:27:24,29.22,56.61,16560.75,18723.03,-222.58,-413.35,51.39,2005.80,22.31,3563.05,2.50,4.51,0.5574,1262.4771,22.0000,56.33,21.33,987.88
2024-01-05T12:27:29,25.65,49.69,16541.52,18700.57,-214.13,-397.65,50.41,1798.01,22.31,3193.82,1.77,3.07,0.5379,1218.0907,22.0000,55.70,21.34,987.88
2024-01-05T12:27:34,21.75,42.14,16522.30,18678.65,-210.37,-390.66,49.71,1748.87,22.36,3106.49,1.43,2.39,0.5187,1174.6109,22.0000,54.95,21.35,987.90
2024-01-05T12:27:39,38.31,74.22,16555.94,18717.09,-192.52,-357.52,49.14,1688.18,22.39,2998.75,1.39,2.21,0.5024,1137.7625,22.0000,54.42,21.34,987.89
2024-01-05T12:27:44,34.74,67.30,16531.91,18688.54,-184.07,-341.80,48.55,1609.32,22.42,2858.47,1.44,2.22,0.4854,1099.2293,22.0000,54.17,21.36,987.89
2024-01-05T12:27:49,31.17,60.38,16517.49,18671.88,-188.77,-350.52,48.41,1549.58,22.43,2752.31,1.47,2.23,0.4769,1079.8886,22.0000,54.18,21.36,987.87
2024-01-05T12:27:54,44.16,85.54,16517.49,18671.58,-170.92,-317.37,48.39,1523.10,22.46,2705.23,1.51,2.30,0.4676,1058.9081,22.0000,53.86,21.36,987.85
2024-01-05T12:27:59,40.91,79.25,16483.84,18633.74,-171.39,-318.25,48.31,1514.00,22.47,2689.10,1.58,2.42,0.4563,1033.1955,23.0000,53.51,21.37,987.89
2024-01-05T12:28:04,47.40,91.82,16522.30,18676.21,-153.55,-285.11,47.99,1491.03,22.53,2648.15,1.60,2.43,0.4481,1014.5531,23.0000,53.72,21.38,987.88
2024-01-05T12:28:09,37.34,72.33,16503.07,18654.30,-158.71,-294.68,47.68,1481.79,22.57,2631.71,1.59,2.34,0.4411,998.8594,23.0000,53.19,21.38,987.87
2024-01-05T12:28:14,37.34,72.33,16498.26,18648.56,-154.48,-286.83,47.24,1462.53,22.56,2597.47,1.60,2.35,0.4314,976.8077,23.0000,52.86,21.39,987.88
2024-01-05T12:28:19,37.66,72.95,16512.68,18664.79,-150.26,-278.99,46.96,1385.91,22.59,2461.38,1.61,2.28,0.4234,958.8038,23.0000,52.54,21.39,987.88
2024-01-05T12:28:24,40.58,78.60,16483.84,18631.94,-150.26,-278.99,46.75,1320.27,22.61,2344.77,1.61,2.26,0.4172,944.6487,23.0000,52.39,21.39,987.87
2024-01-05T12:28:29,43.51,84.28,16560.75,18718.66,-141.34,-262.42,46.69,1293.79,22.61,2297.71,1.63,2.27,0.4131,935.3802,23.0000,52.47,21.39,987.86
2024-01-05T12:28:34,37.01,71.69,16546.33,18702.53,-141.80,-263.28,46.53,1287.86,22.64,2287.21,1.46,2.02,0.4085,924.8856,23.0000,52.24,21.39,987.86
2024-01-05T12:28:39,33.76,65.39,16551.14,18708.14,-138.05,-256.32,46.24,1281.18,22.67,2275.37,1.39,1.91,0.4025,911.3470,23.0000,51.70,21.39,987.87
2024-01-05T12:28:44,33.76,65.39,16541.52,18696.40,-133.35,-247.58,45.91,1271.67,22.68,2258.38,1.32,1.79,0.3964,897.6113,23.0000,51.41,21.40,987.86
2024-01-05T12:28:49,37.01,71.69,16522.30,18674.73,-124.43,-231.02,45.68,1257.03,22.68,2232.38,1.40,1.88,0.3931,890.1525,23.0000,51.34,21.40,987.86
2024-01-05T12:28:54,36.69,71.07,16517.49,18669.82,-110.81,-205.74,45.57,1244.05,22.70,2209.40,1.36,1.81,0.3912,885.7713,23.0000,51.62,21.40,987.89
2024-01-05T12:28:59,50.00,96.85,16551.14,18707.34,-120.20,-223.17,45.68,1226.99,22.74,2179.04,1.36,1.83,0.3889,880.6363,23.0000,51.60,21.40,987.86
2024-01-05T12:29:04,43.18,83.64,16541.52,18696.59,-111.28,-206.61,45.71,1216.09,22.74,2159.68,1.29,1.71,0.3848,871.1754,23.0000,51.46,21.40,987.87
2024-01-05T12:29:09,33.11,64.13,16522.30,18674.10,-115.98,-215.32,45.69,1199.52,22.75,2130.17,1.28,1.69,0.3820,864.8710,23.0000,51.29,21.40,987.83
2024-01-05T12:29:14,29.87,57.86,16546.33,18701.73,-102.83,-190.91,45.50,1188.09,22.78,2109.93,1.28,1.68,0.3782,856.2778,24.0000,51.06,21.40,987.86
2024-01-05T12:29:19,39.61,76.72,16541.52,18696.91,-98.13,-182.19,45.31,1157.49,22.77,2055.66,1.24,1.62,0.3760,851.3595,24.0000,51.05,21.40,987.89
2024-01-05T12:29:24,33.11,64.13,16517.49,18668.55,-98.13,-182.18,45.09,1116.66,22.78,1983.02,1.31,1.70,0.3731,844.7497,24.0000,50.90,21.41,987.86
2024-01-05T12:29:29,42.86,83.01,16536.72,18690.04,-102.83,-190.91,45.09,1126.44,22.81,2000.35,1.35,1.76,0.3716,841.3443,24.0000,51.12,21.41,987.85
2024-01-05T12:29:34,39.61,76.72,16507.87,18657.48,-93.90,-174.33,45.06,1120.26,22.83,1989.39,1.39,1.79,0.3698,837.1701,24.0000,50.90,21.41,987.85
2024-01-05T12:29:39,39.61,76.72,14210.09,16060.47,-93.90,-174.33,44.92,1121.12,22.83,1990.92,1.43,1.84,0.3676,832.2028,24.0000,50.80,21.41,987.85
