timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_O3-O3,NetADC_O3-O3_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-22T00:00:00,27.26,51.26,31.58,36.15,33.44,65.60,30.73,493.75,25.28,888.12,1.34,1.34,0.1237,283.6877,29.0000,34.29,23.64,1008.16
2024-03-22T00:00:04,14.58,27.42,60.43,69.18,39.93,78.33,30.73,493.21,25.29,887.12,1.36,1.36,0.1239,284.0946,29.0000,34.30,23.64,1008.14
2024-03-22T00:00:09,32.42,60.96,12.36,14.15,46.75,91.71,30.75,493.15,25.28,887.00,1.40,1.40,0.1239,284.1831,29.0000,34.29,23.65,1008.14
2024-03-22T00:00:14,18.80,35.35,41.20,47.16,46.75,91.71,30.73,492.75,25.27,886.28,1.39,1.39,0.1237,283.7431,29.0000,34.30,23.64,1008.13
2024-03-22T00:00:19,23.50,44.19,31.58,36.15,39.93,78.33,30.71,492.61,25.29,886.03,1.45,1.45,0.1238,283.8089,29.0000,34.30,23.65,1008.15
2024-03-22T00:00:24,27.73,52.14,55.62,63.67,43.18,84.71,30.73,492.70,25.28,886.21,1.44,1.44,0.1238,284.0013,29.0000,34.29,23.64,1008.13
2024-03-22T00:00:30,41.35,77.75,29.18,33.40,33.11,64.95,30.77,492.98,25.25,886.70,1.43,1.43,0.1239,284.2276,29.0000,34.30,23.64,1008.12
2024-03-22T00:00:34,18.80,35.35,33.99,38.91,43.18,84.71,30.73,493.06,25.25,886.91,1.43,1.43,0.1240,284.3269,29.0000,34.31,23.63,1008.16
2024-03-22T00:00:39,23.50,44.19,58.02,66.42,46.43,91.09,30.71,492.55,25.25,885.96,1.42,1.42,0.1240,284.3873,29.0000,34.31,23.63,1008.13
2024-03-22T00:00:44,27.73,52.15,43.60,49.92,46.75,91.72,30.73,491.91,25.27,884.86,1.48,1.48,0.1239,284.1167,29.0000,34.31,23.63,1008.19
2024-03-22T00:00:49,14.58,27.42,48.41,55.42,39.93,78.33,30.75,491.53,25.25,884.12,1.60,1.60,0.1239,284.1167,29.0000,34.31,23.63,1008.13
2024-03-22T00:00:54,32.42,60.97,50.81,58.17,39.93,78.34,30.71,491.06,25.28,883.30,1.77,1.77,0.1239,284.1372,29.0000,34.31,23.63,1008.15
2024-03-22T00:00:59,18.80,35.35,21.97,25.15,39.93,78.34,30.71,491.10,25.28,883.36,1.70,1.70,0.1239,284.2396,29.0000,34.32,23.63,1008.15
2024-03-22T00:01:04,18.80,35.35,46.01,52.67,29.22,57.33,30.74,490.77,25.25,882.79,1.57,1.57,0.1240,284.2686,29.0000,34.32,23.63,1008.16
2024-03-22T00:01:09,14.11,26.53,29.18,33.41,33.11,64.96,30.73,491.05,25.27,883.30,1.36,1.36,0.1239,284.2286,29.0000,34.33,23.63,1008.16
2024-03-22T00:01:14,27.73,52.15,50.81,58.17,33.11,64.96,30.71,490.78,25.27,882.79,1.26,1.26,0.1239,284.0736,29.0000,34.33,23.63,1008.16
2024-03-22T00:01:19,14.11,26.53,50.81,58.17,46.75,91.71,30.73,490.38,25.28,882.07,1.27,1.27,0.1239,284.1191,29.0000,34.32,23.63,1008.14
2024-03-22T00:01:24,27.73,52.15,48.41,55.42,39.93,78.33,30.73,490.24,25.27,881.82,1.28,1.28,0.1239,284.1600,29.0000,34.32,23.63,1008.13
2024-03-22T00:01:29,18.80,35.35,36.39,41.66,39.93,78.34,30.74,490.42,25.27,882.15,1.34,1.34,0.1239,284.1315,29.0000,34.33,23.62,1008.13
2024-03-22T00:01:34,23.50,44.19,67.64,77.44,40.26,78.98,30.78,489.93,25.28,881.26,1.36,1.36,0.1239,284.0874,29.0000,34.34,23.63,1008.15
2024-03-22T00:01:40,27.26,51.26,7.55,8.64,53.90,105.74,30.75,489.75,25.24,880.94,1.39,1.39,0.1239,284.0556,29.0000,34.33,23.63,1008.16
2024-03-22T00:01:45,31.95,60.08,19.57,22.40,37.01,72.61,30.74,489.86,25.27,881.13,1.35,1.35,0.1238,283.9787,29.0000,34.32,23.63,1008.14
2024-03-22T00:01:50,27.26,51.26,33.99,38.91,50.65,99.37,30.75,490.08,25.28,881.52,1.27,1.27,0.1238,284.0116,29.0000,34.32,23.63,1008.13
2024-03-22T00:01:55,27.26,51.26,9.95,11.39,57.14,112.10,30.74,490.26,25.25,881.85,1.26,1.26,0.1242,284.7764,29.0000,34.32,23.63,1008.14
2024-03-22T00:02:00,45.57,85.70,19.57,22.40,50.33,98.74,30.75,490.29,25.25,881.93,1.26,1.28,0.1242,284.8942,29.0000,34.32,23.63,1008.16
2024-03-22T00:02:05,31.95,60.08,33.99,38.91,53.90,105.74,30.77,490.65,25.28,882.56,1.30,1.30,0.1241,284.6587,29.0000,34.33,23.63,1008.16
2024-03-22T00:02:10,36.18,68.04,5.15,5.90,43.83,85.99,30.73,490.46,25.28,882.22,1.31,1.31,0.1241,284.7001,29.0000,34.32,23.63,1008.15
2024-03-22T00:02:15,27.26,51.26,2.74,3.14,57.14,112.09,30.78,490.14,25.27,881.58,1.25,1.25,0.1241,284.5080,29.0000,34.32,23.64,1008.11
2024-03-22T00:02:20,31.95,60.08,14.76,16.90,43.51,85.36,30.75,490.23,25.25,881.79,1.33,1.33,0.1240,284.4337,29.0000,34.32,23.63,1008.14
2024-03-22T00:02:25,36.18,68.04,31.58,36.15,43.51,85.36,30.75,490.27,25.27,881.88,1.44,1.44,0.1241,284.5747,29.0000,34.31,23.63,1008.15
2024-03-22T00:02:30,18.33,34.47,5.15,5.90,53.57,105.09,30.75,489.58,25.27,880.62,1.54,1.54,0.1241,284.6580,29.0000,34.32,23.63,1008.13
2024-03-22T00:02:35,27.26,51.26,5.15,5.90,50.33,98.74,30.77,490.14,25.25,881.64,1.58,1.58,0.1241,284.6926,29.0000,34.32,23.63,1008.13
2024-03-22T00:02:40,36.18,68.03,7.55,8.64,47.08,92.36,30.74,490.51,25.27,882.29,1.53,1.53,0.1243,284.9989,29.0000,34.31,23.63,1008.12
2024-03-22T00:02:45,36.18,68.04,14.76,16.90,47.08,92.36,30.77,490.71,25.25,882.68,1.46,1.46,0.1242,284.8545,29.0000,34.32,23.63,1008.15
2024-03-22T00:02:50,9.41,17.69,2.74,3.14,50.65,99.36,30.75,491.45,25.25,883.98,1.30,1.30,0.1242,284.8071,29.0000,34.32,23.63,1008.12
2024-03-22T00:02:55,36.18,68.04,7.55,8.64,43.83,85.99,30.77,491.92,25.27,884.83,1.19,1.19,0.1242,284.8710,29.0000,34.31,23.63,1008.13
2024-03-22T00:03:00,36.18,68.03,21.97,25.15,47.08,92.36,30.79,491.65,25.24,884.31,1.21,1.21,0.1242,284.7592,29.0000,34.31,23.64,1008.13
2024-03-22T00:03:05,36.18,68.03,26.78,30.66,53.90,105.74,30.71,491.95,25.27,884.86,1.28,1.28,0.1243,284.9585,29.0000,34.31,23.64,1008.15
2024-03-22T00:03:10,31.95,60.08,-4.47,-5.12,50.65,99.36,30.74,491.51,25.24,884.08,1.29,1.29,0.1243,284.9580,29.0000,34.31,23.64,1008.14
2024-03-22T00:03:15,27.26,51.26,31.58,36.15,43.83,85.98,30.73,491.71,25.25,884.45,1.25,1.25,0.1242,284.8958,29.0000,34.31,23.64,1008.16
2024-03-22T00:03:20,31.48,59.20,14.76,16.90,53.90,105.74,30.77,491.86,25.27,884.71,1.32,1.32,0.1243,285.0216,29.0000,34.31,23.63,1008.12
2024-03-22T00:03:25,27.26,51.26,26.78,30.66,43.83,85.99,30.80,491.89,25.27,884.78,1.36,1.36,0.1243,284.9912,29.0000,34.31,23.63,1008.13
