timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-18T10:11:31,-79.11,-161.44,45.34,88.69,66.06,485.34,12.58,908.11,1.97,2.28,0.7348,1752.8989,11.0000,76.02,11.33,1005.20
2024-03-18T10:11:36,1.93,3.94,29.50,57.70,65.88,484.53,12.70,906.43,2.24,2.53,0.5867,1399.4132,11.0000,76.17,11.38,1005.21
2024-03-18T10:11:42,41.90,85.47,41.62,81.38,65.61,485.29,12.78,907.67,2.29,2.52,0.4900,1168.5218,11.0000,75.85,11.44,1005.21
2024-03-18T10:11:47,91.25,186.12,30.90,60.41,65.12,483.68,12.90,904.52,2.57,2.77,0.4336,1033.8962,12.0000,75.56,11.49,1005.23
2024-03-18T10:11:52,129.07,263.22,34.63,67.70,64.74,483.43,12.95,903.94,2.87,3.06,0.4053,966.2733,12.0000,75.33,11.53,1005.24
2024-03-18T10:11:57,154.28,314.56,20.18,39.44,64.30,481.83,13.08,900.75,2.90,3.07,0.3870,922.2894,12.0000,75.23,11.58,1005.20
2024-03-18T10:12:03,175.89,358.57,45.81,89.52,64.09,481.37,13.16,899.74,2.83,2.95,0.3728,888.3172,12.0000,75.21,11.63,1005.21
2024-03-18T10:12:08,185.98,379.07,22.97,44.88,63.87,481.51,13.27,899.84,2.86,2.98,0.3638,866.6826,12.0000,75.23,11.68,1005.21
2024-03-18T10:12:13,199.30,406.16,31.36,61.26,63.75,481.84,13.32,900.33,3.12,3.20,0.3576,851.9504,12.0000,75.19,11.73,1005.24
2024-03-18T10:12:19,201.46,410.49,25.77,50.33,63.36,482.02,13.45,900.53,3.28,3.36,0.3508,835.6251,13.0000,74.87,11.77,1005.22
2024-03-18T10:12:24,218.39,444.92,21.11,41.22,63.06,482.23,13.53,900.76,3.11,3.19,0.3427,816.0862,13.0000,74.61,11.83,1005.26
2024-03-18T10:12:30,219.83,447.78,29.03,56.68,62.72,481.81,13.60,899.83,2.82,2.89,0.3355,798.9518,13.0000,74.41,11.87,1005.24
2024-03-18T10:12:35,217.31,442.57,29.03,56.67,62.28,482.52,13.70,901.00,2.61,2.67,0.3278,780.3399,13.0000,74.22,11.92,1005.25
2024-03-18T10:12:40,218.75,445.42,15.05,29.37,62.05,482.92,13.78,901.59,2.68,2.74,0.3225,767.5214,13.0000,74.04,11.97,1005.23
2024-03-18T10:12:46,219.83,447.54,10.39,20.28,61.71,483.40,13.85,902.33,2.77,2.84,0.3294,783.8101,13.0000,73.89,12.01,1005.21
2024-03-18T10:12:51,221.27,450.39,14.59,28.47,61.53,483.13,13.93,901.66,2.80,2.80,0.3309,787.2634,14.0000,73.77,12.07,1005.23
2024-03-18T10:12:56,233.52,475.26,9.93,19.37,61.23,482.94,14.03,901.18,2.82,2.82,0.3278,779.7609,14.0000,73.53,12.11,1005.23
2024-03-18T10:13:02,241.80,492.00,14.12,27.54,60.97,483.47,14.05,901.97,2.82,2.82,0.3226,767.2503,14.0000,73.28,12.16,1005.19
2024-03-18T10:13:07,227.76,463.39,9.46,18.45,60.70,484.02,14.20,902.89,3.00,3.00,0.3172,754.3144,14.0000,73.12,12.20,1005.22
2024-03-18T10:13:12,243.60,495.51,13.65,26.61,60.53,483.75,14.21,902.20,3.03,3.03,0.3114,740.3627,14.0000,73.00,12.25,1005.19
2024-03-18T10:13:18,221.99,451.48,8.99,17.53,60.25,483.38,14.31,901.38,3.04,3.04,0.3083,732.9820,14.0000,72.86,12.29,1005.17
2024-03-18T10:13:23,222.71,452.86,13.19,25.71,60.10,483.54,14.39,901.51,2.92,2.96,0.3049,724.6931,14.0000,72.72,12.35,1005.20
2024-03-18T10:13:29,219.83,446.94,13.19,25.71,59.94,483.66,14.45,901.60,2.79,2.82,0.2997,712.3277,15.0000,72.60,12.40,1005.23
2024-03-18T10:13:34,220.19,447.60,8.53,16.62,59.82,484.47,14.51,902.95,2.80,2.83,0.2959,703.1495,15.0000,72.45,12.45,1005.23
2024-03-18T10:13:39,217.31,441.66,12.72,24.78,59.60,485.79,14.61,905.26,2.91,2.94,0.2930,696.1582,15.0000,72.31,12.49,1005.20
2024-03-18T10:13:45,218.03,443.05,25.77,50.20,59.40,486.02,14.65,905.54,2.99,3.02,0.2880,684.1563,15.0000,71.96,12.54,1005.21
2024-03-18T10:13:50,207.23,421.04,25.77,50.19,58.89,487.30,14.73,907.76,2.93,2.96,0.2810,667.3638,15.0000,71.64,12.59,1005.22
2024-03-18T10:13:55,211.55,429.75,7.60,14.80,58.82,487.96,14.79,908.84,3.03,3.06,0.2767,657.1452,15.0000,71.67,12.64,1005.23
2024-03-18T10:14:01,208.31,423.08,-5.45,-10.61,58.77,489.04,14.87,910.69,3.02,3.05,0.2754,653.9216,15.0000,71.72,12.69,1005.21
2024-03-18T10:14:06,205.06,416.42,25.30,49.25,58.65,490.10,14.93,912.51,2.92,2.96,0.2725,646.9098,15.0000,71.56,12.75,1005.26
2024-03-18T10:14:11,209.39,425.12,7.60,14.79,58.54,492.11,15.02,916.08,2.92,2.95,0.2697,640.0802,15.0000,71.41,12.81,1005.27
2024-03-18T10:14:17,202.18,410.43,7.13,13.87,58.43,493.26,15.04,918.08,2.81,2.84,0.2658,630.7805,16.0000,71.31,12.84,1005.24
2024-03-18T10:14:22,202.90,411.81,20.64,40.15,58.38,495.51,15.13,922.11,2.69,2.72,0.2636,625.4456,16.0000,71.27,12.90,1005.26
2024-03-18T10:14:27,192.10,389.83,2.47,4.80,58.20,497.13,15.19,924.97,2.77,2.80,0.2607,618.4787,16.0000,71.03,12.94,1005.24
2024-03-18T10:14:33,192.46,390.50,2.47,4.80,57.73,499.17,15.27,928.63,3.00,3.03,0.2560,607.1924,16.0000,70.69,12.99,1005.27
2024-03-18T10:14:38,192.82,391.18,11.32,22.01,57.51,500.52,15.33,931.02,3.09,3.12,0.2521,597.7963,16.0000,70.61,13.03,1005.28
2024-03-18T10:14:44,193.18,391.83,11.32,22.01,57.37,501.83,15.38,933.26,2.94,2.96,0.2500,592.7492,16.0000,70.57,13.08,1005.24
2024-03-18T10:14:49,178.77,362.55,2.47,4.80,57.20,502.76,15.44,934.84,2.89,2.92,0.2489,590.0383,16.0000,70.47,13.13,1005.27
2024-03-18T10:14:54,193.90,393.18,6.66,12.94,57.01,505.10,15.51,939.07,2.81,2.84,0.2462,583.5671,16.0000,70.33,13.17,1005.26
2024-03-18T10:15:00,183.09,371.19,15.52,30.16,56.83,507.08,15.55,942.58,2.85,2.87,0.2434,576.8634,16.0000,70.29,13.22,1005.26
2024-03-18T10:15:05,175.89,356.55,-2.19,-4.26,56.75,510.90,15.64,949.56,2.75,2.78,0.2416,572.6163,16.0000,70.25,13.26,1005.28
2024-03-18T10:15:10,176.25,357.22,10.86,21.10,56.72,514.72,15.66,956.50,2.53,2.56,0.2400,568.7127,17.0000,70.18,13.31,1005.28
2024-03-18T10:15:16,180.21,365.20,11.32,21.99,56.56,518.14,15.73,962.74,2.47,2.49,0.2373,562.2470,17.0000,69.98,13.35,1005.30
2024-03-18T10:15:21,165.81,335.94,2.00,3.88,56.44,521.00,15.77,967.84,2.56,2.59,0.2354,557.5273,17.0000,69.81,13.40,1005.25
2024-03-18T10:15:26,169.77,343.92,2.00,3.88,56.17,523.64,15.86,972.60,2.53,2.56,0.2334,552.7416,17.0000,69.63,13.44,1005.24
2024-03-18T10:15:32,169.77,343.86,2.00,3.88,56.01,525.78,15.91,976.40,2.49,2.52,0.2308,546.4174,17.0000,69.49,13.48,1005.22
2024-03-18T10:15:37,155.36,314.62,2.00,3.88,55.85,528.55,15.96,981.39,2.38,2.40,0.2293,542.9298,17.0000,69.28,13.53,1005.23
2024-03-18T10:15:43,159.32,322.59,15.05,29.21,55.82,530.01,15.99,983.94,2.38,2.41,0.2271,537.4153,17.0000,69.08,13.57,1005.20
2024-03-18T10:15:48,152.12,307.96,1.54,2.99,55.59,531.04,16.09,985.72,2.37,2.40,0.2246,531.4678,17.0000,68.84,13.61,1005.20
2024-03-18T10:15:53,159.68,323.22,6.20,12.03,55.40,530.49,16.11,984.55,2.48,2.51,0.2218,524.9380,17.0000,68.68,13.66,1005.23
2024-03-18T10:15:59,156.44,316.61,1.54,2.99,54.99,530.56,16.17,984.52,2.60,2.63,0.2196,519.5826,17.0000,68.38,13.70,1005.21
2024-03-18T10:16:04,152.84,309.28,-11.98,-23.24,54.72,530.27,16.20,983.84,2.78,2.81,0.2162,511.4322,18.0000,68.03,13.74,1005.21
2024-03-18T10:16:09,153.20,309.98,-7.78,-15.09,54.19,530.42,16.29,984.00,2.88,2.91,0.2129,503.6626,18.0000,67.52,13.78,1005.23
2024-03-18T10:16:15,146.00,295.36,-3.12,-6.05,53.98,530.15,16.32,983.34,2.73,2.75,0.2101,496.8789,18.0000,67.29,13.83,1005.23
2024-03-18T10:16:20,149.96,303.33,-3.12,-6.05,53.79,529.27,16.37,981.57,2.61,2.63,0.2087,493.4796,18.0000,67.09,13.86,1005.20
2024-03-18T10:16:25,142.75,288.71,-11.98,-23.22,53.60,528.37,16.40,979.79,2.63,2.65,0.2088,493.6427,18.0000,66.70,13.90,1005.22
2024-03-18T10:16:31,131.95,266.82,-3.12,-6.05,53.22,527.49,16.47,977.97,2.76,2.79,0.2072,489.8372,18.0000,66.39,13.95,1005.22
2024-03-18T10:16:36,124.39,251.49,14.59,28.27,52.97,526.68,16.50,976.32,3.00,3.03,0.2062,487.3945,18.0000,66.14,13.99,1005.18
2024-03-18T10:16:42,131.95,266.72,-12.44,-24.10,52.72,525.51,16.57,973.96,3.16,3.18,0.2041,482.3863,18.0000,65.91,14.05,1005.21
2024-03-18T10:16:47,124.75,252.15,-7.78,-15.07,52.54,525.18,16.61,973.26,3.23,3.26,0.2033,480.3303,18.0000,65.71,14.08,1005.22
2024-03-18T10:16:52,128.71,260.11,-3.59,-6.95,52.30,525.46,16.66,973.64,3.07,3.09,0.2019,476.8839,18.0000,65.47,14.12,1005.22
2024-03-18T10:16:58,124.75,252.08,-12.44,-24.09,52.08,524.79,16.71,972.27,2.73,2.75,0.2007,474.1150,18.0000,65.17,14.16,1005.22
2024-03-18T10:17:03,129.07,260.76,-3.59,-6.95,51.80,524.22,16.74,971.03,2.48,2.50,0.1995,471.1419,18.0000,64.88,14.20,1005.17
2024-03-18T10:17:08,125.47,253.45,-3.59,-6.95,51.63,523.25,16.80,969.11,2.43,2.46,0.1985,468.6837,18.0000,64.67,14.24,1005.18
2024-03-18T10:17:14,125.47,253.40,-12.44,-24.08,51.38,522.47,16.84,967.47,2.35,2.37,0.1977,466.7239,19.0000,64.45,14.29,1005.15
