timestamp(UTC),NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_O3-O3,NetADC_O3-O3_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-03-26T23:00:01,31.95,58.29,46.01,51.10,47.08,89.60,25.42,478.81,24.81,835.52,1.73,1.73,0.1178,261.9771,29.0000,28.22,23.29,976.91
2024-03-26T23:00:06,40.88,74.58,89.27,99.14,47.08,89.60,25.46,478.85,24.80,835.59,1.78,1.78,0.1178,261.9804,29.0000,28.22,23.29,976.90
2024-03-26T23:00:11,40.88,74.58,55.62,61.77,53.57,101.96,25.45,478.97,24.83,835.81,1.78,1.78,0.1178,261.9937,29.0000,28.20,23.28,976.87
2024-03-26T23:00:16,31.95,58.29,53.22,59.11,47.08,89.60,25.43,478.91,24.80,835.72,1.69,1.69,0.1179,262.2577,29.0000,28.20,23.28,976.89
2024-03-26T23:00:21,27.26,49.73,58.02,64.44,47.08,89.61,25.48,479.07,24.80,836.00,1.64,1.64,0.1179,262.2099,29.0000,28.20,23.28,976.89
2024-03-26T23:00:26,36.18,66.00,60.43,67.12,40.26,76.62,25.46,479.32,24.80,836.44,1.59,1.59,0.1179,262.2158,29.0000,28.20,23.28,976.89
2024-03-26T23:00:31,40.88,74.58,65.23,72.44,43.83,83.42,25.43,479.58,24.77,836.87,1.54,1.54,0.1178,262.1333,29.0000,28.20,23.28,976.86
2024-03-26T23:00:36,36.65,66.86,48.41,53.77,47.08,89.61,25.42,479.86,24.79,837.39,1.62,1.62,0.1179,262.2031,29.0000,28.21,23.28,976.91
2024-03-26T23:00:41,40.88,74.58,53.22,59.11,47.08,89.60,25.42,480.12,24.81,837.82,1.67,1.67,0.1178,262.0894,29.0000,28.20,23.28,976.88
2024-03-26T23:00:46,36.65,66.86,46.01,51.10,47.08,89.60,25.37,480.46,24.80,838.40,1.73,1.73,0.1179,262.2423,29.0000,28.21,23.28,976.86
2024-03-26T23:00:51,23.03,42.02,70.04,77.79,53.90,102.59,25.43,481.06,24.81,839.48,1.86,1.86,0.1178,262.0192,29.0000,28.20,23.27,976.87
2024-03-26T23:00:56,40.88,74.58,55.62,61.78,57.14,108.76,25.48,481.52,24.80,840.29,1.93,1.93,0.1178,262.1098,29.0000,28.20,23.27,976.89
2024-03-26T23:01:01,9.41,17.17,72.44,80.45,50.33,95.79,25.40,481.57,24.79,840.37,1.96,1.96,0.1179,262.3731,29.0000,28.22,23.27,976.87
2024-03-26T23:01:06,31.95,58.29,62.83,69.78,50.33,95.79,25.43,482.36,24.77,841.75,1.91,1.91,0.1179,262.2401,29.0000,28.22,23.27,976.87
2024-03-26T23:01:11,27.26,49.73,65.23,72.45,43.83,83.42,25.43,481.99,24.79,841.10,1.84,1.84,0.1179,262.3398,29.0000,28.21,23.27,976.86
2024-03-26T23:01:16,31.95,58.29,77.25,85.79,47.08,89.60,25.44,481.20,24.80,839.69,1.75,1.75,0.1180,262.4514,29.0000,28.21,23.28,976.87
2024-03-26T23:01:21,36.65,66.86,70.04,77.79,43.83,83.42,25.40,481.32,24.79,839.94,1.75,1.75,0.1179,262.3760,29.0000,28.20,23.28,976.90
2024-03-26T23:01:26,31.95,58.29,65.23,72.44,50.33,95.79,25.43,480.77,24.79,838.93,1.76,1.76,0.1179,262.2233,29.0000,28.19,23.28,976.86
2024-03-26T23:01:31,27.26,49.73,72.44,80.45,47.08,89.60,25.49,481.23,24.76,839.73,1.73,1.73,0.1178,262.1554,29.0000,28.19,23.29,976.88
2024-03-26T23:01:36,36.18,66.00,74.85,83.13,50.33,95.79,25.43,481.90,24.77,840.89,1.75,1.75,0.1178,262.1571,29.0000,28.19,23.29,976.88
2024-03-26T23:01:41,40.88,74.58,70.04,77.78,43.51,82.81,25.49,481.71,24.77,840.56,1.70,1.70,0.1179,262.2487,29.0000,28.19,23.29,976.88
2024-03-26T23:01:46,36.65,66.86,53.22,59.10,47.08,89.60,25.49,481.89,24.76,840.86,1.66,1.66,0.1179,262.1857,29.0000,28.19,23.30,976.88
2024-03-26T23:01:51,40.88,74.58,55.62,61.77,47.08,89.60,25.44,481.80,24.80,840.72,1.64,1.64,0.1178,262.0122,29.0000,28.18,23.30,976.91
2024-03-26T23:01:56,40.88,74.57,70.04,77.78,50.33,95.78,25.46,481.94,24.79,840.95,1.70,1.70,0.1178,262.0546,29.0000,28.18,23.30,976.89
2024-03-26T23:02:01,31.95,58.28,74.85,83.12,47.08,89.60,25.46,482.15,24.79,841.29,1.73,1.73,0.1179,262.2134,29.0000,28.17,23.30,976.85
2024-03-26T23:02:06,36.65,66.86,84.46,93.79,40.26,76.62,25.46,482.17,24.80,841.32,1.83,1.83,0.1178,262.0982,29.0000,28.17,23.31,976.90
2024-03-26T23:02:11,31.95,58.28,74.85,83.12,53.90,102.57,25.48,481.93,24.81,840.90,1.91,1.91,0.1178,262.1571,29.0000,28.16,23.30,976.85
2024-03-26T23:02:16,31.95,58.28,55.62,61.77,43.51,82.80,25.42,481.52,24.81,840.20,1.89,1.89,0.1178,262.0221,29.0000,28.18,23.30,976.88
2024-03-26T23:02:21,36.18,66.00,55.62,61.77,47.08,89.60,25.40,481.73,24.80,840.57,1.86,1.86,0.1178,262.1113,29.0000,28.17,23.30,976.87
2024-03-26T23:02:26,40.88,74.57,77.25,85.78,50.33,95.78,25.43,481.41,24.81,839.97,1.90,1.90,0.1178,262.1469,29.0000,28.18,23.31,976.85
2024-03-26T23:02:31,31.95,58.28,36.39,40.41,47.08,89.60,25.44,481.32,24.79,839.84,1.79,1.79,0.1178,262.0682,29.0000,28.18,23.31,976.90
2024-03-26T23:02:36,31.95,58.28,96.48,107.14,43.83,83.41,25.44,481.06,24.77,839.38,1.79,1.79,0.1178,262.0156,29.0000,28.17,23.31,976.88
2024-03-26T23:02:41,27.26,49.73,60.43,67.11,47.08,89.59,25.42,481.25,24.80,839.71,1.64,1.64,0.1178,262.0819,29.0000,28.16,23.31,976.87
2024-03-26T23:02:46,31.95,58.28,77.25,85.79,50.33,95.78,25.44,480.99,24.80,839.26,1.55,1.55,0.1178,261.9965,29.0000,28.17,23.31,976.89
2024-03-26T23:02:51,31.95,58.28,58.02,64.43,57.14,108.74,25.44,480.57,24.79,838.52,1.71,1.71,0.1178,262.0414,29.0000,28.17,23.31,976.87
2024-03-26T23:02:56,45.57,83.12,94.08,104.47,50.33,95.78,25.44,481.04,24.80,839.32,1.71,1.71,0.1178,262.1260,29.0000,28.17,23.31,976.86
2024-03-26T23:03:01,36.18,66.00,26.78,29.74,43.83,83.41,25.42,480.65,24.80,838.70,1.72,1.72,0.1178,262.1247,29.0000,28.16,23.30,976.89
2024-03-26T23:03:06,27.26,49.73,70.04,77.78,47.08,89.60,25.43,480.07,24.80,837.69,1.82,1.82,0.1179,262.2035,29.0000,28.17,23.30,976.89
2024-03-26T23:03:11,31.95,58.29,48.41,53.76,47.08,89.60,25.40,478.73,24.81,835.38,1.83,1.83,0.1178,262.1504,29.0000,28.18,23.29,976.90
2024-03-26T23:03:16,45.57,83.13,41.20,45.76,47.08,89.60,25.49,478.12,24.79,834.29,1.92,1.92,0.1178,262.1210,29.0000,28.18,23.29,976.87
2024-03-26T23:03:21,31.95,58.28,53.22,59.10,47.08,89.60,25.43,477.48,24.79,833.19,1.79,1.79,0.1179,262.2400,29.0000,28.18,23.29,976.88
2024-03-26T23:03:26,36.65,66.86,65.23,72.44,47.08,89.60,25.44,477.46,24.80,833.14,1.69,1.69,0.1179,262.1778,29.0000,28.18,23.30,976.89
2024-03-26T23:03:31,36.18,66.00,74.85,83.12,43.83,83.41,25.46,477.67,24.81,833.47,1.71,1.71,0.1179,262.1737,29.0000,28.17,23.30,976.86
2024-03-26T23:03:36,31.95,58.28,77.25,85.79,47.08,89.60,25.43,477.51,24.80,833.21,1.77,1.77,0.1178,262.0681,29.0000,28.15,23.30,976.88
2024-03-26T23:03:41,45.57,83.13,79.66,88.46,43.83,83.41,25.37,477.00,24.80,832.31,1.76,1.76,0.1178,262.0478,29.0000,28.16,23.30,976.86
2024-03-26T23:03:46,36.18,66.00,77.25,85.79,53.90,102.58,25.40,477.23,24.81,832.70,1.78,1.78,0.1178,261.9547,29.0000,28.17,23.30,976.87
2024-03-26T23:03:51,31.95,58.28,55.62,61.77,47.08,89.60,25.39,477.18,24.81,832.62,1.77,1.77,0.1177,261.8804,29.0000,28.16,23.30,976.85
2024-03-26T23:03:56,31.95,58.28,77.25,85.79,43.83,83.41,25.42,476.64,24.83,831.72,1.76,1.76,0.1177,261.8296,29.0000,28.16,23.30,976.90
