timestamp(UTC),NetADC_SO2-SO2,NetADC_H2Sb-H2Sb,NetADC_CO-CO,NetADC_NO2-NO2,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-04-28T09:49:11,852.94,3081.87,15434.62,257.25,26.58,408.63,21.08,8.44,14.87,0.9882,20.0000,27.17,19.98,1000.42
2023-04-28T09:49:16,699.12,2785.53,15434.62,231.25,26.45,412.92,21.17,5.69,9.70,0.5591,20.0000,27.18,19.98,1000.40
2023-04-28T09:49:22,619.16,2542.65,15423.32,221.07,26.52,414.10,21.22,4.37,7.41,0.4034,20.0000,27.21,19.99,1000.43
2023-04-28T09:49:27,560.07,2314.10,13594.08,222.20,26.46,415.12,21.28,2.56,4.18,0.3407,20.0000,27.23,19.99,1000.42
2023-04-28T09:49:33,515.75,2116.92,9472.07,189.98,26.51,417.99,21.32,2.17,3.55,0.3154,20.0000,27.23,20.01,1000.40
2023-04-28T09:49:38,473.17,1932.92,6831.09,201.29,26.59,421.27,21.37,1.21,1.70,0.3041,20.0000,27.27,20.01,1000.45
2023-04-28T09:49:44,437.53,1766.35,5031.25,196.20,26.52,423.53,21.44,1.04,1.40,0.3369,21.0000,27.28,20.02,1000.40
2023-04-28T09:49:50,411.46,1605.59,3837.38,185.46,26.48,424.14,21.48,1.06,1.45,0.3315,21.0000,27.32,20.03,1000.39
2023-04-28T09:49:55,382.79,1486.28,3005.29,170.20,26.29,426.38,21.53,1.11,1.45,0.3208,21.0000,27.35,20.03,1000.40
2023-04-28T09:50:01,356.71,1362.32,2451.32,164.54,26.25,428.35,21.56,1.09,1.40,0.3112,21.0000,27.38,20.04,1000.42
2023-04-28T09:50:06,345.42,1257.73,2075.98,159.46,26.20,429.59,21.63,0.98,1.23,0.3050,21.0000,27.41,20.06,1000.41
2023-04-28T09:50:12,334.12,1152.36,1779.77,143.06,26.18,431.31,21.65,0.87,1.09,0.3016,21.0000,27.45,20.06,1000.39
2023-04-28T09:50:17,315.87,1069.85,1555.92,148.72,26.16,433.83,21.68,0.77,0.94,0.2992,21.0000,27.47,20.07,1000.42
2023-04-28T09:50:23,298.49,987.34,1402.17,149.28,26.13,435.75,21.75,0.75,0.88,0.2941,21.0000,27.51,20.08,1000.43
2023-04-28T09:50:29,300.23,906.38,1273.28,154.93,26.12,437.94,21.78,0.84,1.02,0.2909,22.0000,27.52,20.09,1000.45
2023-04-28T09:50:34,275.89,839.37,1216.76,138.54,26.14,438.43,21.79,0.83,0.99,0.2873,22.0000,27.55,20.11,1000.42
2023-04-28T09:50:40,272.42,773.13,1119.53,138.54,26.07,440.73,21.86,0.77,0.93,0.2843,22.0000,27.58,20.11,1000.46
2023-04-28T09:50:45,261.99,716.57,1065.26,128.37,26.12,442.54,21.88,0.69,0.83,0.2819,22.0000,27.62,20.12,1000.43
2023-04-28T09:50:51,243.74,669.31,1006.47,139.11,26.13,445.18,21.93,0.64,0.76,0.2788,22.0000,27.64,20.13,1000.41
2023-04-28T09:50:56,230.70,622.83,961.25,117.63,26.23,446.57,21.95,0.66,0.76,0.2797,22.0000,27.66,20.15,1000.44
2023-04-28T09:51:02,225.49,574.79,922.81,117.63,26.30,448.33,21.96,0.63,0.72,0.2685,22.0000,27.69,20.15,1000.40
2023-04-28T09:51:08,226.36,530.63,888.89,118.19,26.19,450.62,22.00,0.63,0.70,0.2711,22.0000,27.72,20.16,1000.43
2023-04-28T09:51:13,218.54,504.29,843.67,128.93,26.14,451.41,22.00,0.70,0.77,0.2744,22.0000,27.74,20.17,1000.43
2023-04-28T09:51:19,207.24,458.97,796.19,118.19,26.07,453.84,22.06,0.70,0.77,0.2740,22.0000,27.77,20.18,1000.43
2023-04-28T09:51:24,210.72,436.11,771.32,112.54,26.03,454.14,22.10,0.66,0.72,0.2719,22.0000,27.78,20.19,1000.40
2023-04-28T09:51:30,191.60,404.35,755.49,101.80,25.95,455.24,22.14,0.72,0.77,0.2664,22.0000,27.80,20.21,1000.43
2023-04-28T09:51:35,213.32,383.43,728.36,112.54,25.94,455.31,22.14,0.77,0.82,0.2651,23.0000,27.82,20.21,1000.41
2023-04-28T09:51:41,194.20,352.05,712.53,107.45,25.94,456.49,22.19,0.75,0.79,0.2652,23.0000,27.85,20.23,1000.41
2023-04-28T09:51:47,175.95,333.85,696.70,113.10,25.94,457.77,22.23,0.81,0.86,0.2639,23.0000,27.88,20.24,1000.40
2023-04-28T09:51:52,178.56,313.31,685.39,101.80,26.04,459.18,22.24,0.80,0.85,0.2630,23.0000,27.90,20.24,1000.39
2023-04-28T09:51:58,168.13,293.56,640.17,85.97,26.07,459.90,22.26,0.79,0.84,0.2573,23.0000,27.94,20.25,1000.39
2023-04-28T09:52:03,183.78,271.48,631.13,91.62,26.14,460.39,22.30,0.74,0.78,0.2609,23.0000,27.97,20.27,1000.42
