timestamp(UTC),NetPM-PM25,NetPM-PM10,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA,NetADC_NO2-NO2,NetADC_NO2-NO2_ug
2024-02-26T12:55:36,2.95,3.41,44.67,1445.28,24.48,2559.45,0.8623,1946.8540,24.0000,49.14,23.24,991.24,9.88,18.29
2024-02-26T12:55:41,2.53,2.84,44.40,1439.54,24.52,2549.14,0.6967,1572.9893,25.0000,48.99,23.26,991.24,0.96,1.78
2024-02-26T12:55:46,2.49,3.00,44.26,1429.60,24.53,2531.44,0.6132,1384.4027,25.0000,48.78,23.27,991.24,-8.43,-15.61
2024-02-26T12:55:51,2.25,2.73,44.09,1415.09,24.56,2505.63,0.5712,1289.4502,25.0000,48.59,23.28,991.23,5.18,9.59
2024-02-26T12:55:56,1.99,2.39,43.93,1349.23,24.59,2388.92,0.5374,1213.1165,25.0000,48.51,23.30,991.26,0.96,1.78
2024-02-26T12:56:01,1.82,2.15,43.84,1267.91,24.62,2244.86,0.5122,1156.1120,25.0000,48.41,23.31,991.25,1.43,2.65
2024-02-26T12:56:06,1.86,2.18,43.72,1255.04,24.63,2221.88,0.4907,1107.5827,25.0000,48.26,23.33,991.23,18.80,34.80
2024-02-26T12:56:11,1.83,2.12,43.48,1245.32,24.66,2204.75,0.4733,1068.2418,25.0000,48.18,23.33,991.27,19.27,35.67
2024-02-26T12:56:16,1.76,2.03,43.44,1242.02,24.67,2198.75,0.4596,1037.2414,25.0000,48.22,23.34,991.23,1.43,2.65
2024-02-26T12:56:21,1.66,1.90,43.57,1242.24,24.72,2199.13,0.4497,1015.0519,25.0000,48.44,23.35,991.26,-3.27,-6.05
2024-02-26T12:56:26,1.64,1.88,43.71,1244.13,24.74,2202.46,0.4397,992.5088,25.0000,48.26,23.36,991.28,1.43,2.65
2024-02-26T12:56:31,1.63,1.86,43.49,1239.60,24.77,2194.27,0.4298,970.0389,25.0000,47.88,23.37,991.25,5.65,10.46
2024-02-26T12:56:36,1.51,1.71,43.21,1233.04,24.77,2182.58,0.4220,952.2822,25.0000,47.78,23.38,991.24,5.18,9.59
