timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-02-26T12:52:00,43.46,84.07,16.22,30.08,45.89,1502.07,23.81,2664.10,4.81,7.64,0.9667,2185.9979,23.0000,49.35,23.10,992.28
2024-02-26T12:52:05,40.18,77.72,-2.38,-4.41,45.72,1498.58,23.85,2657.75,3.82,5.59,0.7741,1750.4214,23.0000,48.92,23.12,992.29
2024-02-26T12:52:10,53.28,103.06,30.53,56.60,45.15,1486.24,23.88,2635.80,3.29,4.59,0.6378,1442.0133,23.0000,48.77,23.13,992.30
2024-02-26T12:52:15,53.28,103.05,11.93,22.12,45.20,1472.35,23.91,2610.95,2.87,3.84,0.5514,1246.7468,23.0000,49.14,23.15,992.29
2024-02-26T12:52:20,56.22,108.73,25.76,47.76,45.27,1457.84,23.96,2585.15,2.74,3.67,0.4849,1096.1743,23.0000,49.26,23.17,992.33
2024-02-26T12:55:33,32.65,63.06,-7.15,-13.24,43.19,1486.30,24.62,2632.13,1.24,1.37,0.6616,1493.6919,25.0000,47.40,23.56,992.32
2024-02-26T12:55:38,32.65,63.06,6.20,11.48,43.06,1479.15,24.65,2619.39,1.35,1.48,0.5084,1147.8459,25.0000,46.86,23.57,992.32
2024-02-26T12:55:43,52.95,102.27,20.51,37.97,42.45,1447.18,24.67,2562.73,1.54,1.72,0.4230,955.0861,25.0000,46.57,23.58,992.34
2024-02-26T12:55:48,42.47,82.02,15.74,29.14,42.33,1405.84,24.69,2489.30,1.72,1.98,0.3867,872.9026,25.0000,46.64,23.60,992.32
2024-02-26T12:55:53,49.35,95.30,20.51,37.97,42.42,1320.73,24.70,2338.49,1.93,2.18,0.3631,819.6414,25.0000,46.64,23.61,992.30
2024-02-26T12:55:58,49.35,95.30,15.74,29.13,42.37,1286.20,24.73,2277.26,2.14,2.41,0.3477,784.8235,25.0000,46.58,23.62,992.29
2024-02-26T12:56:03,46.07,88.96,-7.15,-13.23,42.32,1254.22,24.73,2220.62,1.97,2.20,0.3368,760.2811,25.0000,46.45,23.63,992.32
2024-02-26T12:56:08,39.20,75.70,10.97,20.31,42.14,1243.57,24.76,2201.77,1.88,2.09,0.3280,740.5100,25.0000,46.18,23.61,992.26
2024-02-26T12:56:13,35.60,68.74,20.51,37.96,41.89,1236.02,24.80,2188.29,1.72,1.92,0.3204,723.1447,25.0000,45.92,23.64,992.30
2024-02-26T12:56:18,35.27,68.11,29.57,54.73,41.72,1219.42,24.80,2159.05,1.58,1.75,0.3145,709.8898,25.0000,45.86,23.60,992.24
2024-02-26T12:56:23,49.35,95.29,20.99,38.85,41.67,1207.07,24.80,2137.03,1.46,1.62,0.3090,697.3931,25.0000,45.83,23.60,992.17
2024-02-26T12:56:28,49.02,94.64,25.28,46.78,41.71,1188.42,24.82,2103.71,1.40,1.57,0.3042,686.4676,25.0000,45.86,23.67,992.26
2024-02-26T12:56:33,35.60,68.73,11.93,22.08,41.78,1169.30,24.83,2069.88,1.57,1.80,0.3004,678.0353,25.0000,45.99,23.68,992.31
2024-02-26T12:56:38,49.02,94.64,25.28,46.78,41.77,1163.47,24.86,2059.56,1.79,2.05,0.2972,670.6924,25.0000,46.07,23.69,992.33
2024-02-26T12:56:43,38.87,75.04,25.28,46.78,41.82,1166.79,24.87,2065.23,1.89,2.18,0.2947,664.9498,25.0000,46.02,23.70,992.27
2024-02-26T12:56:48,31.67,61.14,29.57,54.72,41.79,1171.19,24.89,2072.92,1.97,2.28,0.2918,658.5011,25.0000,46.01,23.71,992.26
2024-02-26T12:56:53,59.82,115.48,11.45,21.19,41.75,1172.45,24.91,2075.26,1.95,2.26,0.2888,651.7625,25.0000,45.99,23.69,992.25
2024-02-26T12:56:58,45.75,88.31,25.28,46.78,41.71,1176.90,24.91,2083.00,1.85,2.13,0.2861,645.6656,25.0000,45.93,23.73,992.31
2024-02-26T12:57:03,45.75,88.31,16.22,30.01,41.62,1181.15,24.93,2090.36,1.87,2.16,0.2837,640.2319,26.0000,45.86,23.74,992.27
2024-02-26T12:57:08,32.00,61.77,30.05,55.60,41.52,1185.74,24.95,2098.52,1.75,2.01,0.2811,634.3374,26.0000,45.56,23.75,992.32
2024-02-26T12:57:13,21.85,42.17,25.28,46.77,41.32,1181.35,24.97,2090.63,1.54,1.77,0.2788,628.9542,26.0000,45.47,23.76,992.29
2024-02-26T12:57:18,45.42,87.66,15.74,29.12,41.20,1179.72,25.00,2087.70,1.48,1.70,0.2765,623.8472,26.0000,45.35,23.76,992.27
2024-02-26T12:57:23,45.75,88.31,16.69,30.88,41.11,1177.11,25.01,2083.32,1.47,1.67,0.2744,619.1758,26.0000,45.27,23.71,992.22
2024-02-26T12:57:28,49.02,94.61,34.82,64.41,41.04,1175.01,25.00,2079.20,1.49,1.70,0.2726,615.0315,26.0000,45.29,23.79,992.29
2024-02-26T12:57:33,24.80,47.87,25.76,47.66,41.04,1172.18,25.01,2074.38,1.51,1.73,0.2716,612.7380,26.0000,45.37,23.73,992.18
2024-02-26T12:57:38,45.42,87.67,7.16,13.25,40.97,1170.34,25.04,2071.15,1.49,1.71,0.2701,609.4418,26.0000,45.27,23.71,992.13
2024-02-26T12:57:43,52.62,101.56,11.93,22.07,40.90,1170.03,25.03,2070.46,1.46,1.67,0.2685,605.7187,26.0000,45.30,23.74,992.16
2024-02-26T12:57:48,35.60,68.70,25.28,46.76,40.88,1168.92,25.06,2068.17,1.43,1.62,0.2669,601.9605,26.0000,45.18,23.81,992.24
2024-02-26T12:57:53,42.15,81.34,16.22,30.00,40.70,1167.44,25.09,2065.56,1.52,1.73,0.2656,599.0802,26.0000,45.14,23.82,992.27
2024-02-26T12:57:58,32.00,61.74,25.28,46.76,40.69,1166.32,25.07,2063.38,1.50,1.71,0.2641,595.7574,26.0000,45.00,23.85,992.28
2024-02-26T12:58:03,38.87,75.00,16.22,30.00,40.51,1165.26,25.11,2061.44,1.38,1.57,0.2625,592.1714,26.0000,44.88,23.86,992.29
2024-02-26T12:58:08,38.87,74.99,16.22,30.00,40.44,1162.81,25.13,2057.01,1.59,1.81,0.2613,589.2176,26.0000,44.73,23.87,992.27
2024-02-26T12:58:13,42.15,81.33,20.51,37.93,40.41,1158.04,25.14,2048.65,1.76,2.00,0.2598,586.0628,26.0000,44.53,23.87,992.31
2024-02-26T12:58:18,48.69,93.94,30.05,55.57,40.26,1144.77,25.14,2025.05,1.71,1.93,0.2580,581.8751,26.0000,44.79,23.88,992.29
2024-02-26T12:58:23,45.09,86.99,16.22,30.00,40.62,1131.66,25.15,2001.85,1.62,1.83,0.2574,580.5160,26.0000,45.12,23.89,992.32
2024-02-26T12:58:28,35.27,68.05,34.34,63.51,40.77,1126.98,25.18,1993.58,1.50,1.70,0.2572,580.0030,26.0000,45.13,23.87,992.25
2024-02-26T12:58:33,38.22,73.73,34.82,64.39,40.70,1131.07,25.18,2000.60,1.38,1.57,0.2563,578.0456,27.0000,45.04,23.91,992.28
2024-02-26T12:58:38,58.84,113.51,25.76,47.63,40.85,1137.90,25.21,2012.62,1.45,1.65,0.2548,574.6739,27.0000,45.53,23.92,992.28
2024-02-26T12:58:43,48.37,93.31,48.65,89.96,41.06,1146.40,25.24,2027.74,1.57,1.77,0.2548,574.5082,27.0000,45.69,23.92,992.32
2024-02-26T12:58:48,41.49,80.03,34.82,64.38,41.50,1162.46,25.24,2055.99,1.67,1.88,0.2542,573.1682,27.0000,46.25,23.94,992.31
2024-02-26T12:58:53,51.97,100.25,39.59,73.20,41.88,1307.40,25.24,2312.35,1.69,1.91,0.2538,572.3555,27.0000,46.30,23.94,992.32
2024-02-26T12:58:58,45.09,86.97,25.76,47.63,41.89,1298.28,25.25,2296.08,1.69,1.92,0.2530,570.4043,27.0000,46.43,23.95,992.29
2024-02-26T12:59:03,45.42,87.61,16.22,29.99,41.93,1338.51,25.30,2367.26,1.94,2.22,0.2522,568.7683,27.0000,46.30,23.95,992.31
2024-02-26T12:59:08,51.97,100.24,25.76,47.63,41.82,1346.45,25.28,2381.20,1.87,2.13,0.2513,566.6621,27.0000,46.27,23.96,992.30
2024-02-26T12:59:13,35.27,68.02,16.22,29.99,41.70,1354.40,25.30,2395.08,1.78,2.03,0.2504,564.6331,27.0000,46.19,23.98,992.28
2024-02-26T12:59:18,35.27,68.02,6.68,12.35,41.58,1355.35,25.31,2396.74,1.73,1.98,0.2498,563.1262,27.0000,46.00,24.00,992.34
2024-02-26T12:59:23,21.20,40.89,20.51,37.92,41.44,1353.36,25.32,2393.21,1.59,1.81,0.2484,559.9680,27.0000,45.82,23.99,992.31
2024-02-26T12:59:28,41.82,80.65,25.76,47.62,41.26,1350.16,25.35,2387.36,1.46,1.66,0.2476,558.0955,27.0000,45.69,24.00,992.26
2024-02-26T12:59:33,48.69,93.90,30.05,55.55,41.22,1349.79,25.34,2386.60,1.35,1.54,0.2466,555.9787,27.0000,45.68,24.01,992.26
2024-02-26T12:59:38,38.22,73.70,16.22,29.98,41.25,1345.56,25.37,2379.07,1.46,1.65,0.2458,553.9699,27.0000,45.71,24.03,992.29
2024-02-26T12:59:43,41.82,80.64,34.82,64.36,41.22,1341.68,25.38,2372.14,1.58,1.81,0.2453,552.8437,27.0000,45.71,24.04,992.30
2024-02-26T12:59:48,51.97,100.21,39.59,73.17,41.26,1337.99,25.38,2365.53,1.68,1.91,0.2446,551.2465,27.0000,45.76,24.04,992.26
2024-02-26T12:59:53,45.09,86.94,30.05,55.54,41.37,1337.70,25.39,2364.98,1.81,2.06,0.2438,549.4761,27.0000,45.85,24.05,992.28
2024-02-26T12:59:58,38.55,74.33,30.05,55.54,41.37,1338.22,25.41,2365.81,1.86,2.11,0.2435,548.7740,27.0000,45.93,24.07,992.31
2024-02-26T13:00:03,10.39,20.04,15.74,29.09,41.38,1338.39,25.44,2366.38,1.89,2.15,0.2429,547.4892,27.0000,45.90,24.00,992.19
2024-02-26T13:00:08,42.15,81.28,11.93,22.05,41.28,1336.67,25.42,2363.22,1.82,2.07,0.2422,545.9940,27.0000,45.78,24.03,992.24
2024-02-26T13:00:13,35.60,68.64,6.68,12.35,41.08,1336.43,25.44,2362.50,1.86,2.11,0.2418,544.8883,27.0000,45.36,24.08,992.29
2024-02-26T13:00:18,38.87,74.94,16.22,29.98,40.81,1334.09,25.45,2358.29,1.86,2.10,0.2404,541.6867,27.0000,44.99,24.09,992.29
2024-02-26T13:00:23,35.27,68.00,16.22,29.98,40.52,1326.49,25.45,2344.91,1.71,1.93,0.2395,539.8417,27.0000,44.85,24.06,992.21
2024-02-26T13:00:28,38.55,74.32,30.05,55.53,40.33,1307.09,25.45,2310.43,1.71,1.94,0.2385,537.4362,27.0000,44.71,24.11,992.30
2024-02-26T13:00:33,34.94,67.36,25.76,47.60,40.40,1255.60,25.46,2219.33,1.60,1.80,0.2379,536.0990,27.0000,45.01,24.12,992.29
2024-02-26T13:00:38,48.69,93.86,20.99,38.79,40.59,1251.00,25.51,2211.17,1.41,1.59,0.2378,535.9277,27.0000,45.31,24.12,992.28
2024-02-26T13:00:43,58.19,112.17,44.83,82.84,40.79,1247.06,25.49,2204.12,1.30,1.46,0.2375,535.1480,28.0000,45.70,24.14,992.31
2024-02-26T13:00:48,51.97,100.18,16.22,29.97,41.37,1252.69,25.51,2213.98,1.44,1.62,0.2378,535.8098,28.0000,46.05,24.15,992.30
2024-02-26T13:00:53,38.87,74.93,16.22,29.97,41.61,1260.25,25.51,2227.38,1.46,1.64,0.2376,535.4192,27.0000,45.57,24.16,992.35
2024-02-26T13:00:58,35.60,68.62,20.51,37.89,41.11,1274.99,25.53,2253.25,1.56,1.76,0.2365,532.8561,27.0000,45.19,24.16,992.27
2024-02-26T13:01:03,38.55,74.31,25.28,46.71,40.72,1278.81,25.53,2260.09,1.50,1.68,0.2354,530.3181,28.0000,44.97,24.16,992.31
2024-02-26T13:01:08,28.40,54.74,25.76,47.59,40.51,1276.36,25.53,2255.65,1.41,1.59,0.2346,528.4829,28.0000,44.90,24.18,992.33
2024-02-26T13:01:13,38.55,74.31,16.22,29.97,40.42,1268.30,25.55,2241.44,1.30,1.46,0.2342,527.5893,28.0000,44.85,24.17,992.31
2024-02-26T13:01:18,35.27,67.98,16.22,29.97,40.35,1263.92,25.55,2233.69,1.24,1.39,0.2335,526.1919,28.0000,44.81,24.18,992.34
2024-02-26T13:01:23,34.94,67.34,24.80,45.82,40.34,1262.49,25.61,2231.00,1.34,1.51,0.2331,525.1514,28.0000,44.74,24.20,992.33
2024-02-26T13:01:28,45.42,87.55,35.30,65.22,40.24,1258.35,25.59,2223.85,1.40,1.57,0.2326,524.1029,28.0000,44.69,24.16,992.28
2024-02-26T13:01:33,38.55,74.30,34.34,63.44,40.25,1254.71,25.59,2217.21,1.53,1.72,0.2322,523.2135,28.0000,44.66,24.20,992.32
2024-02-26T13:01:38,38.55,74.29,20.99,38.78,40.25,1251.76,25.61,2211.89,1.59,1.79,0.2318,522.1606,28.0000,44.66,24.23,992.37
