timestamp(UTC),NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA,NetPM-PM25,NetPM-PM10
2024-03-12T13:56:43,46.91,1377.61,21.25,2484.49,0.6902,1587.0194,20.0000,52.58,20.62,1000.54,0.92,1.00
2024-03-12T13:56:48,46.75,1387.09,21.29,2501.58,0.5794,1332.1469,20.0000,52.68,20.63,1000.57,0.97,1.03
2024-03-12T13:56:54,46.64,1395.31,21.35,2516.23,0.4885,1123.1768,20.0000,52.23,20.64,1000.54,1.05,1.10
2024-03-12T13:56:59,46.09,1418.98,21.39,2558.81,0.4358,1001.8703,20.0000,51.83,20.66,1000.56,1.04,1.07
2024-03-12T13:57:04,45.92,1423.12,21.44,2566.16,0.4013,922.5636,21.0000,52.10,20.67,1000.55,0.97,1.00
2024-03-12T13:57:10,45.96,1425.44,21.49,2570.31,0.3802,873.9750,21.0000,52.29,20.67,1000.53,0.83,0.83
2024-03-12T13:57:16,45.99,1426.37,21.55,2571.90,0.3623,832.8275,21.0000,52.59,20.68,1000.54,0.74,0.74
2024-03-12T13:57:21,46.06,1424.34,21.59,2568.19,0.3504,805.5727,21.0000,52.57,20.69,1000.55,0.62,0.62
2024-03-12T13:57:26,46.14,1426.27,21.65,2571.45,0.3378,776.4771,21.0000,52.67,20.71,1000.53,0.60,0.61
2024-03-12T13:57:32,46.06,1426.63,21.69,2571.96,0.3276,752.9079,21.0000,52.73,20.73,1000.55,0.51,0.52
2024-03-12T13:57:37,45.70,1427.35,21.72,2573.20,0.3210,737.7835,21.0000,52.28,20.74,1000.56,0.44,0.45
2024-03-12T13:57:43,45.37,1429.40,21.75,2576.86,0.3153,724.6804,21.0000,51.87,20.75,1000.58,0.42,0.43
2024-03-12T13:57:48,44.56,1424.89,21.79,2568.55,0.3100,712.3424,22.0000,51.32,20.76,1000.55,0.42,0.43
2024-03-12T13:57:53,44.36,1421.54,21.80,2562.49,0.3037,697.9758,22.0000,51.42,20.77,1000.57,0.42,0.43
