timestamp(UTC),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetBME280-HPA(hPa),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB_ug,NetPid_P1-PPB(ppm),NetPid_P1-TEMP(°C),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_NO2-NO2(ppb),NetADC_NO2-NO2_ug,NetCO2-HUM(%),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetCO2-CO2(ppm)
2024-07-01T00:00:00,242.22,219.11,996.62,50.33,30.68,4.35,4.35,607.8191,0.2745,37.0000,74.78,39.48,31.87,57.87,46.29,31.83,547.48,315.20
2024-07-01T01:00:00,246.15,222.63,996.80,50.29,30.68,4.17,4.17,608.7193,0.2748,37.0000,73.22,38.64,31.69,57.55,46.29,31.82,551.41,317.40
2024-07-01T02:00:00,245.11,221.65,996.83,50.36,30.63,3.88,3.88,609.4572,0.2751,37.0000,74.43,39.28,32.14,58.37,46.32,31.78,545.61,314.01
2024-07-01T03:00:00,245.78,222.19,997.02,50.38,30.61,3.65,3.65,610.2072,0.2754,37.0000,74.34,39.22,32.08,58.29,46.33,31.76,538.56,309.87
2024-07-01T04:00:00,247.22,223.44,997.23,50.33,30.60,3.60,3.60,611.3809,0.2758,37.0000,74.11,39.09,32.25,58.62,46.29,31.76,538.45,309.73
2024-07-01T05:00:00,252.19,227.93,997.86,49.94,30.79,3.66,3.66,615.4238,0.2777,37.0000,74.18,39.12,31.64,57.50,45.99,31.95,551.85,317.44
2024-07-01T06:00:00,246.72,223.06,998.04,49.70,30.93,3.50,3.50,617.0181,0.2785,37.0000,74.68,39.40,32.10,58.32,45.78,32.10,549.05,315.92
2024-07-01T07:00:00,139.23,125.91,998.05,46.00,30.53,4.14,4.14,608.8210,0.2744,36.5911,64.34,33.91,26.57,48.33,42.45,31.69,609.85,350.35
2024-07-01T08:00:00,-12.19,-10.94,998.03,39.56,28.97,5.10,5.10,564.1617,0.2530,35.0000,85.07,44.59,35.07,64.13,36.39,30.13,1142.00,652.89
2024-07-01T09:00:00,74.91,67.35,997.72,41.37,29.14,4.70,4.70,576.9340,0.2589,35.0000,85.60,44.91,35.31,64.52,37.85,30.36,1657.79,948.59
2024-07-01T10:00:00,58.39,52.48,997.64,40.50,28.99,4.04,4.04,568.5283,0.2550,35.0000,82.73,43.38,33.88,61.92,37.10,30.19,1635.12,935.26
2024-07-01T11:00:00,73.28,65.87,996.98,41.10,28.80,4.02,4.02,558.8226,0.2507,35.0000,85.43,44.80,35.48,64.85,37.59,29.99,1461.55,836.01
2024-07-01T12:00:00,122.07,110.04,996.04,41.19,29.33,5.53,5.53,537.7218,0.2419,35.4042,82.73,43.50,34.35,62.62,37.72,30.53,1512.17,867.23
2024-07-01T13:00:00,129.78,117.33,995.74,41.53,30.24,4.82,4.82,553.2240,0.2497,36.0069,79.42,41.90,33.33,60.55,38.17,31.40,1359.70,782.38
2024-07-01T14:00:00,37.71,34.09,996.29,42.98,30.37,3.89,3.89,527.7631,0.2382,36.0819,86.77,45.77,35.66,64.81,39.51,31.52,1093.64,629.21
2024-07-01T15:00:00,5.59,5.06,996.47,43.91,30.42,3.12,3.12,525.2064,0.2370,36.2806,81.12,42.79,33.81,61.43,40.38,31.57,922.75,530.89
2024-07-01T16:00:00,26.04,23.56,995.83,44.19,30.51,2.82,2.82,564.7899,0.2551,36.5167,78.99,41.71,33.34,60.53,40.69,31.64,867.50,499.56
2024-07-01T17:00:00,45.54,41.20,996.08,44.61,30.54,2.57,2.57,586.5208,0.2649,36.7125,78.60,41.49,33.32,60.49,41.09,31.67,817.13,470.48
2024-07-01T18:00:00,55.83,50.48,996.42,45.09,30.47,2.37,2.37,581.3760,0.2624,36.3944,78.05,41.18,33.33,60.56,41.55,31.61,796.33,458.26
2024-07-01T19:00:00,73.95,66.85,996.52,45.52,30.42,2.08,2.08,598.7605,0.2702,36.3514,77.68,40.98,32.96,59.90,41.91,31.57,764.31,439.71
2024-07-01T20:00:00,100.35,90.65,996.94,45.97,30.37,1.89,1.89,624.1599,0.2815,36.1792,76.88,40.53,32.70,59.46,42.31,31.53,741.41,426.29
2024-07-01T21:00:00,113.39,102.41,996.94,46.40,30.30,1.63,1.63,642.1545,0.2895,36.0000,77.86,41.03,32.77,59.59,42.69,31.46,706.41,406.07
2024-07-01T22:00:00,140.82,127.20,996.71,46.63,30.26,1.46,1.46,661.4015,0.2982,36.0000,77.22,40.70,32.23,58.60,42.90,31.43,687.77,395.40
2024-07-01T23:00:00,142.89,128.99,997.27,46.83,30.23,1.26,1.26,658.8760,0.2969,36.0000,77.23,40.68,32.57,59.27,43.09,31.40,672.96,386.63
2024-07-02T00:00:00,144.09,130.10,996.98,47.00,30.21,1.14,1.14,657.0199,0.2961,36.0000,76.39,40.25,32.10,58.40,43.24,31.38,656.94,377.51
2024-07-02T01:00:00,153.14,138.34,996.49,47.11,30.22,1.14,1.14,660.7114,0.2980,36.0000,74.88,39.47,31.26,56.84,43.37,31.37,646.35,371.61
2024-07-02T02:00:00,153.47,138.67,996.23,47.30,30.19,1.26,1.26,660.6122,0.2980,36.0000,75.72,39.92,32.10,58.35,43.52,31.36,637.59,366.64
2024-07-02T03:00:00,152.17,137.55,995.69,47.45,30.17,1.35,1.35,659.2803,0.2975,36.0000,75.54,39.85,31.84,57.85,43.66,31.34,630.42,362.69
2024-07-02T04:00:00,143.15,129.36,995.94,47.57,30.16,1.26,1.26,655.3286,0.2956,36.0000,75.77,39.96,31.98,58.13,43.77,31.33,621.49,357.44
2024-07-02T05:00:00,134.62,121.63,996.12,47.66,30.14,1.16,1.16,653.6959,0.2948,36.0000,75.66,39.89,32.13,58.41,43.87,31.31,609.51,350.46
2024-07-02T06:00:00,131.15,118.45,996.46,47.73,30.14,1.03,1.03,657.9223,0.2966,36.0000,76.22,40.17,32.06,58.31,43.94,31.31,611.00,351.20
2024-07-02T07:00:00,-47.82,-42.85,997.03,48.18,29.61,1.30,1.30,461.4764,0.2077,35.5333,94.02,49.42,33.82,61.67,44.39,30.72,663.17,380.29
2024-07-02T08:00:00,-137.15,-123.13,997.23,49.91,28.58,3.01,2.60,311.5772,0.1396,34.5986,117.21,61.41,39.65,72.54,45.80,29.65,633.08,361.74
2024-07-02T09:00:00,-91.28,-82.06,997.07,48.31,28.89,4.12,3.75,310.7160,0.1394,35.0000,111.97,58.73,36.26,66.27,44.34,30.04,632.56,361.88
2024-07-02T10:00:00,-114.29,-102.75,996.99,43.80,28.91,4.33,4.33,301.6186,0.1354,35.0000,115.66,60.68,33.68,61.54,40.19,30.08,601.88,344.38
2024-07-02T11:00:00,-150.86,-135.57,996.89,40.84,28.77,3.47,3.47,285.2847,0.1280,34.9944,123.25,64.63,30.81,56.31,37.50,29.94,609.92,348.85
2024-07-02T12:00:00,-150.95,-135.71,996.53,37.02,28.77,1.93,1.93,272.6953,0.1224,34.9986,131.98,69.24,30.78,56.24,34.00,29.99,626.48,358.45
2024-07-02T13:00:00,-144.95,-130.35,996.45,35.01,28.84,1.88,1.88,265.3584,0.1191,35.0000,138.77,72.82,33.24,60.71,32.11,30.06,617.50,353.43
2024-07-02T14:00:00,-130.87,-117.66,996.41,34.12,28.77,2.64,2.64,260.7402,0.1170,35.0000,143.21,75.14,34.80,63.58,31.27,29.97,580.78,332.34
2024-07-02T15:00:00,-117.20,-105.44,996.18,32.42,28.90,2.30,2.30,261.2341,0.1173,35.0000,134.75,70.74,34.15,62.34,29.71,30.10,576.25,329.97
2024-07-02T16:00:00,-54.34,-49.02,995.64,34.10,29.57,1.65,1.65,307.2975,0.1384,35.7819,95.05,50.04,34.79,63.34,31.30,30.76,544.72,312.77
2024-07-02T17:00:00,-27.98,-25.26,995.49,35.56,29.69,1.70,1.70,342.4728,0.1543,36.0000,87.16,45.91,33.85,61.60,32.69,30.88,528.60,303.68
2024-07-02T18:00:00,5.56,5.02,995.78,36.73,29.73,1.66,1.66,367.6071,0.1656,36.0000,82.18,43.28,32.85,59.78,33.77,30.91,542.89,311.84
2024-07-02T19:00:00,20.43,18.43,996.17,37.37,29.67,1.59,1.59,383.0931,0.1725,36.0000,80.63,42.44,32.12,58.49,34.37,30.84,541.42,310.82
2024-07-02T20:00:00,44.44,40.05,996.78,38.12,29.62,1.62,1.62,411.2600,0.1850,36.0000,78.72,41.40,31.79,57.94,34.98,30.79,532.74,305.60
2024-07-02T21:00:00,66.63,60.02,997.27,38.69,29.61,1.61,1.61,424.5987,0.1909,35.9986,77.22,40.59,31.34,57.15,35.50,30.77,535.51,307.03
2024-07-02T22:00:00,80.72,72.71,997.37,39.03,29.61,1.66,1.66,433.1174,0.1948,35.9931,76.85,40.39,30.58,55.76,35.87,30.76,535.22,306.83
2024-07-02T23:00:00,93.84,84.54,997.15,39.35,29.61,1.71,1.71,441.4385,0.1985,35.9958,76.50,40.22,30.42,55.46,36.18,30.75,527.73,302.60
2024-07-03T00:00:00,106.50,95.97,996.94,39.64,29.60,1.78,1.78,449.5558,0.2022,35.9875,75.89,39.91,30.11,54.89,36.47,30.74,536.04,307.43
2024-07-03T01:00:00,115.93,104.50,996.65,39.85,29.61,1.78,1.78,455.6817,0.2050,35.9693,74.14,39.00,30.07,54.80,36.68,30.72,533.13,305.85
2024-07-03T02:00:00,122.96,110.86,996.31,40.11,29.57,1.71,1.71,462.8962,0.2083,35.9097,74.81,39.36,30.04,54.72,36.87,30.70,529.07,303.59
2024-07-03T03:00:00,128.19,115.57,996.29,40.30,29.54,1.70,1.70,466.4539,0.2099,35.8444,75.39,39.66,30.10,54.84,37.02,30.68,527.95,302.92
2024-07-03T04:00:00,127.44,114.88,996.48,40.38,29.57,1.67,1.67,467.7811,0.2105,35.8222,75.28,39.60,29.55,53.85,37.11,30.69,534.46,306.62
2024-07-03T05:00:00,128.02,115.50,996.55,40.01,29.84,1.63,1.63,474.6250,0.2138,36.0000,74.58,39.26,29.98,54.58,36.87,30.96,542.68,311.60
2024-07-03T06:00:00,129.80,117.16,996.52,39.94,30.00,1.65,1.65,497.8286,0.2243,36.0000,75.12,39.57,30.43,55.38,36.87,31.10,547.68,314.64
2024-07-03T07:00:00,41.60,37.72,996.46,37.91,29.48,1.95,1.95,417.4484,0.1879,35.4474,92.28,48.50,29.06,52.97,35.02,30.57,562.12,322.40
2024-07-03T08:00:00,-76.69,-68.77,996.38,36.48,28.01,2.60,2.60,270.5545,0.1211,34.0042,135.98,71.17,39.57,72.47,33.36,29.19,624.03,356.20
2024-07-03T09:00:00,-30.45,-27.30,996.38,37.42,28.30,2.67,2.67,272.3030,0.1220,34.4312,128.22,67.17,36.93,67.57,34.19,29.53,650.04,371.43
2024-07-03T10:00:00,-84.48,-75.74,996.00,35.13,27.80,2.19,2.19,259.4722,0.1161,34.0000,136.93,71.64,32.31,59.19,32.12,28.98,606.36,346.01
2024-07-03T11:00:00,-61.43,-55.09,995.57,35.23,27.80,2.48,2.48,264.3100,0.1184,33.9986,139.47,73.00,33.75,61.80,32.19,28.98,494.43,282.26
2024-07-03T12:00:00,148.14,133.66,995.05,35.88,29.38,3.65,3.65,307.9426,0.1387,35.2751,125.52,66.08,38.48,70.06,33.07,30.51,598.16,343.46
2024-07-03T13:00:00,16.01,14.48,994.48,34.50,30.05,3.73,3.73,279.6743,0.1263,36.0000,133.13,70.28,36.81,66.84,31.96,31.12,657.61,378.66
2024-07-03T14:00:00,35.90,32.50,993.93,34.47,30.09,4.37,4.37,286.9788,0.1297,36.0000,142.29,75.17,40.51,73.50,31.99,31.13,666.75,384.17
2024-07-03T15:00:00,42.72,38.68,993.59,35.52,29.99,5.52,5.52,290.0756,0.1311,36.0000,143.29,75.70,41.11,74.60,32.94,31.04,650.65,374.90
2024-07-03T16:00:00,195.91,177.55,993.22,36.73,30.17,3.69,3.69,338.6661,0.1532,36.0000,110.70,58.54,37.50,67.97,34.12,31.22,705.80,407.06
2024-07-03T17:00:00,178.03,161.39,993.13,36.46,30.27,2.71,2.71,351.5976,0.1591,36.0000,94.51,50.00,34.03,61.66,33.91,31.30,656.77,378.94
2024-07-03T18:00:00,145.99,132.36,993.08,36.59,30.28,2.33,2.33,365.2912,0.1653,36.0000,87.64,46.37,32.62,59.10,34.05,31.30,619.64,357.55
2024-07-03T19:00:00,135.13,122.46,993.03,37.16,30.14,2.04,2.04,374.4481,0.1694,36.0000,86.50,45.74,32.39,58.71,34.54,31.17,598.13,345.00
2024-07-03T20:00:00,115.17,104.23,993.40,38.10,29.81,2.04,2.04,377.7764,0.1707,35.9944,87.16,46.03,33.42,60.67,35.33,30.84,572.62,329.80
2024-07-03T21:00:00,118.06,106.74,993.74,38.85,29.65,2.09,2.09,397.4821,0.1794,35.7611,82.29,43.42,31.76,57.70,35.97,30.69,557.97,321.09
2024-07-03T22:00:00,110.35,99.72,994.00,39.27,29.57,1.90,1.90,404.4342,0.1824,35.5583,81.42,42.94,30.92,56.20,36.31,30.62,544.64,313.25
2024-07-03T23:00:00,116.62,105.36,994.09,39.55,29.53,1.82,1.82,414.6209,0.1870,35.3431,79.12,41.71,30.83,56.06,36.55,30.59,547.89,315.05
2024-07-04T00:00:00,114.84,103.75,994.05,39.76,29.49,1.74,1.74,415.6853,0.1875,35.1431,79.58,41.95,30.36,55.20,36.75,30.54,547.14,314.58
2024-07-04T01:00:00,110.90,100.17,994.17,39.92,29.46,1.59,1.59,418.2265,0.1886,35.0278,76.76,40.45,30.25,55.02,36.92,30.49,544.81,313.17
2024-07-04T02:00:00,105.92,95.63,994.35,40.23,29.39,1.55,1.55,421.5233,0.1900,35.0000,77.27,40.71,30.44,55.39,37.16,30.44,560.19,321.89
2024-07-04T03:00:00,104.42,94.22,994.72,40.48,29.35,1.66,1.66,430.0157,0.1937,35.0000,77.22,40.66,30.15,54.89,37.39,30.39,569.92,327.30
2024-07-04T04:00:00,102.48,92.40,995.38,40.66,29.31,1.76,1.76,434.3847,0.1955,35.0000,76.82,40.42,30.47,55.51,37.55,30.36,580.02,332.85
2024-07-04T05:00:00,109.93,99.04,996.17,40.79,29.32,1.89,1.89,440.2514,0.1980,35.0000,76.93,40.45,30.28,55.21,37.66,30.37,581.40,333.38
2024-07-04T06:00:00,135.97,122.46,996.76,40.84,29.38,1.95,1.95,451.6944,0.2031,35.0014,77.40,40.68,30.80,56.18,37.71,30.44,597.67,342.58
2024-07-04T07:00:00,170.40,153.47,997.25,40.74,29.53,2.11,2.11,463.7205,0.2085,35.1641,77.33,40.64,30.52,55.66,37.64,30.59,604.59,346.55
2024-07-04T08:00:00,52.06,46.90,997.53,41.14,29.55,2.67,2.67,363.7601,0.1635,35.2903,100.60,52.86,36.12,65.90,38.02,30.60,594.57,340.73
2024-07-04T09:00:00,-37.44,-33.65,997.95,42.08,29.13,6.29,6.29,307.9665,0.1382,35.0000,108.24,56.77,35.91,65.63,38.75,30.21,617.87,353.43
2024-07-04T10:00:00,-29.63,-26.56,998.31,45.11,28.41,5.13,5.13,291.4422,0.1304,34.1125,120.01,62.77,38.37,70.31,41.48,29.47,616.34,351.60
2024-07-04T11:00:00,52.01,46.72,998.30,42.06,28.93,6.73,6.73,330.1946,0.1480,34.8375,85.34,44.71,30.02,54.92,38.71,30.06,798.57,456.39
2024-07-04T12:00:00,90.04,81.04,998.17,40.56,29.61,8.72,8.72,355.6769,0.1598,35.4250,84.40,44.33,31.47,57.44,37.46,30.71,860.79,493.07
2024-07-04T13:00:00,42.51,38.28,997.88,40.05,29.72,5.42,5.42,332.4170,0.1495,35.7778,95.40,50.14,33.42,60.95,37.06,30.80,740.98,424.73
2024-07-04T14:00:00,82.48,74.34,997.68,40.04,29.88,4.14,4.14,349.2571,0.1571,35.9889,87.43,45.98,33.13,60.38,37.05,30.97,774.09,444.03
2024-07-04T15:00:00,123.19,111.09,997.72,40.10,30.08,3.24,3.24,381.5293,0.1718,36.0000,81.41,42.84,31.75,57.84,37.11,31.18,838.34,481.18
2024-07-04T16:00:00,131.29,118.43,997.45,40.27,30.06,2.53,2.53,399.7613,0.1800,36.0000,80.64,42.44,31.56,57.48,37.25,31.16,820.39,470.97
2024-07-04T17:00:00,146.30,131.96,997.41,40.33,30.06,2.22,2.22,432.7031,0.1948,36.0000,78.96,41.56,30.80,56.08,37.29,31.17,777.00,446.08
2024-07-04T18:00:00,171.14,154.34,997.57,40.48,30.03,2.32,2.32,480.0959,0.2161,36.0000,77.49,40.78,31.45,57.29,37.49,31.10,754.56,433.09
2024-07-04T19:00:00,195.15,176.01,998.01,40.24,30.20,1.98,1.98,499.2755,0.2248,36.0000,76.34,40.18,30.46,55.48,37.34,31.24,745.95,428.19
2024-07-04T20:00:00,181.38,163.21,998.74,41.21,29.72,1.78,1.78,497.1292,0.2233,35.8403,80.44,42.24,32.40,59.14,38.15,30.77,718.67,411.59
2024-07-04T21:00:00,184.84,166.11,999.29,41.71,29.49,1.49,1.49,498.0653,0.2234,35.1486,79.81,41.85,31.70,57.93,38.54,30.55,689.04,394.10
