timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2024-01-06T00:00:04,38.22,74.15,944.43,1069.17,30.05,55.88,43.21,1358.47,23.26,2416.37,0.93,0.93,2.6036,5904.4560,27.0000,49.67,21.79,990.75
2024-01-06T00:00:09,44.77,86.86,986.28,1116.56,39.59,73.62,43.21,1358.54,23.23,2416.52,0.84,0.84,2.6036,5904.5406,27.0000,49.67,21.79,990.76
2024-01-06T00:00:14,37.56,72.87,988.74,1119.30,25.76,47.90,43.19,1358.80,23.25,2416.91,0.73,0.73,2.6036,5904.3279,27.0000,49.68,21.79,990.73
2024-01-06T00:00:19,45.09,87.48,971.51,1099.85,52.94,98.45,43.21,1359.21,23.27,2417.75,0.76,0.76,2.6036,5904.6169,27.0000,49.68,21.79,990.78
2024-01-06T00:00:24,45.09,87.47,964.13,1091.45,39.11,72.73,43.23,1359.12,23.25,2417.49,0.77,0.77,2.6036,5904.3809,27.0000,49.68,21.79,990.74
2024-01-06T00:00:29,34.62,67.16,986.28,1116.52,34.82,64.75,43.23,1360.00,23.23,2419.04,0.74,0.74,2.6036,5904.3279,27.0000,49.69,21.79,990.73
2024-01-06T00:00:34,31.02,60.18,986.28,1116.58,20.99,39.03,43.21,1360.70,23.25,2420.42,0.68,0.68,2.6036,5904.6641,27.0000,49.67,21.78,990.75
2024-01-06T00:00:39,31.02,60.18,1001.05,1133.32,44.36,82.49,43.25,1360.87,23.23,2420.77,0.60,0.60,2.6036,5904.7529,27.0000,49.68,21.78,990.76
2024-01-06T00:00:44,34.62,67.16,966.59,1094.23,25.76,47.90,43.21,1360.41,23.23,2419.76,0.55,0.55,2.6036,5904.3279,27.0000,49.68,21.79,990.73
2024-01-06T00:00:49,41.16,79.85,964.13,1091.50,25.76,47.90,43.22,1359.86,23.23,2418.92,0.56,0.56,2.6036,5904.6325,27.0000,49.68,21.78,990.74
2024-01-06T00:00:54,34.29,66.52,969.05,1097.06,39.59,73.62,43.21,1359.99,23.23,2419.12,0.69,0.69,2.6036,5904.5818,27.0000,49.68,21.78,990.74
2024-01-06T00:00:59,31.02,60.18,966.59,1094.26,30.53,56.77,43.22,1360.53,23.23,2420.05,0.78,0.78,2.6036,5904.4822,27.0000,49.69,21.79,990.75
2024-01-06T00:01:04,37.89,73.51,996.13,1127.75,44.36,82.50,43.21,1360.37,23.25,2419.88,0.79,0.79,2.6036,5904.7636,27.0000,49.68,21.78,990.77
2024-01-06T00:01:09,30.69,59.54,969.05,1097.09,12.40,23.06,43.24,1359.99,23.21,2419.18,0.71,0.71,2.6036,5904.7344,27.0000,49.68,21.78,990.76
2024-01-06T00:01:14,27.42,53.20,978.90,1108.22,30.53,56.77,43.26,1359.36,23.25,2418.01,0.68,0.68,2.6036,5904.6134,27.0000,49.68,21.78,990.74
2024-01-06T00:01:19,31.02,60.18,986.28,1116.55,25.76,47.90,43.22,1359.18,23.23,2417.66,0.68,0.68,2.6036,5904.5013,27.0000,49.68,21.79,990.76
2024-01-06T00:01:24,34.29,66.53,986.28,1116.59,11.93,22.19,43.25,1359.63,23.25,2418.54,0.63,0.63,2.6036,5904.7206,27.0000,49.67,21.79,990.79
2024-01-06T00:01:29,31.02,60.18,976.44,1105.43,44.36,82.49,43.21,1359.31,23.22,2417.92,0.52,0.52,2.6036,5904.5877,27.0000,49.68,21.79,990.77
2024-01-06T00:01:34,34.29,66.53,981.36,1111.02,21.46,39.91,43.23,1359.83,23.22,2418.88,0.52,0.52,2.6036,5904.6843,27.0000,49.68,21.78,990.75
2024-01-06T00:01:39,37.89,73.51,978.90,1108.18,53.42,99.34,43.22,1359.80,23.23,2418.72,0.57,0.57,2.6036,5904.4208,27.0000,49.68,21.79,990.74
2024-01-06T00:01:44,27.42,53.20,981.36,1110.99,16.69,31.04,43.23,1359.96,23.23,2419.05,0.72,0.72,2.6036,5904.5335,27.0000,49.68,21.79,990.76
2024-01-06T00:01:49,41.16,79.85,956.74,1083.13,35.30,65.64,43.26,1359.21,23.23,2417.75,0.78,0.78,2.6036,5904.5913,27.0000,49.68,21.79,990.77
2024-01-06T00:01:54,37.89,73.51,978.90,1108.25,21.46,39.91,43.26,1358.68,23.23,2416.88,0.84,0.84,2.6036,5904.8142,27.0000,49.68,21.78,990.77
2024-01-06T00:01:59,34.62,67.17,981.36,1111.01,16.69,31.04,43.23,1358.52,23.23,2416.53,0.88,0.88,2.6036,5904.6431,27.0000,49.68,21.79,990.78
2024-01-06T00:02:04,27.42,53.20,971.51,1099.84,34.82,64.75,43.25,1358.27,23.23,2416.06,0.77,0.77,2.6036,5904.5466,27.0000,49.68,21.79,990.76
2024-01-06T00:02:09,41.16,79.85,986.28,1116.56,35.30,65.64,43.27,1358.70,23.26,2416.82,0.73,0.73,2.6036,5904.5675,27.0000,49.68,21.78,990.73
2024-01-06T00:02:14,41.16,79.85,956.74,1083.14,48.65,90.47,43.23,1358.75,23.22,2416.96,0.75,0.75,2.6036,5904.6945,27.0000,49.68,21.78,990.75
2024-01-06T00:02:19,41.16,79.85,978.90,1108.21,30.53,56.77,43.22,1358.26,23.23,2416.05,0.78,0.78,2.6036,5904.5836,27.0000,49.69,21.78,990.74
2024-01-06T00:02:24,37.89,73.51,959.20,1085.95,25.76,47.91,43.28,1358.97,23.22,2417.38,0.74,0.74,2.6036,5904.7821,27.0000,49.69,21.78,990.77
2024-01-06T00:02:29,31.02,60.18,986.28,1116.62,39.59,73.63,43.23,1359.06,23.23,2417.59,0.73,0.73,2.6036,5904.8840,27.0000,49.68,21.78,990.79
2024-01-06T00:02:34,37.89,73.51,1001.05,1133.33,30.53,56.78,43.28,1358.40,23.23,2416.39,0.78,0.78,2.6036,5904.8035,27.0000,49.68,21.78,990.77
2024-01-06T00:02:39,34.29,66.53,988.74,1119.40,21.46,39.91,43.23,1358.76,23.22,2417.04,0.77,0.77,2.6036,5904.8417,27.0000,49.67,21.78,990.78
2024-01-06T00:02:44,41.16,79.86,983.82,1113.82,25.76,47.91,43.25,1358.62,23.23,2416.78,0.70,0.71,2.6036,5904.7880,27.0000,49.69,21.78,990.77
2024-01-06T00:02:49,31.02,60.18,973.97,1102.69,34.82,64.76,43.28,1358.98,23.22,2417.47,0.64,0.64,2.6036,5904.9090,27.0000,49.68,21.78,990.79
2024-01-06T00:02:54,37.89,73.51,991.21,1122.20,20.99,39.04,43.26,1358.67,23.21,2416.89,0.58,0.58,2.6036,5904.8721,27.0000,49.69,21.78,990.78
2024-01-06T00:02:59,30.69,59.54,971.51,1099.93,30.53,56.78,43.24,1358.64,23.22,2416.91,0.56,0.56,2.6036,5905.0342,27.0000,49.69,21.77,990.78
2024-01-06T00:03:04,37.89,73.51,981.36,1111.03,7.63,14.19,43.27,1359.12,23.22,2417.66,0.61,0.62,2.6036,5904.7779,27.0000,49.69,21.78,990.77
2024-01-06T00:03:09,41.16,79.86,986.28,1116.64,20.99,39.04,43.26,1358.91,23.23,2417.36,0.69,0.70,2.6036,5904.9788,27.0000,49.69,21.77,990.77
2024-01-06T00:03:14,31.02,60.18,969.05,1097.11,34.82,64.76,43.27,1359.35,23.21,2418.11,0.72,0.73,2.6036,5904.8697,27.0000,49.69,21.77,990.75
2024-01-06T00:03:19,41.16,79.86,959.20,1085.96,21.46,39.91,43.27,1358.86,23.22,2417.23,0.68,0.69,2.6036,5904.8577,27.0000,49.68,21.78,990.78
2024-01-06T00:03:24,41.16,79.85,981.36,1111.03,39.59,73.62,43.27,1358.95,23.23,2417.34,0.68,0.69,2.6036,5904.7737,27.0000,49.69,21.78,990.77
2024-01-06T00:03:29,41.16,79.86,973.97,1102.68,30.53,56.78,43.25,1359.33,23.25,2418.06,0.66,0.66,2.6036,5904.8572,27.0000,49.69,21.78,990.78
2024-01-06T00:03:34,41.16,79.86,973.97,1102.70,30.53,56.78,43.23,1359.04,23.22,2417.59,0.67,0.68,2.6036,5904.9585,27.0000,49.69,21.77,990.77
2024-01-06T00:03:39,41.16,79.86,1003.51,1136.16,21.46,39.91,43.25,1358.84,23.23,2417.26,0.73,0.74,2.6036,5905.0389,27.0000,49.69,21.78,990.81
2024-01-06T00:03:44,38.22,74.15,973.97,1102.72,43.88,81.61,43.28,1358.83,23.23,2417.26,0.74,0.75,2.6036,5905.0824,27.0000,49.69,21.78,990.82
2024-01-06T00:03:49,48.37,93.85,961.67,1088.77,34.34,63.86,43.26,1358.52,23.23,2416.66,0.69,0.70,2.6036,5904.9424,27.0000,49.69,21.78,990.80
2024-01-06T00:03:54,38.22,74.15,959.20,1085.99,16.22,30.17,43.27,1358.95,23.23,2417.45,0.70,0.71,2.6036,5905.0234,27.0000,49.69,21.78,990.81
2024-01-06T00:03:59,41.49,80.50,966.59,1094.35,30.05,55.89,43.25,1359.23,23.23,2417.95,0.81,0.82,2.6036,5905.0026,27.0000,49.69,21.78,990.81
2024-01-06T00:04:04,45.09,87.48,917.35,1038.57,25.28,47.01,43.27,1359.40,23.23,2418.17,0.85,0.86,2.6036,5904.8035,27.0000,49.69,21.78,990.77
2024-01-06T00:04:09,38.22,74.15,946.90,1072.03,34.34,63.86,43.27,1359.34,23.22,2418.09,0.83,0.84,2.6036,5904.8530,27.0000,49.69,21.78,990.78
2024-01-06T00:04:14,45.09,87.48,954.28,1080.42,43.88,81.61,43.29,1359.57,23.22,2418.55,0.81,0.82,2.6036,5905.0032,27.0000,49.69,21.78,990.81
2024-01-06T00:04:19,38.22,74.15,944.43,1069.25,39.11,72.73,43.22,1358.40,23.22,2416.44,0.87,0.88,2.6036,5904.9191,27.0000,49.68,21.78,990.79
2024-01-06T00:04:24,38.22,74.15,966.59,1094.32,25.28,47.01,43.26,1358.01,23.22,2415.70,0.91,0.92,2.6036,5904.8488,27.0000,49.68,21.78,990.78
2024-01-06T00:04:29,45.09,87.48,969.05,1097.13,43.88,81.61,43.27,1357.49,23.23,2414.84,0.87,0.88,2.6036,5904.9686,27.0000,49.68,21.78,990.80
2024-01-06T00:04:34,48.37,93.85,954.28,1080.45,39.11,72.74,43.24,1357.61,23.22,2415.13,1.01,1.02,2.6036,5905.1617,27.0000,49.68,21.78,990.83
2024-01-06T00:04:39,45.09,87.48,941.97,1066.47,43.88,81.61,43.27,1357.68,23.22,2415.17,1.06,1.07,2.6036,5904.9620,27.0000,49.68,21.78,990.80
2024-01-06T00:04:44,34.94,67.79,946.90,1072.02,34.34,63.86,43.28,1358.75,23.25,2417.01,1.02,1.03,2.6036,5904.7743,27.0000,49.68,21.78,990.77
2024-01-06T00:04:49,38.22,74.16,954.28,1080.45,39.11,72.74,43.27,1358.82,23.22,2417.29,0.91,0.92,2.6036,5905.1742,27.0000,49.68,21.78,990.84
2024-01-06T00:04:54,45.09,87.48,939.51,1063.67,34.34,63.86,43.26,1359.87,23.23,2419.01,0.86,0.87,2.6036,5904.8488,27.0000,49.68,21.78,990.78
2024-01-06T00:04:59,48.37,93.84,954.28,1080.38,39.11,72.73,43.23,1359.45,23.22,2418.27,0.83,0.84,2.6036,5904.8327,27.0000,49.67,21.78,990.78
2024-01-06T00:05:04,41.49,80.49,927.20,1049.70,43.88,81.60,43.28,1359.14,23.22,2417.65,0.73,0.74,2.6036,5904.6682,27.0000,49.68,21.79,990.78
