timestamp(UTC),NetADC_O3-O3,NetADC_O3-O3_ug,NetADC_CO-CO,NetADC_CO-CO_ug,NetADC_NO2-NO2,NetADC_NO2-NO2_ug,NetCO2-HUM,NetCO2-CO2,NetCO2-TEMP,NetCO2-CO2_ug,NetPid_P3-PPM,NetPid_P3-PPB_ug,NetPid_P3-TEMP,NetPM-PM25,NetPM-PM10,NetPid_P1-PPM,NetPid_P1-PPB_ug,NetPid_P1-TEMP,NetBME280-PERC,NetBME280-TEMP_EXT,NetBME280-HPA
2023-12-21T00:00:05,41.18,79.57,81.70,92.12,24.37,45.14,35.06,637.02,24.66,1128.60,0.3,790.1,30.0,0.43,0.43,0.2222,501.9460,30.0000,45.97,22.86,990.41
2023-12-21T00:00:10,44.79,86.55,88.64,99.95,29.03,53.77,35.05,636.96,24.69,1128.51,0.4,790.6,30.0,0.44,0.44,0.2223,502.1826,31.0000,45.98,22.86,990.41
2023-12-21T00:00:15,37.22,71.92,88.64,99.95,33.23,61.55,35.04,637.33,24.67,1129.13,0.4,791.7,30.0,0.43,0.43,0.2224,502.2640,31.0000,45.98,22.86,990.38
2023-12-21T00:00:21,41.18,79.57,86.33,97.34,24.37,45.14,35.04,637.77,24.67,1129.87,0.3,790.1,30.0,0.47,0.47,0.2223,502.0128,30.0000,45.98,22.86,990.34
2023-12-21T00:00:26,30.02,58.01,63.20,71.26,33.23,61.55,35.05,637.97,24.66,1130.23,0.4,792.0,30.0,0.53,0.53,0.2221,501.7487,31.0000,45.97,22.86,990.35
2023-12-21T00:00:31,48.75,94.20,88.64,99.95,23.91,44.29,35.04,638.17,24.66,1130.62,0.3,789.5,30.0,0.50,0.50,0.2219,501.3054,30.0000,45.97,22.85,990.36
2023-12-21T00:00:37,37.22,71.92,81.70,92.13,24.37,45.14,35.07,638.91,24.69,1131.98,0.4,793.4,30.0,0.44,0.44,0.2220,501.4351,31.0000,45.97,22.86,990.43
2023-12-21T00:00:42,33.62,64.96,79.39,89.52,24.37,45.14,35.04,638.96,24.67,1132.01,0.4,791.0,30.0,0.46,0.46,0.2219,501.1987,31.0000,45.97,22.86,990.38
2023-12-21T00:00:47,44.79,86.55,77.08,86.91,33.23,61.55,34.99,638.65,24.64,1131.45,0.3,790.1,30.0,0.47,0.47,0.2219,501.2286,30.0000,45.97,22.86,990.37
2023-12-21T00:00:53,44.79,86.54,74.77,84.30,28.57,52.91,35.03,638.12,24.66,1130.49,0.4,790.9,30.0,0.48,0.48,0.2218,500.9538,31.0000,45.96,22.86,990.34
2023-12-21T00:00:58,37.58,72.61,81.70,92.12,24.37,45.13,35.04,637.93,24.64,1130.12,0.4,791.3,30.0,0.52,0.52,0.2216,500.4491,31.0000,45.94,22.86,990.32
2023-12-21T00:01:04,41.18,79.57,70.14,79.08,33.23,61.54,35.03,637.85,24.66,1129.99,0.4,792.0,30.0,0.50,0.50,0.2216,500.4424,30.0000,45.93,22.86,990.32
2023-12-21T00:01:09,44.79,86.54,77.08,86.91,33.23,61.55,35.00,637.63,24.66,1129.63,0.3,790.3,30.0,0.47,0.47,0.2215,500.2067,31.0000,45.93,22.86,990.36
2023-12-21T00:01:14,33.62,64.96,47.02,53.02,33.23,61.55,35.04,637.61,24.66,1129.59,0.3,789.5,30.0,0.44,0.44,0.2216,500.4328,31.0000,45.95,22.86,990.36
2023-12-21T00:01:20,45.15,87.24,97.89,110.37,33.23,61.55,34.99,637.62,24.66,1129.60,0.4,792.0,30.0,0.43,0.43,0.2216,500.4133,31.0000,45.94,22.86,990.35
2023-12-21T00:01:25,41.18,79.57,67.83,76.48,24.37,45.14,35.03,637.37,24.66,1129.17,0.3,787.9,30.0,0.43,0.43,0.2217,500.7057,31.0000,45.95,22.85,990.33
2023-12-21T00:01:30,37.22,71.92,81.70,92.12,33.23,61.55,35.05,636.85,24.67,1128.27,0.3,790.3,30.0,0.46,0.46,0.2218,501.0309,30.0000,45.95,22.86,990.37
2023-12-21T00:01:36,41.18,79.57,88.64,99.94,28.57,52.91,35.04,636.47,24.66,1127.57,0.4,790.6,30.0,0.58,0.58,0.2219,501.1446,31.0000,45.97,22.86,990.34
2023-12-21T00:01:41,33.62,64.96,74.77,84.31,19.71,36.50,35.00,636.88,24.66,1128.29,0.3,789.7,30.0,0.58,0.58,0.2218,500.9018,31.0000,45.95,22.85,990.32
2023-12-21T00:01:46,48.39,93.50,86.33,97.34,33.23,61.54,35.01,636.92,24.64,1128.33,0.4,791.0,30.0,0.55,0.55,0.2218,501.0359,30.0000,45.96,22.86,990.32
2023-12-21T00:01:52,37.58,72.61,81.70,92.12,28.57,52.91,35.04,636.81,24.66,1128.14,0.4,790.7,30.0,0.69,0.69,0.2218,500.8820,31.0000,45.95,22.86,990.32
2023-12-21T00:01:57,41.18,79.57,40.08,45.19,37.89,70.18,34.99,637.16,24.66,1128.80,0.3,789.5,30.0,0.80,0.80,0.2217,500.8273,31.0000,45.94,22.86,990.35
2023-12-21T00:02:03,37.22,71.92,104.83,118.20,33.23,61.54,35.05,636.91,24.66,1128.33,0.3,788.7,30.0,0.78,0.78,0.2215,500.3744,31.0000,45.95,22.86,990.33
2023-12-21T00:02:08,33.62,64.96,95.58,107.77,24.37,45.14,35.01,636.85,24.64,1128.24,0.4,794.5,30.0,0.73,0.73,0.2216,500.4938,30.0000,45.95,22.86,990.35
2023-12-21T00:02:13,33.62,64.96,95.58,107.77,33.23,61.55,35.05,636.86,24.66,1128.30,0.4,792.9,30.0,0.68,0.68,0.2216,500.5241,31.0000,45.95,22.86,990.38
2023-12-21T00:02:19,37.22,71.92,95.58,107.77,28.57,52.92,35.03,636.62,24.67,1127.89,0.4,790.6,30.0,0.62,0.62,0.2217,500.6962,31.0000,45.95,22.86,990.40
2023-12-21T00:02:24,33.62,64.96,77.08,86.91,28.57,52.92,35.02,636.35,24.64,1127.37,0.4,792.2,30.0,0.58,0.58,0.2217,500.7135,31.0000,45.93,22.86,990.36
