Room,Value,Time,Type
3FAD,47.3,11:08 2023-12-01,RH %
3FAD,951.0,11:23 2023-12-01,CO2 ppm
3FAD,19.5,11:23 2023-12-01,t° C
3FAD,47.3,11:23 2023-12-01,RH %
3FAD,948.0,11:38 2023-12-01,CO2 ppm
3FAD,19.5,11:38 2023-12-01,t° C
3FAD,47.3,11:38 2023-12-01,RH %
3FAD,940.0,11:53 2023-12-01,CO2 ppm
3FAD,19.5,11:53 2023-12-01,t° C
3FAD,47.2,11:53 2023-12-01,RH %
3FAD,937.0,12:08 2023-12-01,CO2 ppm
3FAD,19.5,12:08 2023-12-01,t° C
3FAD,47.4,12:08 2023-12-01,RH %
3FAD,911.0,12:23 2023-12-01,CO2 ppm
3FAD,19.5,12:23 2023-12-01,t° C
3FAD,47.5,12:23 2023-12-01,RH %
3FAD,903.0,12:38 2023-12-01,CO2 ppm
3FAD,19.5,12:38 2023-12-01,t° C
3FAD,47.7,12:38 2023-12-01,RH %
3FAD,898.0,12:53 2023-12-01,CO2 ppm
3FAD,19.5,12:53 2023-12-01,t° C
3FAD,47.7,12:53 2023-12-01,RH %
3FAD,899.0,13:08 2023-12-01,CO2 ppm
3FAD,19.5,13:08 2023-12-01,t° C
3FAD,47.8,13:08 2023-12-01,RH %
3FAD,893.0,13:23 2023-12-01,CO2 ppm
3FAD,19.5,13:23 2023-12-01,t° C
3FAD,47.8,13:23 2023-12-01,RH %
3FAD,891.0,13:38 2023-12-01,CO2 ppm
3FAD,19.5,13:38 2023-12-01,t° C
3FAD,47.8,13:38 2023-12-01,RH %
3FAD,886.0,13:53 2023-12-01,CO2 ppm
3FAD,19.5,13:53 2023-12-01,t° C
3FAD,47.8,13:53 2023-12-01,RH %
3FAD,888.0,14:08 2023-12-01,CO2 ppm
3FAD,19.5,14:08 2023-12-01,t° C
3FAD,46.8,14:08 2023-12-01,RH %
3FAD,934.0,14:23 2023-12-01,CO2 ppm
3FAD,19.5,14:23 2023-12-01,t° C
3FAD,46.7,14:23 2023-12-01,RH %
3FAD,976.0,14:38 2023-12-01,CO2 ppm
3FAD,19.5,14:38 2023-12-01,t° C
3FAD,46.7,14:38 2023-12-01,RH %
3FAD,1038.0,14:53 2023-12-01,CO2 ppm
3FAD,19.5,14:53 2023-12-01,t° C
3FAD,47.0,14:53 2023-12-01,RH %
3FAD,1107.0,15:08 2023-12-01,CO2 ppm
3FAD,19.5,15:08 2023-12-01,t° C
3FAD,47.3,15:08 2023-12-01,RH %
3FAD,1132.0,15:23 2023-12-01,CO2 ppm
3FAD,19.5,15:23 2023-12-01,t° C
3FAD,46.7,15:23 2023-12-01,RH %
