Room,Value,Time,Type
3F06,20.2,02:20 2023-12-01,t° C
3F06,1331.0,02:20 2023-12-01,CO2 ppm
3F06,45.8,02:20 2023-12-01,RH %
3F06,1324.0,02:35 2023-12-01,CO2 ppm
3F06,20.2,02:35 2023-12-01,t° C
3F06,45.9,02:35 2023-12-01,RH %
3F06,1322.0,02:50 2023-12-01,CO2 ppm
3F06,20.3,02:50 2023-12-01,t° C
3F06,45.9,02:50 2023-12-01,RH %
3F06,1315.0,03:05 2023-12-01,CO2 ppm
3F06,20.2,03:05 2023-12-01,t° C
3F06,45.8,03:05 2023-12-01,RH %
3F06,1310.0,03:20 2023-12-01,CO2 ppm
3F06,20.2,03:20 2023-12-01,t° C
3F06,45.9,03:20 2023-12-01,RH %
3F06,1306.0,03:35 2023-12-01,CO2 ppm
3F06,20.2,03:35 2023-12-01,t° C
3F06,45.9,03:35 2023-12-01,RH %
3F06,1297.0,03:50 2023-12-01,CO2 ppm
3F06,20.2,03:50 2023-12-01,t° C
3F06,45.9,03:50 2023-12-01,RH %
3F06,1293.0,04:05 2023-12-01,CO2 ppm
3F06,20.2,04:05 2023-12-01,t° C
3F06,45.9,04:05 2023-12-01,RH %
3F06,1288.0,04:20 2023-12-01,CO2 ppm
3F06,20.1,04:20 2023-12-01,t° C
3F06,45.9,04:20 2023-12-01,RH %
3F06,1283.0,04:35 2023-12-01,CO2 ppm
3F06,20.2,04:35 2023-12-01,t° C
3F06,45.9,04:35 2023-12-01,RH %
3F06,1276.0,04:50 2023-12-01,CO2 ppm
3F06,20.2,04:50 2023-12-01,t° C
3F06,45.9,04:50 2023-12-01,RH %
3F06,1272.0,05:05 2023-12-01,CO2 ppm
3F06,20.2,05:05 2023-12-01,t° C
3F06,46.0,05:05 2023-12-01,RH %
3F06,1267.0,05:20 2023-12-01,CO2 ppm
3F06,20.1,05:20 2023-12-01,t° C
3F06,46.0,05:20 2023-12-01,RH %
3F06,1259.0,05:35 2023-12-01,CO2 ppm
3F06,20.2,05:35 2023-12-01,t° C
3F06,45.9,05:35 2023-12-01,RH %
3F06,1247.0,05:50 2023-12-01,CO2 ppm
3F06,20.1,05:50 2023-12-01,t° C
3F06,45.9,05:50 2023-12-01,RH %
3F06,1238.0,06:05 2023-12-01,CO2 ppm
3F06,20.1,06:05 2023-12-01,t° C
3F06,46.1,06:05 2023-12-01,RH %
3F06,1228.0,06:20 2023-12-01,CO2 ppm
3F06,20.2,06:20 2023-12-01,t° C
3F06,46.0,06:20 2023-12-01,RH %
3F06,1220.0,06:35 2023-12-01,CO2 ppm
3F06,20.2,06:35 2023-12-01,t° C
3F06,45.9,06:35 2023-12-01,RH %
3F06,1210.0,06:50 2023-12-01,CO2 ppm
3F06,20.1,06:50 2023-12-01,t° C
3F06,45.9,06:50 2023-12-01,RH %
3F06,1200.0,07:05 2023-12-01,CO2 ppm
3F06,20.1,07:05 2023-12-01,t° C
3F06,46.0,07:05 2023-12-01,RH %
3F06,1188.0,07:20 2023-12-01,CO2 ppm
3F06,20.2,07:20 2023-12-01,t° C
3F06,45.9,07:20 2023-12-01,RH %
3F06,1178.0,07:35 2023-12-01,CO2 ppm
3F06,20.2,07:35 2023-12-01,t° C
3F06,45.8,07:35 2023-12-01,RH %
3F06,1170.0,07:50 2023-12-01,CO2 ppm
3F06,20.2,07:50 2023-12-01,t° C
3F06,45.7,07:50 2023-12-01,RH %
3F06,1162.0,08:05 2023-12-01,CO2 ppm
3F06,20.2,08:05 2023-12-01,t° C
3F06,45.7,08:05 2023-12-01,RH %
3F06,1153.0,08:20 2023-12-01,CO2 ppm
3F06,20.2,08:20 2023-12-01,t° C
3F06,45.8,08:20 2023-12-01,RH %
3F06,1140.0,08:35 2023-12-01,CO2 ppm
3F06,20.2,08:35 2023-12-01,t° C
3F06,45.7,08:35 2023-12-01,RH %
3F06,1131.0,08:50 2023-12-01,CO2 ppm
3F06,20.2,08:50 2023-12-01,t° C
3F06,45.7,08:50 2023-12-01,RH %
3F06,1120.0,09:05 2023-12-01,CO2 ppm
3F06,20.2,09:05 2023-12-01,t° C
3F06,45.5,09:05 2023-12-01,RH %
3F06,1077.0,09:20 2023-12-01,CO2 ppm
3F06,20.1,09:20 2023-12-01,t° C
3F06,45.6,09:20 2023-12-01,RH %
3F06,1064.0,09:35 2023-12-01,CO2 ppm
3F06,20.2,09:35 2023-12-01,t° C
3F06,45.6,09:35 2023-12-01,RH %
3F06,1047.0,09:50 2023-12-01,CO2 ppm
3F06,20.2,09:50 2023-12-01,t° C
3F06,45.5,09:50 2023-12-01,RH %
3F06,1035.0,10:05 2023-12-01,CO2 ppm
3F06,20.1,10:05 2023-12-01,t° C
3F06,45.6,10:05 2023-12-01,RH %
3F06,1024.0,10:20 2023-12-01,CO2 ppm
3F06,20.1,10:20 2023-12-01,t° C
3F06,45.7,10:20 2023-12-01,RH %
3F06,45.8,10:35 2023-12-01,RH %
3F06,1016.0,10:35 2023-12-01,CO2 ppm
3F06,20.1,10:35 2023-12-01,t° C
3F06,45.7,10:50 2023-12-01,RH %
3F06,1013.0,10:50 2023-12-01,CO2 ppm
3F06,20.1,10:50 2023-12-01,t° C
3F06,20.1,11:05 2023-12-01,t° C
3F06,1005.0,11:05 2023-12-01,CO2 ppm
3F06,45.7,11:05 2023-12-01,RH %
3F06,1003.0,11:10 2023-12-01,CO2 ppm
3F06,45.7,11:20 2023-12-01,RH %
3F06,1002.0,11:20 2023-12-01,CO2 ppm
3F06,20.2,11:20 2023-12-01,t° C
3F06,20.3,11:35 2023-12-01,t° C
3F06,993.0,11:35 2023-12-01,CO2 ppm
3F06,45.6,11:35 2023-12-01,RH %
3F06,982.0,11:50 2023-12-01,CO2 ppm
3F06,20.3,11:50 2023-12-01,t° C
3F06,45.5,11:50 2023-12-01,RH %
3F06,996.0,12:05 2023-12-01,CO2 ppm
3F06,20.1,12:05 2023-12-01,t° C
3F06,45.9,12:05 2023-12-01,RH %
3F06,960.0,12:20 2023-12-01,CO2 ppm
3F06,20.0,12:20 2023-12-01,t° C
3F06,46.4,12:20 2023-12-01,RH %
3F06,46.8,12:35 2023-12-01,RH %
3F06,942.0,12:35 2023-12-01,CO2 ppm
3F06,19.8,12:35 2023-12-01,t° C
3F06,941.0,12:50 2023-12-01,CO2 ppm
3F06,19.7,12:50 2023-12-01,t° C
3F06,47.0,12:50 2023-12-01,RH %
3F06,938.0,13:05 2023-12-01,CO2 ppm
3F06,19.7,13:05 2023-12-01,t° C
3F06,47.3,13:05 2023-12-01,RH %
3F06,934.0,13:20 2023-12-01,CO2 ppm
3F06,19.6,13:20 2023-12-01,t° C
3F06,47.4,13:20 2023-12-01,RH %
3F06,932.0,13:35 2023-12-01,CO2 ppm
3F06,19.6,13:35 2023-12-01,t° C
3F06,47.5,13:35 2023-12-01,RH %
3F06,927.0,13:50 2023-12-01,CO2 ppm
3F06,19.6,13:50 2023-12-01,t° C
3F06,47.6,13:50 2023-12-01,RH %
3F06,929.0,14:05 2023-12-01,CO2 ppm
3F06,19.6,14:05 2023-12-01,t° C
3F06,46.9,14:05 2023-12-01,RH %
3F06,968.0,14:20 2023-12-01,CO2 ppm
3F06,19.5,14:20 2023-12-01,t° C
3F06,46.8,14:20 2023-12-01,RH %
3F06,1016.0,14:35 2023-12-01,CO2 ppm
3F06,19.5,14:35 2023-12-01,t° C
3F06,46.7,14:35 2023-12-01,RH %
3F06,19.5,14:50 2023-12-01,t° C
3F06,1073.0,14:50 2023-12-01,CO2 ppm
3F06,47.0,14:50 2023-12-01,RH %
3F06,1156.0,15:05 2023-12-01,CO2 ppm
3F06,19.5,15:05 2023-12-01,t° C
3F06,47.3,15:05 2023-12-01,RH %
3F06,1199.0,15:20 2023-12-01,CO2 ppm
3F06,19.5,15:20 2023-12-01,t° C
3F06,47.0,15:20 2023-12-01,RH %
3F06,1086.0,15:35 2023-12-01,CO2 ppm
3F06,19.5,15:35 2023-12-01,t° C
3F06,46.8,15:35 2023-12-01,RH %
3F06,1089.0,15:50 2023-12-01,CO2 ppm
3F06,19.4,15:50 2023-12-01,t° C
3F06,46.6,15:50 2023-12-01,RH %
3F06,1091.0,16:05 2023-12-01,CO2 ppm
3F06,19.4,16:05 2023-12-01,t° C
3F06,46.5,16:05 2023-12-01,RH %
3F06,1090.0,16:20 2023-12-01,CO2 ppm
3F06,19.4,16:20 2023-12-01,t° C
3F06,46.4,16:20 2023-12-01,RH %
3F06,1133.0,16:35 2023-12-01,CO2 ppm
3F06,19.5,16:35 2023-12-01,t° C
