Room,Value,Time,Type
3F07,933.0,11:39 2023-12-01,CO2 ppm
3F07,47.7,11:39 2023-12-01,RH %
3F07,928.0,11:54 2023-12-01,CO2 ppm
3F07,19.5,11:54 2023-12-01,t° C
3F07,47.7,11:54 2023-12-01,RH %
3F07,931.0,12:09 2023-12-01,CO2 ppm
3F07,19.5,12:09 2023-12-01,t° C
3F07,47.8,12:09 2023-12-01,RH %
3F07,906.0,12:24 2023-12-01,CO2 ppm
3F07,19.6,12:24 2023-12-01,t° C
3F07,47.9,12:24 2023-12-01,RH %
3F07,19.6,12:39 2023-12-01,t° C
3F07,888.0,12:39 2023-12-01,CO2 ppm
3F07,48.0,12:39 2023-12-01,RH %
3F07,886.0,12:54 2023-12-01,CO2 ppm
3F07,19.5,12:54 2023-12-01,t° C
3F07,48.1,12:54 2023-12-01,RH %
3F07,883.0,13:09 2023-12-01,CO2 ppm
3F07,19.5,13:09 2023-12-01,t° C
3F07,48.1,13:09 2023-12-01,RH %
3F07,885.0,13:24 2023-12-01,CO2 ppm
3F07,19.6,13:24 2023-12-01,t° C
3F07,48.1,13:24 2023-12-01,RH %
3F07,885.0,13:39 2023-12-01,CO2 ppm
3F07,19.5,13:39 2023-12-01,t° C
3F07,48.1,13:39 2023-12-01,RH %
3F07,879.0,13:54 2023-12-01,CO2 ppm
3F07,19.6,13:54 2023-12-01,t° C
3F07,48.2,13:54 2023-12-01,RH %
3F07,879.0,14:09 2023-12-01,CO2 ppm
3F07,19.6,14:09 2023-12-01,t° C
3F07,47.3,14:09 2023-12-01,RH %
3F07,922.0,14:24 2023-12-01,CO2 ppm
3F07,19.5,14:24 2023-12-01,t° C
3F07,47.1,14:24 2023-12-01,RH %
3F07,47.1,14:39 2023-12-01,RH %
3F07,967.0,14:39 2023-12-01,CO2 ppm
3F07,19.5,14:39 2023-12-01,t° C
3F07,1019.0,14:54 2023-12-01,CO2 ppm
3F07,19.5,14:54 2023-12-01,t° C
3F07,47.3,14:54 2023-12-01,RH %
3F07,1113.0,15:09 2023-12-01,CO2 ppm
3F07,19.5,15:09 2023-12-01,t° C
3F07,47.6,15:09 2023-12-01,RH %
3F07,1128.0,15:24 2023-12-01,CO2 ppm
3F07,19.5,15:24 2023-12-01,t° C
3F07,47.1,15:24 2023-12-01,RH %
3F07,1022.0,15:39 2023-12-01,CO2 ppm
3F07,19.5,15:39 2023-12-01,t° C
3F07,47.0,15:39 2023-12-01,RH %
3F07,1034.0,15:54 2023-12-01,CO2 ppm
3F07,19.5,15:54 2023-12-01,t° C
3F07,46.8,15:54 2023-12-01,RH %
3F07,1031.0,16:09 2023-12-01,CO2 ppm
3F07,19.5,16:09 2023-12-01,t° C
3F07,46.7,16:09 2023-12-01,RH %
3F07,1030.0,16:24 2023-12-01,CO2 ppm
3F07,19.5,16:24 2023-12-01,t° C
3F07,46.6,16:24 2023-12-01,RH %
3F07,1080.0,16:39 2023-12-01,CO2 ppm
3F07,19.7,16:39 2023-12-01,t° C
3F07,47.1,16:39 2023-12-01,RH %
3F07,1210.0,16:54 2023-12-01,CO2 ppm
3F07,19.7,16:54 2023-12-01,t° C
3F07,47.0,16:54 2023-12-01,RH %
3F07,1143.0,17:09 2023-12-01,CO2 ppm
3F07,19.7,17:09 2023-12-01,t° C
3F07,46.5,17:09 2023-12-01,RH %
3F07,1082.0,17:24 2023-12-01,CO2 ppm
3F07,19.7,17:24 2023-12-01,t° C
3F07,46.1,17:24 2023-12-01,RH %
3F07,1080.0,17:39 2023-12-01,CO2 ppm
3F07,19.7,17:39 2023-12-01,t° C
3F07,46.0,17:39 2023-12-01,RH %
3F07,1082.0,17:54 2023-12-01,CO2 ppm
3F07,19.8,17:54 2023-12-01,t° C
3F07,46.0,17:54 2023-12-01,RH %
3F07,1098.0,18:09 2023-12-01,CO2 ppm
3F07,19.8,18:09 2023-12-01,t° C
3F07,45.9,18:09 2023-12-01,RH %
3F07,1116.0,18:24 2023-12-01,CO2 ppm
3F07,20.0,18:24 2023-12-01,t° C
3F07,46.6,18:24 2023-12-01,RH %
3F07,1243.0,18:39 2023-12-01,CO2 ppm
3F07,20.4,18:39 2023-12-01,t° C
3F07,47.0,18:39 2023-12-01,RH %
3F07,20.5,18:54 2023-12-01,t° C
3F07,1290.0,18:54 2023-12-01,CO2 ppm
3F07,46.1,18:54 2023-12-01,RH %
3F07,1445.0,19:09 2023-12-01,CO2 ppm
3F07,21.0,19:09 2023-12-01,t° C
3F07,45.8,19:09 2023-12-01,RH %
3F07,1358.0,19:24 2023-12-01,CO2 ppm
3F07,21.3,19:24 2023-12-01,t° C
3F07,45.5,19:24 2023-12-01,RH %
3F07,1400.0,19:39 2023-12-01,CO2 ppm
3F07,21.5,19:39 2023-12-01,t° C
3F07,45.1,19:39 2023-12-01,RH %
3F07,1445.0,19:54 2023-12-01,CO2 ppm
3F07,21.7,19:54 2023-12-01,t° C
3F07,44.9,19:54 2023-12-01,RH %
3F07,1489.0,20:09 2023-12-01,CO2 ppm
3F07,21.8,20:09 2023-12-01,t° C
3F07,44.6,20:09 2023-12-01,RH %
3F07,1475.0,20:24 2023-12-01,CO2 ppm
3F07,21.8,20:24 2023-12-01,t° C
3F07,42.7,20:24 2023-12-01,RH %
3F07,1149.0,20:39 2023-12-01,CO2 ppm
3F07,21.7,20:39 2023-12-01,t° C
3F07,41.9,20:39 2023-12-01,RH %
3F07,1087.0,20:54 2023-12-01,CO2 ppm
3F07,21.6,20:54 2023-12-01,t° C
3F07,41.6,20:54 2023-12-01,RH %
3F07,1060.0,21:09 2023-12-01,CO2 ppm
3F07,21.6,21:09 2023-12-01,t° C
3F07,42.1,21:09 2023-12-01,RH %
3F07,1080.0,21:24 2023-12-01,CO2 ppm
3F07,21.7,21:24 2023-12-01,t° C
3F07,42.3,21:24 2023-12-01,RH %
3F07,1085.0,21:39 2023-12-01,CO2 ppm
3F07,21.7,21:39 2023-12-01,t° C
3F07,42.4,21:39 2023-12-01,RH %
3F07,1085.0,21:54 2023-12-01,CO2 ppm
3F07,21.7,21:54 2023-12-01,t° C
3F07,42.5,21:54 2023-12-01,RH %
3F07,1083.0,22:09 2023-12-01,CO2 ppm
3F07,21.7,22:09 2023-12-01,t° C
3F07,42.5,22:09 2023-12-01,RH %
3F07,1083.0,22:24 2023-12-01,CO2 ppm
3F07,21.7,22:24 2023-12-01,t° C
3F07,42.6,22:24 2023-12-01,RH %
3F07,1080.0,22:39 2023-12-01,CO2 ppm
3F07,21.6,22:39 2023-12-01,t° C
3F07,42.6,22:39 2023-12-01,RH %
3F07,1078.0,22:54 2023-12-01,CO2 ppm
3F07,21.6,22:54 2023-12-01,t° C
3F07,42.7,22:54 2023-12-01,RH %
3F07,1077.0,23:09 2023-12-01,CO2 ppm
3F07,21.6,23:09 2023-12-01,t° C
3F07,42.8,23:09 2023-12-01,RH %
3F07,1074.0,23:24 2023-12-01,CO2 ppm
3F07,21.6,23:24 2023-12-01,t° C
3F07,42.8,23:24 2023-12-01,RH %
3F07,1068.0,23:39 2023-12-01,CO2 ppm
3F07,21.5,23:39 2023-12-01,t° C
3F07,42.8,23:39 2023-12-01,RH %
3F07,1063.0,23:54 2023-12-01,CO2 ppm
3F07,21.5,23:54 2023-12-01,t° C
3F07,42.9,23:54 2023-12-01,RH %
3F07,1057.0,00:09 2023-12-02,CO2 ppm
3F07,21.5,00:09 2023-12-02,t° C
3F07,42.9,00:09 2023-12-02,RH %
3F07,1054.0,00:24 2023-12-02,CO2 ppm
3F07,21.6,00:24 2023-12-02,t° C
3F07,42.9,00:24 2023-12-02,RH %
3F07,1058.0,00:39 2023-12-02,CO2 ppm
3F07,21.6,00:39 2023-12-02,t° C
3F07,42.8,00:39 2023-12-02,RH %
3F07,1049.0,00:54 2023-12-02,CO2 ppm
3F07,21.6,00:54 2023-12-02,t° C
3F07,42.8,00:54 2023-12-02,RH %
3F07,1037.0,01:09 2023-12-02,CO2 ppm
3F07,21.5,01:09 2023-12-02,t° C
3F07,42.8,01:09 2023-12-02,RH %
3F07,1032.0,01:24 2023-12-02,CO2 ppm
3F07,21.5,01:24 2023-12-02,t° C
3F07,42.8,01:24 2023-12-02,RH %
3F07,1025.0,01:39 2023-12-02,CO2 ppm
3F07,21.5,01:39 2023-12-02,t° C
3F07,42.9,01:39 2023-12-02,RH %
3F07,1020.0,01:54 2023-12-02,CO2 ppm
3F07,21.5,01:54 2023-12-02,t° C
3F07,42.8,01:54 2023-12-02,RH %
3F07,1014.0,02:09 2023-12-02,CO2 ppm
3F07,21.5,02:09 2023-12-02,t° C
3F07,42.8,02:09 2023-12-02,RH %
3F07,1012.0,02:24 2023-12-02,CO2 ppm
3F07,21.5,02:24 2023-12-02,t° C
3F07,42.8,02:24 2023-12-02,RH %
3F07,1003.0,02:39 2023-12-02,CO2 ppm
3F07,21.5,02:39 2023-12-02,t° C
3F07,42.7,02:39 2023-12-02,RH %
3F07,997.0,02:54 2023-12-02,CO2 ppm
3F07,21.6,02:54 2023-12-02,t° C
3F07,42.7,02:54 2023-12-02,RH %
3F07,994.0,03:09 2023-12-02,CO2 ppm
3F07,21.6,03:09 2023-12-02,t° C
3F07,42.7,03:09 2023-12-02,RH %
3F07,986.0,03:24 2023-12-02,CO2 ppm
3F07,21.5,03:24 2023-12-02,t° C
3F07,42.7,03:24 2023-12-02,RH %
3F07,21.6,03:39 2023-12-02,t° C
3F07,977.0,03:39 2023-12-02,CO2 ppm
3F07,42.7,03:39 2023-12-02,RH %
3F07,972.0,03:54 2023-12-02,CO2 ppm
3F07,21.5,03:54 2023-12-02,t° C
3F07,42.8,03:54 2023-12-02,RH %
3F07,963.0,04:09 2023-12-02,CO2 ppm
3F07,21.6,04:09 2023-12-02,t° C
3F07,42.7,04:09 2023-12-02,RH %
3F07,42.7,04:24 2023-12-02,RH %
3F07,954.0,04:24 2023-12-02,CO2 ppm
3F07,21.5,04:24 2023-12-02,t° C
3F07,946.0,04:39 2023-12-02,CO2 ppm
3F07,21.5,04:39 2023-12-02,t° C
3F07,42.8,04:39 2023-12-02,RH %
3F07,21.6,04:54 2023-12-02,t° C
3F07,950.0,04:54 2023-12-02,CO2 ppm
3F07,42.8,04:54 2023-12-02,RH %
3F07,951.0,04:59 2023-12-02,CO2 ppm
3F07,42.7,05:09 2023-12-02,RH %
3F07,949.0,05:09 2023-12-02,CO2 ppm
3F07,21.6,05:09 2023-12-02,t° C
3F07,21.5,05:24 2023-12-02,t° C
3F07,937.0,05:24 2023-12-02,CO2 ppm
3F07,42.7,05:24 2023-12-02,RH %
3F07,925.0,05:39 2023-12-02,CO2 ppm
3F07,21.5,05:39 2023-12-02,t° C
3F07,42.8,05:39 2023-12-02,RH %
3F07,918.0,05:54 2023-12-02,CO2 ppm
3F07,21.5,05:54 2023-12-02,t° C
3F07,42.8,05:54 2023-12-02,RH %
3F07,912.0,06:09 2023-12-02,CO2 ppm
3F07,21.5,06:09 2023-12-02,t° C
3F07,42.7,06:09 2023-12-02,RH %
3F07,909.0,06:24 2023-12-02,CO2 ppm
3F07,21.5,06:24 2023-12-02,t° C
3F07,42.7,06:24 2023-12-02,RH %
