timestamp(UTC),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_O3-O3_ug,NetADC_O3-O3(ppb)
2024-02-13T00:00:01,49.11,25.76,61.20,1498.55,18.62,2732.51,5718.41,4927.45,1.50,1.28,0.2996,696.5994,23.0000,70.67,17.25,1000.00,88.38,44.44
2024-02-13T00:00:06,68.19,35.77,61.02,1498.13,18.65,2731.80,5844.25,5035.77,1.53,1.30,0.2994,695.9814,23.0000,70.58,17.25,1000.02,80.57,40.51
2024-02-13T00:00:11,50.92,26.71,61.07,1498.53,18.62,2732.61,5807.26,5003.77,1.63,1.39,0.3000,697.3671,23.0000,71.00,17.24,1000.02,74.06,37.24
2024-02-13T00:00:16,77.28,40.54,61.18,1499.22,18.62,2733.71,5809.79,5006.23,1.52,1.30,0.3002,697.9208,23.0000,70.89,17.24,999.96,67.54,33.96
2024-02-13T00:00:21,41.82,21.94,61.15,1499.07,18.62,2733.51,5827.06,5021.00,1.52,1.30,0.3004,698.4173,23.0000,70.80,17.24,999.98,74.06,37.24
2024-02-13T00:00:26,32.73,17.17,61.07,1500.09,18.63,2735.44,5827.24,5021.00,1.49,1.27,0.2998,697.0989,23.0000,70.46,17.23,999.98,67.54,33.96
2024-02-13T00:00:31,77.28,40.54,60.78,1499.32,18.62,2734.01,5827.19,5021.00,1.49,1.27,0.2997,696.7297,23.0000,70.38,17.24,1000.00,87.73,44.11
2024-02-13T00:00:36,112.74,59.14,60.75,1499.76,18.62,2734.83,5778.62,4979.15,1.58,1.34,0.2999,697.2339,23.0000,70.53,17.24,1000.00,87.73,44.11
2024-02-13T00:00:41,33.65,17.65,60.89,1499.92,18.62,2735.10,5821.42,5016.07,1.57,1.34,0.3002,698.0034,23.0000,70.92,17.24,1000.00,107.26,53.93
2024-02-13T00:00:46,68.19,35.77,61.17,1500.01,18.62,2735.33,5793.00,4991.46,1.41,1.20,0.2998,697.0688,23.0000,70.90,17.24,1000.02,93.60,47.06
2024-02-13T00:00:51,95.48,50.08,61.15,1499.47,18.63,2734.44,5778.95,4979.15,1.47,1.26,0.3000,697.5423,23.0000,70.81,17.23,1000.03,74.07,37.24
2024-02-13T00:00:56,50.92,26.71,61.15,1499.82,18.62,2734.97,5818.69,5013.61,1.58,1.35,0.2998,697.0027,23.0000,70.78,17.24,1000.02,59.73,30.03
2024-02-13T00:01:01,68.19,35.77,61.12,1500.06,18.59,2735.49,5798.89,4996.38,1.56,1.33,0.2997,696.9003,23.0000,70.62,17.24,1000.05,87.73,44.11
2024-02-13T00:01:06,33.65,17.65,60.97,1500.06,18.59,2735.54,5770.38,4971.76,1.52,1.30,0.3000,697.5506,23.0000,70.80,17.23,1000.03,80.57,40.51
2024-02-13T00:01:11,59.10,31.00,61.13,1499.71,18.62,2734.90,5801.83,4998.84,1.55,1.33,0.3001,697.6711,23.0000,70.83,17.23,1000.03,87.08,43.78
2024-02-13T00:01:16,41.83,21.94,61.12,1500.17,18.63,2735.74,5853.27,5043.15,1.54,1.32,0.2998,697.0177,23.0000,70.48,17.23,1000.03,67.54,33.96
2024-02-13T00:01:21,50.92,26.71,60.82,1500.25,18.62,2735.88,5776.13,4976.69,1.35,1.16,0.2998,696.9225,23.0000,70.30,17.23,1000.03,33.04,16.61
2024-02-13T00:01:26,60.02,31.48,60.72,1500.16,18.60,2735.68,5821.75,5016.07,1.29,1.10,0.3004,698.3062,23.0000,70.37,17.23,1000.02,60.38,30.36
2024-02-13T00:01:31,60.01,31.48,60.78,1500.65,18.60,2736.53,5818.78,5013.61,1.55,1.33,0.3000,697.4401,23.0000,70.76,17.23,1000.00,80.57,40.51
2024-02-13T00:01:36,68.20,35.77,61.03,1500.43,18.63,2736.25,5819.04,5013.61,1.64,1.41,0.3004,698.5375,23.0000,70.95,17.22,1000.01,107.27,53.93
2024-02-13T00:01:41,33.65,17.65,61.18,1500.91,18.60,2737.08,5810.40,5006.23,1.51,1.29,0.3001,697.7282,23.0000,70.79,17.23,1000.03,80.57,40.51
2024-02-13T00:01:46,77.29,40.54,61.18,1500.85,18.60,2736.98,5801.86,4998.84,1.26,1.08,0.2999,697.1551,23.0000,70.68,17.22,1000.00,80.57,40.51
2024-02-13T00:01:51,95.48,50.08,61.04,1500.66,18.60,2736.58,5844.58,5035.77,1.19,1.03,0.2999,697.2945,23.0000,70.70,17.23,1000.01,80.57,40.51
2024-02-13T00:01:56,86.38,45.31,61.14,1500.74,18.60,2736.78,5813.26,5008.69,1.28,1.10,0.3003,698.1360,23.0000,71.15,17.23,1000.03,93.60,47.06
2024-02-13T00:02:01,7.28,3.82,61.56,1499.85,18.60,2735.21,5796.25,4993.92,1.40,1.20,0.3005,698.6551,23.0000,71.45,17.23,1000.05,107.27,53.93
2024-02-13T00:02:06,60.02,31.48,61.69,1499.48,18.60,2734.53,5779.08,4979.15,2.41,2.06,0.3004,698.3813,23.0000,71.27,17.23,1000.05,80.57,40.51
