timestamp(UTC),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPid_P3-PPB_ug,NetPid_P3-PPB(ppm),NetPid_P3-TEMP(°C),NetBME280-HPA(hPa),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB_ug,NetPid_P1-PPB(ppm),NetPid_P1-TEMP(°C),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_NO2-NO2(ppb),NetADC_NO2-NO2_ug,NetCO2-HUM(%),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetCO2-CO2(ppm)
2024-02-05T01:00:00,70.40,62.18,781.5,0.3,31.0,998.96,44.08,24.19,0.22,0.22,463.6912,0.2044,32.0000,64.21,33.09,27.65,51.43,35.33,25.85,668.48,375.76
2024-02-05T02:00:00,63.10,55.73,780.4,0.3,31.0,999.01,44.06,24.19,0.20,0.20,459.8790,0.2028,32.0000,65.16,33.58,27.23,50.65,35.32,25.85,663.40,372.89
2024-02-05T03:00:00,55.63,49.13,777.7,0.3,31.0,998.98,44.10,24.17,0.17,0.17,456.8348,0.2014,32.0000,64.81,33.40,27.75,51.61,35.34,25.84,655.70,368.55
2024-02-05T04:00:00,51.95,45.88,776.7,0.3,31.0,999.01,44.12,24.18,0.18,0.18,455.4908,0.2008,32.0000,65.07,33.53,27.75,51.61,35.37,25.84,650.98,365.90
2024-02-05T05:00:00,46.71,41.24,775.8,0.3,31.0,999.22,44.15,24.17,0.17,0.17,453.4298,0.1998,32.0000,65.39,33.69,27.61,51.37,35.37,25.84,645.88,362.94
2024-02-05T06:00:00,46.99,41.48,775.5,0.3,31.0,999.45,44.14,24.21,0.15,0.15,452.5674,0.1994,32.0000,64.89,33.43,27.62,51.39,35.32,25.91,642.47,360.99
2024-02-05T07:00:00,45.45,40.11,775.4,0.3,31.0,999.91,44.06,24.25,0.14,0.14,454.2304,0.2001,32.0000,65.23,33.60,27.97,52.05,35.36,25.89,640.74,359.90
2024-02-05T08:00:00,-20.21,-17.64,748.9,0.3,30.6,1000.20,44.61,23.67,1.16,1.06,408.0343,0.1794,31.4435,80.81,41.51,29.65,55.32,35.74,25.32,655.35,367.27
2024-02-05T09:00:00,-57.31,-50.29,725.2,0.3,29.8,1000.56,46.02,23.03,2.55,2.05,374.1394,0.1641,30.7307,77.84,39.89,29.36,54.91,36.81,24.72,733.99,410.33
2024-02-05T10:00:00,31.98,28.16,739.4,0.3,30.9,1001.04,46.07,23.83,2.33,1.87,404.6613,0.1778,31.5902,66.80,34.31,28.73,53.62,36.88,25.56,1201.29,673.09
2024-02-05T11:00:00,72.09,63.56,753.2,0.3,31.0,1001.14,47.58,24.28,2.42,1.89,438.1476,0.1928,32.0000,63.63,32.73,28.40,52.92,38.29,26.04,2043.53,1146.59
2024-02-05T12:00:00,100.23,88.51,763.0,0.3,31.7,1000.85,47.16,24.71,2.72,2.21,456.0818,0.2011,32.1997,60.98,31.43,26.28,48.89,38.10,26.38,2601.25,1462.02
2024-02-05T13:00:00,30.93,27.33,740.8,0.3,32.0,1000.41,43.18,24.89,5.30,4.18,406.6430,0.1794,32.5714,71.02,36.64,24.06,44.71,34.79,26.47,1900.49,1069.20
2024-02-05T14:00:00,6.66,5.90,726.9,0.3,32.0,999.92,40.97,25.23,5.83,4.50,377.4076,0.1668,32.9791,81.90,42.32,27.00,50.08,32.88,26.82,1405.45,792.03
2024-02-05T15:00:00,32.89,29.17,724.4,0.3,32.2,999.67,40.33,25.64,5.54,4.23,373.0013,0.1651,33.0000,82.98,42.94,27.81,51.51,32.35,27.20,1333.90,752.93
2024-02-06T10:00:00,4404.52,3844.86,926.4,0.4,23.5,997.77,58.51,20.92,3.26,2.18,1037.8849,0.4530,23.9655,65.82,33.60,29.82,56.02,47.86,22.61,1749.84,974.01
2024-02-06T11:00:00,1401.76,1238.96,853.1,0.4,29.9,997.59,50.18,24.08,3.63,2.30,724.4466,0.3197,30.5690,28.70,14.76,13.25,24.67,40.66,25.81,1992.94,1121.42
2024-02-06T12:00:00,369.75,327.77,898.8,0.4,27.7,996.93,46.74,24.46,2.18,1.58,797.4463,0.3526,29.5167,51.88,26.84,23.19,42.97,38.24,25.90,1949.09,1098.48
2024-02-06T13:00:00,535.75,474.97,896.2,0.4,29.5,996.52,43.48,24.92,2.22,1.82,759.4685,0.3366,30.2857,42.36,22.00,17.83,32.92,35.31,26.42,1858.80,1049.78
2024-02-06T14:00:00,675.87,566.41,904.3,0.4,14.1,995.42,59.44,10.24,2.24,2.06,1003.8737,0.4253,15.1893,145.61,71.68,50.70,98.79,47.93,11.76,2198.63,1176.96
2024-02-06T15:00:00,314.24,276.17,748.4,0.3,27.5,993.72,50.85,21.08,4.55,4.33,625.3651,0.2741,28.3711,49.73,25.47,19.40,36.29,40.34,23.01,1805.66,1010.16
2024-02-06T16:00:00,289.59,255.94,747.5,0.3,29.8,993.44,47.42,22.75,3.83,3.65,545.0603,0.2405,30.6384,57.35,29.58,24.63,45.77,37.85,24.56,2486.34,1398.62
2024-02-06T17:00:00,304.92,269.52,753.9,0.3,29.4,992.97,47.89,22.64,3.61,3.48,553.5190,0.2442,30.2074,66.66,34.38,28.20,52.41,38.43,24.36,2219.16,1248.43
2024-02-06T18:00:00,318.20,281.53,766.2,0.3,29.0,992.54,47.38,22.80,3.43,3.29,558.9211,0.2469,29.8195,65.30,33.71,27.50,51.05,38.08,24.47,2348.41,1322.39
2024-02-08T09:00:00,2911.31,2630.67,917.7,0.4,34.5,991.00,62.10,29.29,0.45,0.41,1383.4389,0.6264,35.4489,40.34,20.21,-53.06,-94.28,51.57,31.46,1240.93,715.33
2024-02-08T10:00:00,3317.79,3118.19,1007.5,0.5,47.0,990.53,35.09,40.33,0.33,0.30,1218.6705,0.5716,48.4865,-71.94,-39.46,-30.45,-53.13,29.29,42.49,1391.84,831.54
2024-02-08T11:00:00,1599.02,1325.04,1122.3,0.5,11.5,990.36,27.48,3.60,0.32,0.30,754.6015,0.3130,12.6886,156.29,75.37,77.49,153.41,20.27,4.72,1509.81,797.22
2024-02-08T12:00:00,2095.51,1683.46,1020.0,0.4,2.3,989.93,37.87,-5.10,0.47,0.38,700.6021,0.2810,3.1235,120.74,56.61,47.76,97.64,27.48,-3.57,1503.28,768.66
2024-02-08T13:00:00,2304.06,1849.18,978.8,0.4,2.0,989.01,37.70,-5.63,0.61,0.44,674.5003,0.2702,2.9800,103.40,48.43,42.91,87.82,27.08,-4.00,1497.61,764.97
