date,var,val,device
2024-03-20 18:10:00,PM01,12.686299196232,Tropos
2024-03-20 18:15:00,PM01,13.0143634636778,Tropos
2024-03-20 18:20:00,PM01,13.2847984225677,Tropos
2024-03-20 18:25:00,PM01,12.9919051909201,Tropos
2024-03-20 18:30:00,PM01,13.0524362521254,Tropos
2024-03-20 18:35:00,PM01,13.3714994240839,Tropos
2024-03-20 18:40:00,PM01,12.8598944493842,Tropos
2024-03-20 18:45:00,PM01,12.9643612425159,Tropos
2024-03-20 18:50:00,PM01,12.9352935195701,Tropos
2024-03-20 18:55:00,PM01,12.6961545484611,Tropos
2024-03-20 19:00:00,PM01,12.6473254018352,Tropos
2024-03-20 19:05:00,PM01,12.852859577017,Tropos
2024-03-20 19:10:00,PM01,13.0150741152435,Tropos
2024-03-20 19:15:00,PM01,12.6876591612195,Tropos
2024-03-20 19:20:00,PM01,13.0728574595405,Tropos
2024-03-20 19:25:00,PM01,13.1099204286764,Tropos
2024-03-20 19:30:00,PM01,13.4116087038364,Tropos
2024-03-20 19:35:00,PM01,13.6227842747456,Tropos
2024-03-20 19:40:00,PM01,13.9381608857481,Tropos
2024-03-20 19:45:00,PM01,13.7103870753806,Tropos
2024-03-20 19:50:00,PM01,13.676737135166,Tropos
2024-03-20 19:55:00,PM01,14.512779015343,Tropos
2024-03-20 20:00:00,PM01,14.6781771265211,Tropos
2024-03-20 20:05:00,PM01,14.2984344579408,Tropos
2024-03-20 20:10:00,PM01,15.5577817046734,Tropos
2024-03-20 20:15:00,PM01,16.4728178310818,Tropos
2024-03-20 20:20:00,PM01,17.6594001086037,Tropos
2024-03-20 20:25:00,PM01,18.5808523975687,Tropos
2024-03-20 20:30:00,PM01,18.4699941645463,Tropos
2024-03-20 20:35:00,PM01,19.4684281023202,Tropos
2024-03-20 20:40:00,PM01,20.3238324050693,Tropos
2024-03-20 20:45:00,PM01,20.3049844978931,Tropos
2024-03-20 20:50:00,PM01,21.0412946082345,Tropos
2024-03-20 20:55:00,PM01,21.4362075710993,Tropos
2024-03-20 21:00:00,PM01,21.9511990384841,Tropos
2024-03-20 21:05:00,PM01,22.2919911225539,Tropos
2024-03-20 21:10:00,PM01,22.1797944840009,Tropos
2024-03-20 21:15:00,PM01,22.6341659121085,Tropos
2024-03-20 21:20:00,PM01,22.3818326807958,Tropos
2024-03-20 21:25:00,PM01,22.1821697119153,Tropos
2024-03-20 21:30:00,PM01,22.7913782393149,Tropos
2024-03-20 21:35:00,PM01,23.2927751671484,Tropos
2024-03-20 21:40:00,PM01,23.8372230896818,Tropos
2024-03-20 21:45:00,PM01,23.6741035597686,Tropos
2024-03-20 21:50:00,PM01,24.0355454179589,Tropos
2024-03-20 21:55:00,PM01,24.1465710106067,Tropos
2024-03-20 22:00:00,PM01,23.9294368931159,Tropos
2024-03-20 22:05:00,PM01,24.2031382137163,Tropos
2024-03-20 22:10:00,PM01,22.8665606351017,Tropos
2024-03-20 22:15:00,PM01,17.7588292060762,Tropos
2024-03-20 22:20:00,PM01,15.7305238384715,Tropos
2024-03-20 22:25:00,PM01,14.3768753410963,Tropos
2024-03-20 22:30:00,PM01,13.1633740482266,Tropos
2024-03-20 22:35:00,PM01,12.3494483138385,Tropos
2024-03-20 22:40:00,PM01,11.9348478793867,Tropos
2024-03-20 22:45:00,PM01,11.4106707262996,Tropos
2024-03-20 22:50:00,PM01,11.426587483273,Tropos
2024-03-20 22:55:00,PM01,11.2157104422366,Tropos
2024-03-20 23:00:00,PM01,10.8948198842413,Tropos
2024-03-20 23:05:00,PM01,10.5725971814632,Tropos
2024-03-20 23:10:00,PM01,10.5752826894321,Tropos
2024-03-20 23:15:00,PM01,10.6318821104536,Tropos
2024-03-20 23:20:00,PM01,10.7371392131467,Tropos
2024-03-20 23:25:00,PM01,10.7725736861145,Tropos
2024-03-20 23:30:00,PM01,10.7796714438424,Tropos
2024-03-20 23:35:00,PM01,10.4132828783654,Tropos
2024-03-20 23:40:00,PM01,10.6552283211174,Tropos
2024-03-20 23:45:00,PM01,10.6145820979326,Tropos
2024-03-20 23:50:00,PM01,10.6606093538818,Tropos
2024-03-20 23:55:00,PM01,11.0319201911583,Tropos
2024-03-21,PM01,10.9361149853356,Tropos
2024-03-21 00:05:00,PM01,10.9364634369847,Tropos
2024-03-21 00:10:00,PM01,11.034495959233,Tropos
2024-03-21 00:15:00,PM01,10.9912317736932,Tropos
2024-03-21 00:20:00,PM01,11.0387142863669,Tropos
2024-03-21 00:25:00,PM01,11.0476085148192,Tropos
2024-03-21 00:30:00,PM01,10.707792495257,Tropos
2024-03-21 00:35:00,PM01,11.2784646841046,Tropos
2024-03-21 00:40:00,PM01,11.2445476139764,Tropos
2024-03-21 00:45:00,PM01,11.3403912358335,Tropos
2024-03-21 00:50:00,PM01,11.0316498788249,Tropos
2024-03-21 00:55:00,PM01,10.6642764692065,Tropos
2024-03-21 01:00:00,PM01,10.920404609619,Tropos
2024-03-21 01:05:00,PM01,10.9372559247117,Tropos
2024-03-21 01:10:00,PM01,11.1295019074058,Tropos
2024-03-21 01:15:00,PM01,10.7905386647043,Tropos
2024-03-21 01:20:00,PM01,11.0369889302832,Tropos
2024-03-21 01:25:00,PM01,11.1023841092344,Tropos
2024-03-21 01:30:00,PM01,11.1545858454096,Tropos
2024-03-21 01:35:00,PM01,10.7032700593269,Tropos
2024-03-21 01:40:00,PM01,10.7949134181631,Tropos
2024-03-21 01:45:00,PM01,10.300747792833,Tropos
2024-03-21 01:50:00,PM01,10.5003167838234,Tropos
2024-03-21 01:55:00,PM01,10.4743102431542,Tropos
2024-03-21 02:00:00,PM01,10.9854097398828,Tropos
2024-03-21 02:05:00,PM01,10.5613809802575,Tropos
2024-03-21 02:10:00,PM01,10.1963569070345,Tropos
2024-03-21 02:15:00,PM01,10.4444477035488,Tropos
2024-03-21 02:20:00,PM01,10.6910676932025,Tropos
2024-03-21 02:25:00,PM01,10.1366692574223,Tropos
2024-03-21 02:30:00,PM01,10.1242682248379,Tropos
2024-03-21 02:35:00,PM01,9.84583411967277,Tropos
2024-03-21 02:40:00,PM01,9.53705728685984,Tropos
2024-03-21 02:45:00,PM01,9.59660580173309,Tropos
2024-03-21 02:50:00,PM01,9.37984130637508,Tropos
2024-03-21 02:55:00,PM01,9.45708979401187,Tropos
2024-03-21 03:00:00,PM01,9.56066173969774,Tropos
2024-03-21 03:05:00,PM01,9.22797499669907,Tropos
2024-03-21 03:10:00,PM01,9.16755149622345,Tropos
