experiment;reference;parameter;avg;device_id;R2;a;b;RMSE;nRMSE;r;device_type;location_type
chamber_CO2;GMP-251;CO2;15 min;mean;0.983;0.842;290.000;129.550;5.445;0.991;Thinnect;indoor
chamber_CO2;GMP-251;CO2;1 hour;CE2B;0.975;0.862;141;217;8.55;0.987;Thinnect;indoor
chamber_CO2;GMP-251;CO2;1 hour;3F06;0.984;0.876;285;74;3.24;0.992;Thinnect;indoor
chamber_CO2;GMP-251;CO2;1 hour;3F07;0.992;0.891;179;92.8;4.07;0.996;Thinnect;indoor
chamber_CO2;GMP-251;CO2;1 hour;3FAD;0.966;0.837;310;119;5.17;0.983;Thinnect;indoor
chamber_CO2;GMP-251;CO2;1 hour;mean;0.979;0.867;228.750;125.700;5.258;0.990;Thinnect;indoor
chamber_CO2;Palas AQ-Guard;CO2;15 min;CE2B;0.991;0.977;-30.3;89.1;3.72;0.995;Thinnect;indoor
chamber_CO2;Palas AQ-Guard;CO2;15 min;3F06;0.99;0.923;288;130;6.05;0.995;Thinnect;indoor
chamber_CO2;Palas AQ-Guard;CO2;15 min;3F07;0.997;0.96;111;35.1;1.65;0.999;Thinnect;indoor
chamber_CO2;Palas AQ-Guard;CO2;15 min;3FAD;0.986;0.874;317;75.7;3.5;0.993;Thinnect;indoor
chamber_CO2;Palas AQ-Guard;CO2;15 min;mean;0.991;0.934;171.425;82.475;3.730;0.996;Thinnect;indoor
chamber_CO2;Palas AQ-Guard;VOC;15 min;CE2B;0.561;0.234;-0.274;6.59;91.5;0.749;Thinnect;indoor
chamber_actetone;Palas AQ-Guard;VOC;15 min;CE2B;0.00077;0.00177;1.28;57.7;108;0.028;Thinnect;indoor
chamber_actetone;Palas AQ-Guard;VOC;1 hour;CE2B;0.0504;-0.0137;2.06;57.2;107;-0.224;Thinnect;indoor
office;Palas AQ-Guard;RH;5 min;17;0.853;0.641;4.03;11.1;26.4;0.923;Wings;indoor
office;Palas AQ-Guard;RH;5 min;18;0.876;0.796;0.923;7.68;18.3;0.936;Wings;indoor
office;Palas AQ-Guard;RH;5 min;19;0.858;0.699;4.31;8.36;20;0.926;Wings;indoor
office;Palas AQ-Guard;RH;5 min;mean;0.862;0.712;3.088;9.047;21.567;0.928;Wings;indoor
office;Palas AQ-Guard;air_temp;5 min;17;0.83;0.736;10.6;4.83;21.9;0.911;Wings;indoor
office;Palas AQ-Guard;air_temp;5 min;18;0.844;0.738;8.45;2.69;12.2;0.919;Wings;indoor
office;Palas AQ-Guard;air_temp;5 min;19;0.827;0.765;8.41;43.25;14.7;0.91;Wings;indoor
office;Palas AQ-Guard;air_temp;5 min;mean;0.834;0.746;9.153;16.923;16.267;0.913;Wings;indoor
office;Palas AQ-Guard;CO2;5 min;17;0.549;0.353;389;352;35.7;0.741;Wings;indoor
office;Palas AQ-Guard;CO2;5 min;18;0.549;0.348;400;349;35.4;0.741;Wings;indoor
office;Palas AQ-Guard;CO2;5 min;19;0.543;0.344;390;358;36.4;0.737;Wings;indoor
office;Palas AQ-Guard;CO2;5 min;mean;0.547;0.348;393.000;353.000;35.833;0.740;Wings;indoor
office;Palas AQ-Guard;VOC;5 min;17;0.126;0.108;192;1039;89.9;0.356;Wings;indoor
office;Palas AQ-Guard;VOC;5 min;18;0.138;0.115;191;1030;89.2;0.371;Wings;indoor
office;Palas AQ-Guard;VOC;5 min;19;0.133;0.105;177;1051;91.1;0.364;Wings;indoor
office;Palas AQ-Guard;VOC;5 min;mean;0.132;0.109;186.667;1040.000;90.067;0.364;Wings;indoor
office;Palas AQ-Guard;PM01;5 min;17;0.977;0.921;0.0139;0.424;21.6;0.988;Wings;indoor
office;Palas AQ-Guard;PM01;5 min;18;0.986;0.98;-0.151;0.344;17.5;0.993;Wings;indoor
office;Palas AQ-Guard;PM01;5 min;19;0.986;1.1;-0.159;0.387;19.9;0.993;Wings;indoor
office;Palas AQ-Guard;PM01;5 min;mean;0.983;1.000;-0.099;0.385;19.667;0.991;Wings;indoor
office;Palas AQ-Guard;PM02.5;5 min;17;0.964;0.833;-0.0014;0.76;33.2;0.982;Wings;indoor
office;Palas AQ-Guard;PM02.5;5 min;18;0.974;0.898;-0.168;0.648;28.3;0.987;Wings;indoor
office;Palas AQ-Guard;PM02.5;5 min;19;0.971;1.01;-0.184;0.507;22.4;0.985;Wings;indoor
office;Palas AQ-Guard;PM02.5;5 min;mean;0.970;0.914;-0.118;0.638;27.967;0.985;Wings;indoor
office;Palas AQ-Guard;PM10;5 min;17;0.876;0.658;-0.0475;1.93;60.9;0.936;Wings;indoor
office;Palas AQ-Guard;PM10;5 min;18;0.873;0.7;-0.191;1.78;59.4;0.934;Wings;indoor
office;Palas AQ-Guard;PM10;5 min;19;0.865;0.79;-0.203;1.52;51.2;0.93;Wings;indoor
office;Palas AQ-Guard;PM10;5 min;mean;0.871;0.716;-0.147;1.743;57.167;0.933;Wings;indoor
office;Palas AQ-Guard;abs_hum;5 min;17;0.957;0.878;0.729;0.306;3.74;0.978;Wings;indoor
office;Palas AQ-Guard;abs_hum;5 min;18;0.968;0.93;0.179;0.411;5.02;0.984;Wings;indoor
office;Palas AQ-Guard;abs_hum;5 min;19;0.959;0.982;0.577;0.334;4.08;0.98;Wings;indoor
office;Palas AQ-Guard;abs_hum;5 min;mean;0.961;0.930;0.495;0.350;4.280;0.981;Wings;indoor
office;Palas AQ-Guard;RH;1 hour;17;0.885;0.638;4.13;11.1;26.4;0.941;Wings;indoor
office;Palas AQ-Guard;RH;1 hour;18;0.909;0.794;0.983;7.66;18.3;0.953;Wings;indoor
office;Palas AQ-Guard;RH;1 hour;19;0.982;0.697;4.38;8.36;20;0.944;Wings;indoor
office;Palas AQ-Guard;RH;1 hour;mean;0.925;0.710;3.164;9.040;21.567;0.946;Wings;indoor
office;Palas AQ-Guard;air_temp;1 hour;17;0.89;0.792;9.41;4.82;21.8;0.944;Wings;indoor
office;Palas AQ-Guard;air_temp;1 hour;18;0.903;0.78;7.51;2.68;21.1;0.95;Wings;indoor
office;Palas AQ-Guard;air_temp;1 hour;19;0.889;0.822;7.16;3.24;14.7;0.943;Wings;indoor
office;Palas AQ-Guard;air_temp;1 hour;mean;0.894;0.798;8.027;3.580;19.200;0.946;Wings;indoor
office;Palas AQ-Guard;CO2;1 hour;17;0.55;0.352;390;352;35.6;0.742;Wings;indoor
office;Palas AQ-Guard;CO2;1 hour;18;0.551;0.35;397;345;35;0.742;Wings;indoor
office;Palas AQ-Guard;CO2;1 hour;19;0.542;0.344;389;357;36.2;0.736;Wings;indoor
office;Palas AQ-Guard;CO2;1 hour;mean;0.548;0.349;392.000;351.333;35.600;0.740;Wings;indoor
office;Palas AQ-Guard;VOC;1 hour;17;0.143;0.112;189;1046;89.8;0.378;Wings;indoor
office;Palas AQ-Guard;VOC;1 hour;18;0.14;0.115;191;1024;88.5;0.374;Wings;indoor
office;Palas AQ-Guard;VOC;1 hour;19;0.142;0.105;177;1057;91;0.377;Wings;indoor
office;Palas AQ-Guard;VOC;1 hour;mean;0.142;0.111;185.667;1042.333;89.767;0.376;Wings;indoor
office;Palas AQ-Guard;PM01;1 hour;17;0.882;0.936;0.0285;0.896;44.5;0.939;Wings;indoor
office;Palas AQ-Guard;PM01;1 hour;18;0.995;0.998;-0.18;0.257;12.8;0.998;Wings;indoor
office;Palas AQ-Guard;PM01;1 hour;19;0.995;1.11;-0.169;0.322;16.4;0.997;Wings;indoor
office;Palas AQ-Guard;PM01;1 hour;mean;0.957;1.015;-0.107;0.492;24.567;0.978;Wings;indoor
office;Palas AQ-Guard;PM02.5;1 hour;17;0.882;0.847;0.0097;1.09;46;0.939;Wings;indoor
office;Palas AQ-Guard;PM02.5;1 hour;18;0.986;0.91;-0.194;0.586;24.8;0.993;Wings;indoor
office;Palas AQ-Guard;PM02.5;1 hour;19;0.983;1.02;-0.196;0.406;17.6;0.991;Wings;indoor
office;Palas AQ-Guard;PM02.5;1 hour;mean;0.950;0.926;-0.127;0.694;29.467;0.974;Wings;indoor
office;Palas AQ-Guard;PM10;1 hour;17;0.854;0.698;-0.13;1.86;59.8;0.924;Wings;indoor
office;Palas AQ-Guard;PM10;1 hour;18;0.912;0.73;-0.281;1.07;54.9;0.955;Wings;indoor
office;Palas AQ-Guard;PM10;1 hour;19;0.896;0.81;-0.269;1.42;46.7;0.947;Wings;indoor
office;Palas AQ-Guard;PM10;1 hour;mean;0.887;0.746;-0.227;1.450;53.800;0.942;Wings;indoor
office;Palas AQ-Guard;abs_hum;1 hour;17;0.98;0.898;0.565;0.288;3.52;0.99;Wings;indoor
office;Palas AQ-Guard;abs_hum;1 hour;18;0.989;0.942;0.081;0.399;4.88;0.994;Wings;indoor
office;Palas AQ-Guard;abs_hum;1 hour;19;0.984;0.916;0.381;0.316;3.86;0.992;Wings;indoor
office;Palas AQ-Guard;abs_hum;1 hour;mean;0.984;0.919;0.342;0.334;4.087;0.992;Wings;indoor
office;Palas AQ-Guard;RH;10 min;1602;0.903;1.03;-5.13;3.95;9.44;0.95;Wings;outdoor
office;Palas AQ-Guard;RH;10 min;1603;0.931;0.982;-3.25;4.07;9.7;0.965;Wings;outdoor
office;Palas AQ-Guard;RH;10 min;1604;0.923;0.949;-3.45;5.63;13.4;0.961;Wings;outdoor
office;Palas AQ-Guard;RH;10 min;mean;0.919;0.987;-3.943;4.550;10.847;0.959;Wings;outdoor
office;Palas AQ-Guard;air_temp;10 min;1602;0.836;0.966;1.18;0.61;2.76;0.914;Wings;outdoor
office;Palas AQ-Guard;air_temp;10 min;1603;0.882;0.945;1.07;0.379;1.71;0.939;Wings;outdoor
office;Palas AQ-Guard;air_temp;10 min;1604;0.849;0.873;4.26;1.5;6.79;0.922;Wings;outdoor
office;Palas AQ-Guard;air_temp;10 min;mean;0.856;0.928;2.170;0.830;3.753;0.925;Wings;outdoor
office;Palas AQ-Guard;PM01;10 min;1602;0.079;0.08;2.35;2.46;124;0.281;Wings;outdoor
office;Palas AQ-Guard;PM01;10 min;1603;0.034;0.199;5.8;5.26;271;0.185;Wings;outdoor
office;Palas AQ-Guard;PM01;10 min;1604;0.035;0.233;3.04;3.91;198;0.187;Wings;outdoor
office;Palas AQ-Guard;PM01;10 min;mean;0.049;0.171;3.730;3.877;197.667;0.218;Wings;outdoor
office;Palas AQ-Guard;PM02.5;10 min;1602;0.015;-0.138;8.8;7.71;334;-0.122;Wings;outdoor
office;Palas AQ-Guard;PM02.5;10 min;1603;0.085;0.0569;11.9;10.2;440;0.292;Wings;outdoor
office;Palas AQ-Guard;PM02.5;10 min;1604;0.064;0.215;7.86;6.89;299;0.253;Wings;outdoor
office;Palas AQ-Guard;PM02.5;10 min;mean;0.055;0.045;9.520;8.267;357.667;0.141;Wings;outdoor
office;Palas AQ-Guard;PM10;10 min;1602;0.089;0.387;29.6;25.5;845;0.298;Wings;outdoor
office;Palas AQ-Guard;PM10;10 min;1603;0.046;0.861;40.4;42.4;1403;0.214;Wings;outdoor
office;Palas AQ-Guard;PM10;10 min;1604;0.068;1.26;18.8;25.6;846;0.261;Wings;outdoor
office;Palas AQ-Guard;PM10;10 min;mean;0.068;0.836;29.600;31.167;1031.333;0.258;Wings;outdoor
office;Palas AQ-Guard;abs_hum;10 min;1602;0.987;0.958;-0.229;0.577;7.05;0.994;Wings;outdoor
office;Palas AQ-Guard;abs_hum;10 min;1603;0.989;0.925;-0.225;0.852;10.4;0.994;Wings;outdoor
office;Palas AQ-Guard;abs_hum;10 min;1604;0.985;0.958;-0.139;0.488;5.96;0.992;Wings;outdoor
office;Palas AQ-Guard;abs_hum;10 min;mean;0.987;0.947;-0.198;0.639;7.803;0.993;Wings;outdoor
office;Palas AQ-Guard;RH;1 hour;1602;0.916;1.02;-4.81;3.94;9.41;0.957;Wings;outdoor
office;Palas AQ-Guard;RH;1 hour;1603;0.946;0.975;-2.96;4.06;9.68;0.973;Wings;outdoor
office;Palas AQ-Guard;RH;1 hour;1604;0.941;0.939;-3.04;5.62;14.3;0.97;Wings;outdoor
office;Palas AQ-Guard;RH;1 hour;mean;0.934;0.978;-3.603;4.540;11.130;0.967;Wings;outdoor
office;Palas AQ-Guard;air_temp;1 hour;1602;0.877;1.01;0.237;0.569;2.58;0.937;Wings;outdoor
office;Palas AQ-Guard;air_temp;1 hour;1603;0.922;0.994;-0.0106;0.312;1.41;0.96;Wings;outdoor
office;Palas AQ-Guard;air_temp;1 hour;1604;0.898;0.927;3.07;1.49;6.74;0.948;Wings;outdoor
office;Palas AQ-Guard;air_temp;1 hour;mean;0.899;0.977;1.099;0.790;3.577;0.948;Wings;outdoor
office;Palas AQ-Guard;PM01;1 hour;1602;0.092;0.0931;2.36;22.49;124;0.304;Wings;outdoor
office;Palas AQ-Guard;PM01;1 hour;1603;0.4;0.21;5.81;5.38;267;0.199;Wings;outdoor
office;Palas AQ-Guard;PM01;1 hour;1604;0.048;0.269;3.03;3.93;195;0.218;Wings;outdoor
office;Palas AQ-Guard;PM01;1 hour;mean;0.180;0.191;3.733;10.600;195.333;0.240;Wings;outdoor
office;Palas AQ-Guard;PM02.5;1 hour;1602;0.012;-0.12;8.79;7.71;326;-0.109;Wings;outdoor
office;Palas AQ-Guard;PM02.5;1 hour;1603;0.125;0.0785;11.9;10.2;430;0.353;Wings;outdoor
office;Palas AQ-Guard;PM02.5;1 hour;1604;0.092;0.259;7.83;6.9;292;0.303;Wings;outdoor
office;Palas AQ-Guard;PM02.5;1 hour;mean;0.076;0.073;9.507;8.270;349.333;0.182;Wings;outdoor
office;Palas AQ-Guard;PM10;1 hour;1602;0.122;0.461;26.8;25.6;824;0.349;Wings;outdoor
office;Palas AQ-Guard;PM10;1 hour;1603;0.061;0.98;40.3;42.6;1371;0.247;Wings;outdoor
office;Palas AQ-Guard;PM10;1 hour;1604;0.096;1.49;18.4;26;836;0.31;Wings;outdoor
office;Palas AQ-Guard;PM10;1 hour;mean;0.093;0.977;28.500;31.400;1010.333;0.302;Wings;outdoor
office;Palas AQ-Guard;abs_hum;1 hour;1602;0.992;0.961;-0.254;0.574;7.01;0.996;Wings;outdoor
office;Palas AQ-Guard;abs_hum;1 hour;1603;0.993;0.929;-0.264;0.85;10.4;0.997;Wings;outdoor
office;Palas AQ-Guard;abs_hum;1 hour;1604;0.989;0.963;-0.178;0.483;5.9;0.994;Wings;outdoor
office;Palas AQ-Guard;abs_hum;1 hour;mean;0.991;0.951;-0.232;0.636;7.770;0.996;Wings;outdoor
rootop;Palas AQ-Guard;RH;10 min;1602;0.868;1.44;-19.9;6.78;13.8;0.932;Wings;outdoor
rootop;Palas AQ-Guard;RH;10 min;1603;0.853;1.37;-16.7;6.31;12.9;0.923;Wings;outdoor
rootop;Palas AQ-Guard;RH;10 min;1604;0.905;1.38;-20.6;5.67;11.6;0.952;Wings;outdoor
rootop;Palas AQ-Guard;RH;10 min;mean;0.875;1.397;-19.067;6.253;12.767;0.936;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;10 min;1602;0.848;1.6;-11.6;3.25;17.8;0.921;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;10 min;1603;0.836;1.55;-11.6;3.46;18.9;0.915;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;10 min;1604;0.883;1.69;-10.8;3.72;20.4;0.94;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;10 min;mean;0.856;1.613;-11.333;3.477;19.033;0.925;Wings;outdoor
rootop;Palas AQ-Guard;PM01;10 min;1602;0.851;0.121;0.031;5.59;100;0.923;Wings;outdoor
rootop;Palas AQ-Guard;PM01;10 min;1603;0.785;0.847;-0.756;2.17;38.9;0.886;Wings;outdoor
rootop;Palas AQ-Guard;PM01;10 min;1604;0.851;0.382;-0.235;4.18;74.9;0.923;Wings;outdoor
rootop;Palas AQ-Guard;PM01;10 min;mean;0.829;0.450;-0.320;3.980;71.267;0.911;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;10 min;1602;0.778;0.125;0.161;5.75;96.8;0.882;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;10 min;1603;0.782;0.871;-0.5;1.97;33.2;0.884;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;10 min;1604;0.863;0.386;0.13;4.05;68.1;0.929;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;10 min;mean;0.808;0.461;-0.070;3.923;66.033;0.898;Wings;outdoor
rootop;Palas AQ-Guard;PM10;10 min;1602;0.804;0.12;0.091;6.59;97;0.897;Wings;outdoor
rootop;Palas AQ-Guard;PM10;10 min;1603;0.74;0.798;-0.742;2.73;40.2;0.86;Wings;outdoor
rootop;Palas AQ-Guard;PM10;10 min;1604;0.858;0.362;-0.024;4.88;71-8;0.927;Wings;outdoor
rootop;Palas AQ-Guard;PM10;10 min;mean;0.801;0.427;-0.225;4.733;68.600;0.895;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;10 min;1602;0.835;0.957;0.0303;0.413;5.5;0.914;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;10 min;1603;0.921;0.906;-0.012;0.748;9.96;0.96;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;10 min;1604;0.845;1.07;-0.326;0.378;5.03;0.919;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;10 min;mean;0.867;0.978;-0.103;0.513;6.830;0.931;Wings;outdoor
rootop;Palas AQ-Guard;RH;1 hour;1602;0.872;1.44;-19.9;6.67;13.6;0.934;Wings;outdoor
rootop;Palas AQ-Guard;RH;1 hour;1603;0.857;1.37;-16.8;6.2;12.7;0.926;Wings;outdoor
rootop;Palas AQ-Guard;RH;1 hour;1604;0.908;1.39;-20.8;5.6;11.4;0.953;Wings;outdoor
rootop;Palas AQ-Guard;RH;1 hour;mean;0.879;1.400;-19.167;6.157;12.567;0.938;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;1 hour;1602;0.852;1.6;-11.5;3.17;17.4;0.923;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;1 hour;1603;0.841;1.55;-11.6;3.39;18.6;0.917;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;1 hour;1604;0.89;1.68;-10.6;3.63;19.8;0.943;Wings;outdoor
rootop;Palas AQ-Guard;air_temp;1 hour;mean;0.861;1.610;-11.233;3.397;18.600;0.928;Wings;outdoor
rootop;Palas AQ-Guard;PM01;1 hour;1602;0.869;0.123;0.022;5.56;99.7;0.932;Wings;outdoor
rootop;Palas AQ-Guard;PM01;1 hour;1603;0.8;0.86;-0.829;2.13;38.1;0.984;Wings;outdoor
rootop;Palas AQ-Guard;PM01;1 hour;1604;0.883;0.388;-0.269;4.15;74.5;0.939;Wings;outdoor
rootop;Palas AQ-Guard;PM01;1 hour;mean;0.851;0.457;-0.359;3.947;70.767;0.952;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;1 hour;1602;0.829;0.127;0.151;5.73;96.4;0.911;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;1 hour;1603;0.802;0.884;-0.579;1.9;32;0.896;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;1 hour;1604;0.896;0.391;0.102;4.02;67.6;0.947;Wings;outdoor
rootop;Palas AQ-Guard;PM02.5;1 hour;mean;0.842;0.467;-0.109;3.883;65.333;0.918;Wings;outdoor
rootop;Palas AQ-Guard;PM10;1 hour;1602;0.852;0.122;0.0784;6.55;96.6;0.923;Wings;outdoor
rootop;Palas AQ-Guard;PM10;1 hour;1603;0.763;0.871;-0.871;2.66;39.2;0.873;Wings;outdoor
rootop;Palas AQ-Guard;PM10;1 hour;1604;0.89;0.368;-0.0662;4.84;71.4;0.943;Wings;outdoor
rootop;Palas AQ-Guard;PM10;1 hour;mean;0.835;0.454;-0.286;4.683;69.067;0.913;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;1 hour;1602;0.841;0.96;0.006;0.409;5.45;0.917;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;1 hour;1603;0.926;0.908;-0.034;0.747;9.94;0.962;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;1 hour;1604;0.854;1.08;-0.36;0.37;4.92;0.924;Wings;outdoor
rootop;Palas AQ-Guard;abs_hum;1 hour;mean;0.874;0.983;-0.129;0.509;6.770;0.934;Wings;outdoor
rootop;chem. Tropos;O3;1 hour;1602;0.334;-0.491;68.7;41.8;209;-0.578;Wings;outdoor
rootop;chem. Tropos;O3;1 hour;1603;0.304;1.74;18.5;41.9;210;0.551;Wings;outdoor
rootop;chem. Tropos;O3;1 hour;1604;0.0111;0.616;74.1;85.5;428;0.105;Wings;outdoor
rootop;chem. Tropos;O3;1 hour;mean;0.381;0.712;40.293;42.427;213.443;0.253;Wings;outdoor
rootop;chem. Tropos;NO;1 hour;1602;0.0019;-0.0402;2.26;1.38;139;-0.043;Wings;outdoor
rootop;chem. Tropos;NO;1 hour;1603;0.0073;-0.151;0.524;1.15;116;-0.085;Wings;outdoor
rootop;chem. Tropos;NO;1 hour;1604;0;-0.0037;0.904;0.921;92.7;-0.002;Wings;outdoor
rootop;chem. Tropos;NO;1 hour;mean;0.003;-0.065;1.229;1.150;115.900;-0.043;Wings;outdoor
rootop;chem. Tropos;SO2;1 hour;1602;0.232;18;-38;8.56;341;0.481;Wings;outdoor
rootop;chem. Tropos;SO2;1 hour;1603;0.056;6.26;-13.4;5.09;203;0.236;Wings;outdoor
rootop;chem. Tropos;SO2;1 hour;1604;0.23;13.5;-29.3;5.71;228;0.48;Wings;outdoor
rootop;chem. Tropos;SO2;1 hour;mean;0.173;12.587;-26.900;6.453;257.333;0.399;Wings;outdoor
rootop;chem. Tropos;NO2;1 hour;1602;0.178;12.6;19.9;55.3;1988;0.422;Wings;outdoor
rootop;chem. Tropos;NO2;1 hour;1603;0.0374;-1.97;9.81;6.71;241;-0.194;Wings;outdoor
rootop;chem. Tropos;NO2;1 hour;1604;0.119;15.8;3.31;52.8;18989;0.344;Wings;outdoor
rootop;chem. Tropos;NO2;1 hour;mean;0.111;8.810;11.007;38.270;7072.667;0.191;Wings;outdoor
rootop;chem. Tropos;O3;10 min;1602;0.324;-0.485;68.6;41.8;210;-0.569;Wings;outdoor
rootop;chem. Tropos;O3;10 min;1603;0.296;1.73;18.8;42.2;211;0.544;Wings;outdoor
rootop;chem. Tropos;O3;10 min;1604;0.009;0.594;74.6;87.9;440;0.0959;Wings;outdoor
rootop;chem. Tropos;O3;10 min;mean;0.210;0.613;54.000;57.300;287.000;0.024;Wings;outdoor
rootop;chem. Tropos;NO;10 min;1602;0.0019;-0.0286;2.26;1.41;141;-0.043;Wings;outdoor
rootop;chem. Tropos;NO;10 min;1603;0.0058;-0.131;0.504;1.2;121;-0.076;Wings;outdoor
rootop;chem. Tropos;NO;10 min;1604;0;-0.0033;0.903;0.969;97.3;-0.002;Wings;outdoor
rootop;chem. Tropos;NO;10 min;mean;0.003;-0.054;1.222;1.193;119.767;-0.040;Wings;outdoor
rootop;chem. Tropos;SO2;10 min;1602;0.17;13.7;-27.1;8.67;346;0.412;Wings;outdoor
rootop;chem. Tropos;SO2;10 min;1603;0.0327;4.42;-8.72;5.38;214;0.181;Wings;outdoor
rootop;chem. Tropos;SO2;10 min;1604;0.152;9.97;-20,5;5.94;237;0.39;Wings;outdoor
rootop;chem. Tropos;SO2;10 min;mean;0.118;9.363;-17.910;6.663;265.667;0.328;Wings;outdoor
rootop;chem. Tropos;NO2;10 min;1602;0.156;11.3;23.6;55.4;1990;0.396;Wings;outdoor
rootop;chem. Tropos;NO2;10 min;1603;0.032;-1.74;9.18;6.81;245;-0.179;Wings;outdoor
rootop;chem. Tropos;NO2;10 min;1604;0.101;13.8;8.72;52.9;1903;0.318;Wings;outdoor
rootop;chem. Tropos;NO2;10 min;mean;0.096;7.787;13.833;38.370;1379.333;0.178;Wings;outdoor
chamber_meteo;Palas AQ-Guard;RH;5 min;17;0.881;0.739;2.31;11.5;25.6;0.939;Wings;indoor
chamber_meteo;Palas AQ-Guard;RH;5 min;18;0.853;0.897;1.63;9.22;20.5;0.924;Wings;indoor
chamber_meteo;Palas AQ-Guard;RH;5 min;19;0.887;0.805;1.33;9.61;21.3;0.942;Wings;indoor
chamber_meteo;Palas AQ-Guard;RH;5 min;mean;0.874;0.814;1.757;10.110;22.467;0.935;Wings;indoor
chamber_meteo;Palas AQ-Guard;air_temp;5 min;17;0.815;0.83;7.65;4.31;17.6;0.903;Wings;indoor
chamber_meteo;Palas AQ-Guard;air_temp;5 min;18;0.789;0.791;7.46;3.57;14.6;0.888;Wings;indoor
chamber_meteo;Palas AQ-Guard;air_temp;5 min;19;0.835;0.849;6.36;3.57;14.6;0.914;Wings;indoor
chamber_meteo;Palas AQ-Guard;air_temp;5 min;mean;0.813;0.823;7.157;3.817;15.600;0.902;Wings;indoor
chamber_meteo;Palas AQ-Guard;abs_hum;5 min;17;0.963;0.851;1.01;1.62;15.1;0.981;Wings;indoor
chamber_meteo;Palas AQ-Guard;abs_hum;5 min;18;0.948;0.938;0.33;1.58;14.7;0.947;Wings;indoor
chamber_meteo;Palas AQ-Guard;abs_hum;5 min;19;0.969;0.889;0.717;1.4;13;0.984;Wings;indoor
chamber_meteo;Palas AQ-Guard;abs_hum;5 min;mean;0.960;0.893;0.686;1.533;14.267;0.971;Wings;indoor
chamber_meteo;Palas AQ-Guard;CO2;5 min;17;0.769;2.01;-358;293;46.5;0.877;Wings;indoor
chamber_meteo;Palas AQ-Guard;CO2;5 min;18;0.763;1.96;-320;303;48;0.873;Wings;indoor
chamber_meteo;Palas AQ-Guard;CO2;5 min;19;0.761;1.91;-292;296;47;0.873;Wings;indoor
chamber_meteo;Palas AQ-Guard;CO2;5 min;mean;0.764;1.960;-323.333;297.333;47.167;0.874;Wings;indoor
chamber_meteo;GMP-251;CO2;5 min;17;0.627;1.69;-236;253;37.4;0.792;Wings;indoor
chamber_meteo;GMP-251;CO2;5 min;18;0.626;1.66;-206;262;38.7;0.791;Wings;indoor
chamber_meteo;GMP-251;CO2;5 min;19;0.618;1.61;-173;256;37.8;0.786;Wings;indoor
chamber_meteo;GMP-251;CO2;5 min;mean;0.624;1.653;-205.000;257.000;37.967;0.790;Wings;indoor
chamber_meteo;chamber;RH;5 min;17;0.749;0.6;6.23;17;34.8;0.865;Wings;indoor
chamber_meteo;chamber;RH;5 min;18;0.716;0.725;3.36;14.7;30;0.846;Wings;indoor
chamber_meteo;chamber;RH;5 min;19;0.752;0.653;5.65;15.3;31.1;0.867;Wings;indoor
chamber_meteo;chamber;RH;5 min;mean;0.739;0.659;5.080;15.667;31.967;0.859;Wings;indoor
chamber_meteo;chamber;air_temp;5 min;17;0.658;0.692;11.5;5.64;23.8;0.811;Wings;indoor
chamber_meteo;chamber;air_temp;5 min;18;0.625;0.653;11.3;4.97;21;0.79;Wings;indoor
chamber_meteo;chamber;air_temp;5 min;19;0.681;0.711;10.3;4.94;20.9;0.825;Wings;indoor
chamber_meteo;chamber;air_temp;5 min;mean;0.655;0.685;11.033;5.183;21.900;0.809;Wings;indoor
chamber_meteo;chamber;abs_hum;5 min;17;0.938;0.765;1.55;2.53;22.4;0.969;Wings;indoor
chamber_meteo;chamber;abs_hum;5 min;18;0.921;0.842;0.94;2.34;20.8;0.959;Wings;indoor
chamber_meteo;chamber;abs_hum;5 min;19;0.944;0.8;1.28;2.29;20.4;0.972;Wings;indoor
chamber_meteo;chamber;abs_hum;5 min;mean;0.934;0.802;1.257;2.387;21.200;0.967;Wings;indoor
chamber_meteo;Palas AQ-Guard;RH;1 hour;17;0.911;0.783;0.307;10.3;22.7;0.954;Wings;indoor
chamber_meteo;Palas AQ-Guard;RH;1 hour;18;0.883;0.963;-4.64;7.54;16.7;0.94;Wings;indoor
