timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-14T00:00:02,24.32,1160.86,26.86,2075.01,0.6526,1487.3217,31.0000,8299.12,7295.09,1.18,0.92,24.04,12.33,27.12,25.06,1006.65,21.10,11.29
2024-02-14T00:00:07,24.73,1160.08,26.82,2073.86,0.6503,1482.1342,31.0000,8409.48,7391.23,1.16,0.91,3.16,1.62,27.56,25.05,1006.74,21.10,11.29
2024-02-14T00:00:12,24.96,1160.79,26.81,2075.27,0.6500,1481.6572,31.0000,8363.58,7350.37,1.17,0.92,16.44,8.43,27.86,25.02,1006.71,30.76,16.46
2024-02-14T00:00:17,25.17,1160.19,26.78,2074.31,0.6476,1476.2735,31.0000,8364.05,7350.37,1.09,0.85,3.78,1.94,27.97,24.99,1006.66,29.89,15.99
2024-02-14T00:00:22,25.00,1159.34,26.75,2072.99,0.6476,1476.2278,31.0000,8342.95,7331.15,1.00,0.78,-20.91,-10.72,27.77,24.97,1006.69,4.43,2.37
2024-02-14T00:00:27,24.84,1159.15,26.72,2072.79,0.6467,1474.4222,31.0000,8376.38,7359.99,1.12,0.87,-34.85,-17.87,27.26,24.95,1006.70,-29.82,-15.95
2024-02-14T00:00:32,24.34,1159.53,26.69,2073.62,0.6470,1475.1434,31.0000,8333.16,7321.53,1.33,1.04,-47.51,-24.36,26.74,24.93,1006.69,-4.36,-2.33
2024-02-14T00:00:37,23.81,1158.90,26.66,2072.68,0.6482,1477.9623,31.0000,8396.83,7376.81,1.66,1.30,-60.82,-31.18,26.23,24.90,1006.68,-38.59,-20.64
2024-02-14T00:00:42,23.30,1158.15,26.62,2071.58,0.6459,1472.8654,31.0000,8362.27,7345.57,1.92,1.51,-27.25,-13.97,25.64,24.87,1006.70,-14.01,-7.49
2024-02-14T00:00:47,22.89,1158.11,26.60,2071.70,0.6508,1484.3872,31.0000,8398.66,7376.81,1.99,1.56,-34.87,-17.87,25.09,24.84,1006.70,-14.01,-7.49
2024-02-14T00:00:52,22.48,1157.89,26.58,2071.50,0.6511,1485.0971,31.0000,8333.69,7319.13,1.80,1.41,-47.53,-24.36,24.71,24.82,1006.72,-21.92,-11.72
2024-02-14T00:00:57,22.21,1158.29,26.54,2072.35,0.6537,1491.1685,31.0000,8306.90,7295.09,1.69,1.33,-41.21,-21.12,24.49,24.80,1006.72,-38.61,-20.64
2024-02-14T00:01:02,22.05,1158.37,26.54,2072.67,0.6526,1488.7749,31.0000,8313.05,7299.90,1.57,1.24,-8.88,-4.55,24.48,24.77,1006.70,-4.36,-2.33
2024-02-14T00:01:07,22.11,1158.17,26.47,2072.36,0.6546,1493.2635,31.0000,8305.06,7292.69,1.53,1.20,-2.56,-1.31,24.76,24.76,1006.69,-3.48,-1.86
2024-02-14T00:01:12,22.47,1158.17,26.45,2072.48,0.6530,1489.8515,31.0000,8311.02,7297.50,1.62,1.27,-2.56,-1.31,25.06,24.74,1006.68,13.21,7.06
2024-02-14T00:01:17,22.78,1158.22,26.45,2072.68,0.6531,1490.1008,31.0000,8303.25,7290.29,1.71,1.34,3.79,1.94,25.48,24.72,1006.67,-3.48,-1.86
2024-02-14T00:01:22,23.27,1158.20,26.42,2072.82,0.6520,1487.6708,31.0000,8262.90,7254.23,1.82,1.43,10.13,5.19,25.96,24.70,1006.69,22.00,11.76
2024-02-14T00:01:27,23.73,1157.87,26.38,2072.36,0.6505,1484.3152,31.0000,8249.70,7242.21,1.78,1.39,9.49,4.86,26.51,24.68,1006.68,-11.40,-6.09
2024-02-14T00:01:32,24.27,1158.31,26.35,2073.21,0.6486,1479.9935,31.0000,8241.70,7235.00,1.64,1.28,35.49,18.18,27.20,24.67,1006.67,14.09,7.53
2024-02-14T00:01:37,24.74,1158.46,26.32,2073.65,0.6470,1476.5611,31.0000,8302.69,7287.88,1.43,1.11,-10.80,-5.53,27.73,24.65,1006.70,39.58,21.15
2024-02-14T00:01:42,25.26,1157.82,26.32,2072.45,0.6452,1472.2976,31.0000,8288.74,7275.86,1.33,1.03,9.49,4.86,28.17,24.65,1006.67,-53.58,-28.63
2024-02-14T00:01:47,25.55,1158.14,26.31,2073.04,0.6435,1468.5433,31.0000,8275.15,7263.85,1.25,0.97,3.16,1.62,28.35,24.64,1006.64,5.31,2.84
2024-02-14T00:01:52,25.68,1158.41,26.30,2073.60,0.6440,1469.7727,31.0000,8275.45,7263.85,1.23,0.95,22.80,11.68,28.46,24.63,1006.65,13.21,7.06
2024-02-14T00:01:57,25.56,1158.77,26.26,2074.36,0.6419,1464.9996,31.0000,8281.33,7268.65,1.23,0.95,3.79,1.94,28.35,24.62,1006.66,4.44,2.37
2024-02-14T00:02:02,25.37,1158.36,26.23,2073.68,0.6406,1462.1178,30.0000,8237.82,7230.20,1.24,0.95,-27.92,-14.30,28.08,24.60,1006.63,-21.05,-11.25
2024-02-14T00:02:07,24.89,1158.33,26.20,2073.77,0.6415,1464.2060,31.0000,8221.92,7215.78,1.27,0.98,-41.86,-21.44,27.44,24.59,1006.66,4.44,2.37
2024-02-14T00:02:12,24.45,1158.18,26.20,2073.53,0.6421,1465.7402,31.0000,8268.61,7256.64,1.24,0.95,-21.58,-11.05,26.87,24.58,1006.64,-13.16,-7.03
2024-02-14T00:02:17,24.04,1157.94,26.16,2073.19,0.6441,1470.1620,31.0000,8214.13,7208.56,1.14,0.87,-27.92,-14.30,26.41,24.57,1006.65,-29.85,-15.95
2024-02-14T00:02:22,23.59,1158.82,26.16,2074.90,0.6451,1472.5707,30.0000,8214.74,7208.56,1.07,0.82,-8.89,-4.55,25.92,24.55,1006.66,-21.06,-11.25
2024-02-14T00:02:27,23.14,1158.95,26.11,2075.19,0.6460,1474.6659,31.0000,8242.31,7232.60,1.02,0.78,-15.88,-8.13,25.75,24.55,1006.68,-12.28,-6.56
2024-02-14T00:02:32,23.03,1159.22,26.10,2075.70,0.6473,1477.6681,31.0000,8217.81,7210.97,1.18,0.90,-22.21,-11.37,25.63,24.54,1006.66,-21.06,-11.25
2024-02-14T00:02:37,23.06,1159.03,26.08,2075.42,0.6481,1479.6144,31.0000,8209.74,7203.76,1.20,0.92,-3.18,-1.63,25.61,24.53,1006.65,-3.48,-1.86
2024-02-14T00:02:42,23.30,1158.25,26.07,2074.13,0.6470,1477.1927,30.0000,8207.47,7201.35,1.28,0.98,-15.88,-8.13,25.85,24.52,1006.67,-3.48,-1.86
2024-02-14T00:02:47,23.40,1158.24,26.03,2074.12,0.6462,1475.2483,30.0000,8177.34,7174.92,1.24,0.95,3.79,1.94,26.08,24.52,1006.67,-3.48,-1.86
2024-02-14T00:02:52,23.75,1158.19,26.04,2074.07,0.6459,1474.6458,30.0000,8188.46,7184.53,1.08,0.83,22.81,11.68,26.46,24.51,1006.66,30.82,16.46
2024-02-14T00:02:57,24.09,1159.50,26.00,2076.42,0.6448,1472.1601,30.0000,8204.96,7198.95,0.96,0.73,16.47,8.43,26.80,24.51,1006.66,6.20,3.31
2024-02-14T00:03:02,24.43,1159.35,26.00,2076.25,0.6441,1470.6945,30.0000,8175.18,7172.51,0.83,0.64,16.47,8.43,27.20,24.50,1006.67,30.82,16.46
2024-02-14T00:03:07,24.82,1160.00,26.00,2077.40,0.6429,1467.8640,30.0000,8197.08,7191.74,1.01,0.78,36.13,18.50,27.65,24.50,1006.67,14.10,7.53
2024-02-14T00:03:12,25.13,1159.83,25.99,2077.11,0.6421,1466.1150,30.0000,8134.12,7136.46,1.13,0.86,16.47,8.43,27.98,24.49,1006.64,14.10,7.53
2024-02-14T00:03:17,25.35,1159.76,25.97,2076.99,0.6411,1463.9074,30.0000,8049.20,7061.95,1.21,0.93,43.11,22.07,28.13,24.50,1006.68,38.72,20.68
2024-02-14T00:03:22,25.48,1159.92,25.99,2077.26,0.6408,1463.1475,30.0000,8027.20,7042.72,1.20,0.91,24.08,12.33,28.18,24.50,1006.67,46.64,24.91
2024-02-14T00:03:27,25.41,1159.85,25.93,2077.20,0.6397,1460.7118,30.0000,8071.32,7081.18,1.29,0.98,-8.89,-4.55,28.09,24.50,1006.70,4.44,2.37
2024-02-14T00:03:32,25.27,1159.94,25.92,2077.36,0.6400,1461.2488,30.0000,8019.23,7035.51,1.29,0.98,17.11,8.76,27.76,24.50,1006.70,12.34,6.59
2024-02-14T00:03:37,24.86,1159.19,25.92,2075.95,0.6393,1459.7374,30.0000,8073.78,7083.58,1.25,0.95,-21.58,-11.05,27.48,24.50,1006.67,3.56,1.90
2024-02-14T00:03:42,24.54,1158.62,25.92,2074.93,0.6403,1462.0674,30.0000,8068.28,7078.77,1.16,0.88,11.41,5.84,27.12,24.50,1006.67,21.14,11.29
2024-02-14T00:03:47,24.45,1157.79,25.90,2073.38,0.6401,1461.3660,30.0000,8090.00,7098.00,1.04,0.79,-20.31,-10.40,26.83,24.50,1006.64,-13.16,-7.03
2024-02-14T00:03:52,24.02,1157.61,25.90,2073.17,0.6405,1462.3702,30.0000,8052.03,7064.35,1.06,0.81,-7.64,-3.91,26.44,24.50,1006.69,12.34,6.59
2024-02-14T00:03:57,23.77,1157.70,25.89,2073.29,0.6416,1464.9956,30.0000,8060.10,7071.56,1.28,0.97,18.38,9.41,26.29,24.50,1006.67,-4.36,-2.33
2024-02-14T00:04:02,23.68,1158.02,25.89,2073.84,0.6430,1468.0261,30.0000,8051.82,7064.35,1.39,1.06,10.76,5.51,26.20,24.50,1006.66,3.56,1.90
2024-02-14T00:04:07,23.76,1158.00,25.87,2073.79,0.6433,1468.8195,30.0000,8043.56,7057.14,1.48,1.12,43.11,22.07,26.25,24.50,1006.66,21.14,11.29
2024-02-14T00:04:12,23.80,1158.90,25.86,2075.39,0.6426,1467.0812,30.0000,8018.80,7035.51,1.54,1.17,30.43,15.58,26.31,24.50,1006.64,29.94,15.99
2024-02-14T00:04:17,23.89,1158.76,25.87,2075.07,0.6433,1468.7612,30.0000,8026.77,7042.72,1.55,1.18,43.75,22.40,26.45,24.51,1006.65,13.22,7.06
2024-02-14T00:04:22,24.17,1158.78,25.87,2075.05,0.6413,1464.1763,30.0000,8053.98,7066.76,1.72,1.31,36.78,18.83,26.77,24.51,1006.62,29.93,15.99
2024-02-14T00:04:27,24.46,1159.17,25.86,2075.70,0.6417,1465.0454,30.0000,8001.75,7021.09,1.64,1.25,43.10,22.07,27.05,24.52,1006.64,47.51,25.38
2024-02-14T00:04:32,24.80,1160.27,25.86,2077.65,0.6415,1464.5375,30.0000,8042.69,7057.14,1.60,1.22,17.73,9.08,27.37,24.52,1006.62,29.93,15.99
2024-02-14T00:04:37,25.05,1160.63,25.86,2078.18,0.6393,1459.4290,30.0000,7984.79,7006.67,1.51,1.16,43.10,22.07,27.65,24.54,1006.64,29.93,15.99
2024-02-14T00:04:42,25.21,1160.78,25.84,2078.36,0.6381,1456.7153,30.0000,8011.82,7030.70,1.50,1.15,23.45,12.01,27.78,24.55,1006.63,13.22,7.06
2024-02-14T00:04:47,25.31,1160.99,25.86,2078.73,0.6379,1456.1932,30.0000,8050.15,7064.35,1.36,1.04,3.79,1.94,27.82,24.55,1006.62,22.01,11.76
2024-02-14T00:04:52,25.40,1160.78,25.86,2078.30,0.6367,1453.4901,30.0000,7984.22,7006.67,1.36,1.04,4.41,2.26,27.74,24.56,1006.63,4.44,2.37
2024-02-14T00:04:57,25.03,1160.82,25.83,2078.33,0.6376,1455.3661,30.0000,8008.66,7028.30,1.32,1.01,30.42,15.58,27.57,24.57,1006.64,29.93,15.99
2024-02-14T00:05:02,24.94,1160.35,25.83,2077.35,0.6383,1456.9374,30.0000,8021.83,7040.32,1.15,0.88,17.73,9.08,27.41,24.59,1006.64,13.21,7.06
2024-02-14T00:05:07,24.76,1160.61,25.86,2077.68,0.6377,1455.3454,30.0000,8018.60,7037.91,0.90,0.69,-1.29,-0.66,27.24,24.60,1006.62,4.44,2.37
2024-02-14T00:05:12,24.46,1160.11,25.84,2076.78,0.6382,1456.6841,30.0000,8021.32,7040.32,0.79,0.61,30.42,15.58,27.01,24.61,1006.65,4.44,2.37
2024-02-14T00:05:17,24.14,1160.77,25.86,2077.83,0.6382,1456.3979,30.0000,8026.31,7045.12,0.81,0.62,-1.29,-0.66,26.71,24.62,1006.62,13.21,7.06
2024-02-14T00:05:22,24.04,1160.85,25.86,2077.98,0.6393,1459.1038,30.0000,8009.88,7030.70,0.75,0.57,43.09,22.07,26.54,24.63,1006.65,21.13,11.29
2024-02-14T00:05:27,24.02,1161.47,25.87,2079.06,0.6406,1461.9567,30.0000,8028.95,7047.53,0.80,0.61,29.77,15.25,26.50,24.64,1006.67,5.31,2.84
2024-02-14T00:05:32,24.11,1161.45,25.86,2078.87,0.6399,1460.1547,30.0000,7981.78,7006.67,1.32,1.01,30.41,15.58,26.50,24.65,1006.63,13.21,7.06
2024-02-14T00:05:37,24.17,1161.89,25.87,2079.67,0.6387,1457.4205,30.0000,8011.98,7033.11,1.65,1.26,23.45,12.01,26.59,24.66,1006.67,13.21,7.06
2024-02-14T00:05:42,24.27,1161.78,25.87,2079.33,0.6382,1456.2823,30.0000,7986.74,7011.47,1.52,1.17,36.76,18.83,26.73,24.68,1006.67,22.00,11.76
2024-02-14T00:05:47,24.45,1161.91,25.89,2079.42,0.6397,1459.7151,30.0000,8010.88,7033.11,1.40,1.07,17.10,8.76,26.94,24.70,1006.67,13.21,7.06
2024-02-14T00:05:52,24.60,1162.00,25.89,2079.43,0.6387,1457.1560,30.0000,7993.87,7018.69,1.47,1.13,36.11,18.50,27.17,24.71,1006.63,30.79,16.46
