row,date,period,PM01,PM02.5,PM10
1,2024-02-14 11:50:00,incense1,51.6447828262738,53.1816791529387,59.3954043326815
2,2024-02-14 11:55:00,incense1,52.2376713903412,53.6484099403054,57.8213398567316
3,2024-02-14 12:00:00,incense1,49.4450268144586,50.6093876586478,54.3458598647792
4,2024-02-14 12:05:00,incense1,42.4555040975497,43.5479387190245,45.6609902146571
5,2024-02-14 12:10:00,incense1,38.8660670517009,39.9960159052494,41.5021665412031
6,2024-02-14 12:15:00,incense1,34.3242555413998,35.1857289576852,36.2082229374945
7,2024-02-14 12:20:00,incense1,32.0399284350875,32.9196304535824,33.7752521201741
8,2024-02-14 12:25:00,incense1,28.6137152045968,29.5422280318784,31.6983704643666
9,2024-02-14 12:30:00,incense1,38.4959745392234,39.4576081083773,42.0895048197144
10,2024-02-14 12:35:00,incense1,61.9672889176927,62.7312491591923,63.9903814774998
11,2024-02-14 12:40:00,incense1,67.8380945115691,68.6752152407105,69.6634471468992
12,2024-02-14 12:45:00,incense1,57.9508297782781,58.7109605013638,59.5024100649439
13,2024-02-14 12:50:00,incense1,49.7665914550715,50.440373205836,51.2419510604203
14,2024-02-14 12:55:00,incense1,45.6355487181125,46.3643609400532,46.9930440216112
15,2024-02-14 13:00:00,incense1,39.4593539576179,40.1357293010799,40.767208076405
16,2024-02-14 13:05:00,incense1,181.021934857654,188.768565772918,191.171883366421
17,2024-02-14 13:10:00,incense1,121.753659417244,126.102866739633,127.523769865545
18,2024-02-14 13:15:00,incense1,83.6335137124093,86.2403812978466,87.0866597140047
19,2024-02-14 13:20:00,incense1,59.5808710289514,61.4553288648618,62.1570835200065
20,2024-02-14 13:25:00,incense1,42.877313579465,44.2162605184701,44.8663580854707
21,2024-02-14 13:30:00,incense1,35.67977681632,36.8544673868713,37.48602665005
22,2024-02-14 13:35:00,incense1,28.447770511662,29.2999890952914,29.9029976820973
23,2024-02-14 13:40:00,incense1,24.5395209915806,25.281092954488,25.9535264977528
24,2024-02-14 13:45:00,incense1,19.1230523176926,19.8806373749981,20.4904637553898
25,2024-02-14 13:50:00,incense1,14.3104261356809,14.9860585813209,15.7012470092196
26,2024-02-14 13:55:00,incense1,9.88887509048555,10.6146577213438,11.2037609980588
27,2024-02-14 14:00:00,incense1,6.66950187755224,7.27210036954923,7.91802966116242
28,2024-02-14 14:05:00,incense1,4.71333151603631,5.31899421245802,5.93230815621724
29,2024-02-14 14:10:00,incense1,4.40856716917446,5.38466876137191,7.35456867644621
30,2024-02-14 14:15:00,incense1,122.318763235155,124.136177761076,131.023006223933
31,2024-02-14 14:20:00,incense1,162.327442515817,165.392179958215,170.519373493209
32,2024-02-14 14:25:00,incense1,219.685973476294,224.037862377708,228.321710883245
33,2024-02-14 14:30:00,incense1,128.793411780661,131.691801301857,134.138471083258
34,2024-02-14 14:35:00,incense1,100.223948114229,102.635093772386,104.056825602582
35,2024-02-14 14:40:00,incense1,83.7891725981604,85.6782234261034,86.53265004688
36,2024-02-14 14:45:00,incense1,68.0903563012162,69.3186580951604,69.8264039536668
37,2024-02-14 14:50:00,incense1,47.5895491121416,48.4137908322782,48.7590818676308
38,2024-02-14 14:55:00,incense1,31.7613849759879,32.3498136144601,32.7319534776395
39,2024-02-14 15:00:00,incense1,22.1281172054578,22.556409805521,23.2786594046761
40,2024-02-14 15:05:00,incense1,13.4705680965392,13.8836934833483,14.2668642157406
41,2024-02-14 15:10:00,incense1,13.3380135639136,13.7432959132026,14.1733206893701
42,2024-02-14 15:15:00,incense1,13.7542756075642,14.1738217003981,14.6928885363665
43,2024-02-14 15:20:00,incense1,12.6832868028501,13.1064977617608,13.6661861138629
44,2024-02-16 10:15:00,incense2,251.406127436708,255.684721985891,354.354586822539
45,2024-02-16 10:20:00,incense2,240.794921250473,244.736367443966,271.034757258719
46,2024-02-16 10:25:00,incense2,285.47987597941,289.739152725556,302.041873764862
47,2024-02-16 10:30:00,incense2,303.551437576176,309.784046534742,316.170610025582
48,2024-02-16 10:35:00,incense2,288.726490733324,302.465250513361,306.925021750136
49,2024-02-16 10:40:00,incense2,179.434252447278,187.840017523789,208.865588337497
50,2024-02-16 10:45:00,incense2,134.263478337281,140.326392808753,172.02865240105
51,2024-02-16 10:50:00,incense2,148.573127021357,153.654111087721,163.789015124681
52,2024-02-16 10:55:00,incense2,156.583795792324,161.136851339611,163.648191602285
53,2024-02-16 11:00:00,incense2,167.533084466124,172.733458078968,176.23682456774
54,2024-02-16 11:05:00,incense2,202.135501609164,206.533731864442,211.26113203994
55,2024-02-16 11:10:00,incense2,211.470498555978,214.469656195882,217.626443846264
56,2024-02-16 11:15:00,incense2,208.102132352588,210.629166974607,213.66714706444
57,2024-02-16 11:20:00,incense2,211.044744439718,213.414877539185,213.573498581414
58,2024-02-16 11:25:00,incense2,195.293067641324,197.044280810693,205.663512589847
59,2024-02-16 11:30:00,incense2,173.446283659703,175.236303366884,182.967227340388
60,2024-02-16 11:35:00,incense2,232.673535629553,239.454626703486,240.865070025604
61,2024-02-16 11:40:00,incense2,93.3578358302212,94.997550182918,95.1159254715082
62,2024-02-16 11:45:00,incense2,37.4602921097741,38.4258903066056,38.5925368638062
63,2024-02-16 11:50:00,incense2,15.2262894518085,15.6357867125884,15.6758554011267
64,2024-02-16 11:55:00,incense2,6.47649662468285,6.85813984339868,14.2191312297186
65,2024-02-16 12:00:00,incense2,48.288606522398,49.7514288794041,65.9111547947747
66,2024-02-16 12:05:00,incense2,149.103580036652,150.802111025411,153.886312778056
