Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330173703
Firmware Version,1.4
Calibration Date,2021/08/11
Protocol Name_Number,ed-new_096
Test Start Time,09:24:31
Test Start Date,2024/02/29
Test Length [D:H:M:S],0:0:43:30
Sample Interval [H:M:S],0:0:10
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.070
DeadTime Correction Factor,1.000
Errors,
Number of Samples,261
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
10,239,232,149,45,31,25,4,5,1,0,0,0,0,0,0,0,0,0.005444,35.472,0.000,100.513,,,
20,239,201,140,60,39,18,14,8,0,0,0,0,0,0,0,0,0,0.005631,35.472,0.000,100.523,,,
30,252,204,148,42,27,17,10,6,0,0,0,0,0,0,0,0,0,0.005288,35.472,0.000,100.523,,,
40,286,212,160,53,43,17,8,8,1,1,0,0,0,0,0,0,0,0.005950,35.472,0.000,100.516,,,
50,268,226,130,61,27,24,9,5,1,0,0,0,0,0,0,0,0,0.005697,35.472,0.000,100.519,,,
60,255,195,135,59,34,20,5,3,0,0,0,0,0,0,0,0,0,0.005364,35.472,0.000,100.526,,,
70,297,230,128,53,30,18,4,7,1,0,0,0,0,0,0,0,0,0.005714,35.472,0.000,100.513,,,
80,268,210,142,68,50,17,13,3,2,0,0,0,0,0,0,0,0,0.005898,35.472,0.000,100.516,,,
90,261,222,148,54,37,19,5,7,1,0,0,0,0,0,0,0,0,0.005780,35.472,0.000,100.516,,,
100,316,201,117,44,26,14,11,6,1,1,1,0,0,0,0,0,0,0.005361,35.472,0.000,100.519,,,
110,353,213,112,43,47,18,4,5,6,4,2,3,0,0,0,0,1,0.005996,35.472,0.000,100.510,,,
120,387,193,113,44,38,13,6,7,3,2,0,2,1,1,0,1,0,0.005681,35.472,0.000,100.519,,,
130,436,208,97,42,23,13,7,6,1,3,3,1,2,2,0,0,0,0.006010,35.472,0.000,100.523,,,
140,450,193,129,33,18,16,9,7,3,6,5,0,5,2,1,1,1,0.006198,35.472,0.000,100.526,,,
150,439,174,96,30,18,16,5,6,6,6,2,3,1,1,0,0,0,0.005589,35.472,0.000,100.519,,,
160,471,194,87,34,23,22,5,2,8,5,4,2,1,0,0,0,0,0.005890,35.472,0.000,100.523,,,
170,505,198,91,29,14,16,6,9,4,3,1,2,0,1,0,0,0,0.005981,35.472,0.000,100.516,,,
180,501,201,83,31,16,7,8,5,4,2,3,2,3,0,0,0,0,0.005923,35.472,0.000,100.529,,,
190,482,201,87,30,22,18,12,9,5,2,3,2,7,0,0,1,0,0.006103,35.472,0.000,100.516,,,
200,524,213,71,43,18,15,6,7,5,4,2,2,2,0,1,0,0,0.006183,35.472,0.000,100.513,,,
210,516,201,80,34,22,14,10,6,7,4,2,3,1,1,0,0,0,0.006177,35.472,0.000,100.519,,,
220,572,179,62,31,22,25,7,12,11,4,2,2,0,1,1,0,0,0.006257,35.472,0.000,100.513,,,
230,575,205,78,26,26,18,10,5,4,5,4,3,1,1,0,0,0,0.006481,35.472,0.000,100.523,,,
240,558,200,86,27,12,21,5,11,5,7,0,8,0,2,0,0,1,0.006336,35.472,0.000,100.510,,,
250,558,218,70,26,18,17,8,6,5,2,3,4,1,1,0,0,0,0.006259,35.472,0.000,100.526,,,
260,591,214,76,22,12,21,10,3,4,3,5,3,3,0,0,0,0,0.006514,35.472,0.000,100.529,,,
270,576,194,73,24,11,9,3,11,2,6,3,3,1,0,0,0,0,0.006059,35.472,0.000,100.507,,,
280,616,192,64,24,21,18,5,8,5,2,3,2,2,2,0,0,2,0.006395,35.472,0.000,100.523,,,
290,608,202,94,26,25,13,14,5,5,8,7,7,4,1,1,0,0,0.006993,35.472,0.000,100.526,,,
300,627,207,62,19,16,21,10,9,3,4,6,3,3,0,0,0,0,0.006561,35.472,0.000,100.510,,,
310,657,194,77,24,18,18,11,15,3,5,3,2,0,1,0,1,2,0.006761,35.472,0.000,100.523,,,
320,700,218,63,26,20,17,10,4,3,9,5,4,6,1,1,0,1,0.007251,35.472,0.000,100.519,,,
330,823,259,99,27,16,12,7,9,8,7,3,2,0,1,0,0,1,0.008399,35.472,0.000,100.516,,,
340,945,296,90,28,18,14,7,7,6,8,1,2,2,2,1,0,0,0.009258,35.472,0.000,100.519,,,
350,1218,429,107,33,30,28,11,7,6,8,4,2,3,3,3,0,1,0.012455,35.472,0.000,100.510,,,
360,1645,494,125,36,39,19,15,12,10,10,7,6,4,3,2,2,1,0.015662,35.472,0.000,100.516,,,
370,1804,603,182,51,20,22,17,16,7,11,6,1,2,1,1,2,3,0.017748,35.472,0.000,100.513,,,
380,2133,667,179,52,25,35,22,23,12,14,9,7,6,0,2,1,6,0.020798,35.472,0.000,100.519,,,
390,2417,780,210,51,33,24,16,16,12,7,5,5,5,4,2,0,6,0.023332,35.472,0.000,100.513,,,
400,2556,833,211,54,30,26,12,13,11,9,14,4,5,2,1,1,1,0.024465,35.472,0.000,100.516,,,
410,2823,911,232,48,25,27,16,23,8,5,9,7,6,1,1,0,0,0.026776,35.472,0.000,100.510,,,
420,3010,949,265,47,18,20,14,23,19,11,4,2,3,1,1,3,2,0.028150,35.472,0.000,100.513,,,
430,3141,1038,265,52,34,21,14,21,10,10,8,7,4,1,0,0,1,0.029869,35.472,0.000,100.519,,,
440,3413,1161,247,64,29,16,9,12,6,10,13,6,0,1,0,0,0,0.031983,35.472,0.000,100.516,,,
450,3753,1238,275,56,28,29,13,11,10,7,10,1,5,3,0,0,0,0.034879,35.466,0.000,100.513,,,
460,3959,1295,327,59,28,20,13,17,13,15,8,4,4,1,0,0,2,0.037088,35.455,0.000,100.507,,,
