Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330173703
Firmware Version,1.4
Calibration Date,2021/08/11
Protocol Name_Number,ed-10s-2d_101
Test Start Time,08:11:31
Test Start Date,2024/02/14
Test Length [D:H:M:S],1:0:0:0
Sample Interval [H:M:S],0:0:10
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.070
DeadTime Correction Factor,1.000
Errors,
Number of Samples,8640
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
10,380,81,30,6,3,3,4,3,1,3,1,1,2,0,0,2,2,0.003351,27.014,0.000,100.413,,,
20,463,83,22,13,9,5,4,3,3,3,3,3,1,3,1,1,4,0.003978,27.149,0.000,100.423,,,
30,542,108,38,10,9,5,4,2,2,4,3,2,2,0,0,1,1,0.004786,27.226,0.000,100.416,,,
40,526,100,28,14,8,11,1,10,16,8,7,4,3,3,1,0,2,0.005022,27.277,0.000,100.420,,,
50,522,119,37,17,11,18,8,21,22,15,8,5,3,0,1,0,0,0.005463,27.305,0.000,100.410,,,
60,604,129,50,10,15,30,17,59,52,33,30,15,6,1,3,0,0,0.007495,27.316,0.000,100.416,,,
70,635,148,48,18,27,30,23,66,73,37,37,27,10,0,0,0,0,0.008434,27.344,0.000,100.413,,,
80,651,142,45,8,6,11,13,18,16,20,6,6,1,0,0,0,0,0.006330,27.351,0.000,100.404,,,
90,645,120,41,17,7,8,3,3,1,2,4,2,0,0,1,0,0,0.005446,27.361,0.000,100.407,,,
100,593,119,45,10,2,3,6,2,3,0,2,0,0,0,0,0,0,0.004936,27.368,0.000,100.404,,,
110,445,115,48,10,6,11,2,6,7,1,6,0,2,1,0,0,1,0.004437,27.386,0.000,100.416,,,
120,373,264,139,51,28,20,6,5,2,1,0,1,0,0,0,0,0,0.006777,27.309,0.000,100.413,,,
130,394,283,157,63,18,9,4,6,6,1,1,0,0,0,0,0,0,0.007174,27.186,0.000,100.416,,,
140,413,288,144,48,30,23,7,7,5,1,0,1,0,0,0,0,0,0.007335,27.105,0.000,100.413,,,
150,411,256,113,53,31,19,3,2,3,1,1,2,2,2,4,0,2,0.006850,27.056,0.000,100.413,,,
160,348,112,38,12,11,6,4,6,3,2,0,4,0,0,0,0,0,0.003703,27.051,0.000,100.413,,,
170,361,105,32,18,12,5,3,3,1,1,0,0,1,0,0,0,0,0.003605,27.044,0.000,100.420,,,
180,372,91,39,13,9,5,5,4,4,3,3,1,0,1,1,0,0,0.003711,27.053,0.000,100.420,,,
190,396,100,28,11,14,8,1,5,3,5,3,1,2,1,1,0,0,0.003840,27.081,0.000,100.413,,,
200,348,115,41,14,13,7,9,8,3,1,0,0,0,1,0,0,0,0.003810,27.107,0.000,100.423,,,
210,384,129,32,15,11,12,6,4,2,3,0,4,0,0,0,0,0,0.004069,27.146,0.000,100.423,,,
220,363,102,33,15,6,9,5,5,1,2,1,1,0,0,0,0,1,0.003540,27.179,0.000,100.435,,,
230,379,112,47,21,10,5,8,6,4,4,2,2,0,0,0,0,1,0.004030,27.221,0.000,100.423,,,
240,405,96,32,12,4,6,5,5,2,2,1,0,0,0,0,0,2,0.003727,27.260,0.000,100.420,,,
250,387,114,39,12,7,10,4,4,2,1,3,2,1,0,0,0,0,0.003872,27.305,0.000,100.420,,,
260,431,131,46,19,14,6,6,2,2,4,2,0,1,0,0,0,0,0.004482,27.337,0.000,100.420,,,
270,417,115,49,11,12,11,6,6,2,2,3,0,0,1,0,0,0,0.004316,27.377,0.000,100.416,,,
280,396,112,47,20,12,11,4,5,1,0,1,0,0,0,0,0,0,0.004063,27.412,0.000,100.413,,,
290,387,108,40,8,8,11,8,8,3,1,2,3,0,0,0,1,1,0.003971,27.442,0.000,100.416,,,
300,390,108,44,17,9,8,4,3,1,3,1,1,0,1,0,0,2,0.003963,27.468,0.000,100.416,,,
310,361,104,37,11,8,8,3,6,3,2,1,3,2,0,0,1,0,0.003717,27.519,0.000,100.426,,,
320,426,93,30,12,13,6,7,4,5,0,0,1,0,0,1,0,0,0.003879,27.551,0.000,100.420,,,
330,399,103,38,8,10,11,8,2,3,1,1,0,0,0,0,0,0,0.003778,27.579,0.000,100.429,,,
340,401,105,38,15,4,8,2,4,1,5,1,1,0,0,1,0,0,0.003811,27.618,0.000,100.423,,,
350,408,88,35,7,9,6,5,3,0,2,0,1,0,0,0,0,0,0.003542,27.654,0.000,100.426,,,
360,378,100,35,11,13,9,4,5,5,1,1,1,1,0,0,1,0,0.003690,27.688,0.000,100.426,,,
370,370,102,47,19,4,4,4,7,2,1,0,0,0,0,0,1,0,0.003592,27.714,0.000,100.416,,,
380,367,98,37,12,13,13,3,4,3,3,2,1,2,0,0,1,0,0.003672,27.747,0.000,100.420,,,
390,357,107,36,12,4,6,2,4,3,4,0,1,2,1,1,0,0,0.003576,27.768,0.000,100.429,,,
400,376,102,40,10,20,9,4,7,2,4,2,3,1,0,0,0,0,0.003813,27.804,0.000,100.420,,,
410,387,111,47,15,14,7,3,7,3,2,4,0,1,2,0,0,0,0.003954,27.828,0.000,100.423,,,
420,394,127,30,12,9,11,4,7,4,2,2,4,0,1,0,0,0,0.003927,27.861,0.000,100.420,,,
430,372,113,33,8,7,6,3,4,6,3,2,1,1,1,0,0,0,0.003593,27.888,0.000,100.420,,,
440,383,94,45,9,11,8,4,5,0,2,1,1,1,0,0,1,0,0.003694,27.914,0.000,100.416,,,
450,310,101,20,21,10,5,6,10,4,2,4,3,2,1,0,0,1,0.003339,27.937,0.000,100.420,,,
460,386,97,29,14,4,4,2,3,4,1,4,2,0,0,0,0,1,0.003539,27.967,0.000,100.404,,,
470,344,77,25,6,6,6,3,5,3,2,4,0,0,1,0,0,0,0.003051,27.982,0.000,100.416,,,
480,350,92,32,14,5,4,6,4,6,1,2,1,1,0,0,0,0,0.003437,28.021,0.000,100.420,,,
490,335,85,24,10,7,7,3,3,2,3,1,2,1,0,0,0,0,0.003158,28.053,0.000,100.423,,,
500,395,103,20,13,5,10,3,3,2,3,2,1,0,1,0,1,1,0.003609,28.070,0.000,100.420,,,
510,344,78,33,13,9,13,5,2,3,2,5,0,0,1,0,0,0,0.003245,28.102,0.000,100.416,,,
520,335,78,42,11,9,7,5,4,2,3,2,1,0,0,0,1,0,0.003314,28.119,0.000,100.416,,,
530,356,94,28,10,5,5,4,6,1,0,0,1,1,2,0,0,0,0.003327,28.154,0.000,100.420,,,
540,354,77,41,16,10,10,3,7,1,3,0,1,1,0,0,0,0,0.003473,28.174,0.000,100.423,,,
550,314,91,33,14,4,3,7,4,2,2,3,1,3,3,0,1,0,0.003202,28.207,0.000,100.420,,,
560,322,82,30,13,7,9,3,3,3,2,1,0,0,0,0,1,1,0.003093,28.226,0.000,100.420,,,
570,324,85,28,8,3,9,3,5,3,3,4,2,2,0,0,0,1,0.003116,28.256,0.000,100.416,,,
580,347,80,31,12,8,9,7,4,0,1,0,0,1,0,1,0,0,0.003224,28.274,0.000,100.416,,,
590,388,72,31,17,4,9,6,5,3,2,2,0,0,0,0,1,2,0.003550,28.298,0.000,100.420,,,
600,318,89,22,12,6,7,1,2,2,1,2,0,0,0,0,0,0,0.002967,28.321,0.000,100.410,,,
610,380,103,36,13,8,7,5,2,2,4,0,2,1,0,1,0,2,0.003715,28.340,0.000,100.426,,,
620,358,84,34,9,8,3,5,3,1,0,2,2,2,0,0,0,1,0.003405,28.372,0.000,100.404,,,
630,355,82,47,7,8,7,2,2,2,2,2,2,1,0,0,0,0,0.003385,28.386,0.000,100.416,,,
640,340,78,28,8,8,7,2,2,2,1,3,2,0,0,0,0,0,0.003028,28.414,0.000,100.435,,,
650,319,88,27,8,4,5,2,6,2,4,0,0,0,1,0,0,0,0.003024,28.437,0.000,100.410,,,
660,344,85,19,6,4,4,3,4,3,0,0,0,1,2,0,0,1,0.003005,28.463,0.000,100.413,,,
670,350,77,39,9,7,6,5,9,3,0,1,1,1,0,2,0,2,0.003442,28.488,0.000,100.404,,,
680,315,97,27,13,6,6,4,6,3,0,2,0,0,0,0,1,0,0.003175,28.512,0.000,100.413,,,
690,335,103,40,12,10,11,2,5,1,2,0,0,0,0,0,0,0,0.003481,28.544,0.000,100.407,,,
700,338,87,24,4,3,7,6,4,2,2,3,1,1,0,0,1,0,0.003071,28.567,0.000,100.416,,,
710,351,99,26,8,13,8,4,4,1,0,0,0,2,0,0,0,0,0.003315,28.579,0.000,100.423,,,
720,357,58,25,10,6,5,5,1,2,3,1,0,2,0,0,0,0,0.002970,28.611,0.000,100.423,,,
730,386,92,34,14,7,7,4,4,4,1,2,2,0,0,0,0,1,0.003620,28.621,0.000,100.426,,,
740,344,80,35,17,10,3,2,4,1,1,4,3,1,1,0,0,0,0.003279,28.646,0.000,100.420,,,
750,368,84,29,17,11,7,3,4,0,3,1,0,3,1,1,0,0,0.003423,28.668,0.000,100.432,,,
760,340,101,27,10,8,8,1,9,3,1,0,0,0,1,0,0,0,0.003294,28.688,0.000,100.413,,,
770,338,101,35,11,16,6,8,7,4,3,1,1,0,1,0,0,1,0.003607,28.719,0.000,100.410,,,
780,355,94,38,20,5,7,4,10,3,0,0,0,0,2,0,0,0,0.003491,28.733,0.000,100.426,,,
790,336,79,27,10,9,9,4,4,1,2,1,2,0,0,0,0,0,0.003096,28.758,0.000,100.426,,,
800,325,88,31,12,11,5,3,3,3,3,1,0,1,0,2,1,1,0.003236,28.781,0.000,100.413,,,
810,359,94,33,20,7,4,6,7,1,2,1,0,0,0,0,0,0,0.003458,28.796,0.000,100.426,,,
820,326,71,26,11,5,4,2,6,2,3,0,0,0,0,0,0,0,0.002889,28.825,0.000,100.423,,,
830,350,85,29,6,6,3,1,0,2,1,1,3,1,0,1,0,1,0.003152,28.840,0.000,100.420,,,
840,298,79,33,12,8,6,2,4,1,0,2,0,0,0,0,0,0,0.002883,28.863,0.000,100.423,,,
850,321,71,23,6,9,4,4,3,0,1,0,0,1,0,1,0,0,0.002850,28.886,0.000,100.426,,,
860,339,84,27,5,6,5,1,2,0,2,1,0,2,0,0,0,0,0.003021,28.905,0.000,100.423,,,
