"","datetime","PM1","PM2.5","PM10"
"1",2024-02-28 12:00:00,0.656652972075199,1.20773562499317,1.3721324639833
"2",2024-02-28 12:05:00,0.577216532287613,1.22629626991907,1.50101615025668
"3",2024-02-28 12:10:00,24.8715252820741,26.0131620797308,26.7638614086447
"4",2024-02-28 12:15:00,47.9013152605814,49.1697224325125,50.2184245340928
"5",2024-02-28 12:20:00,28.1260319839241,29.3708773448159,30.0924013378516
"6",2024-02-28 12:25:00,12.2830753837354,13.244137280262,21.3517786746703
"7",2024-02-28 12:30:00,7.71977321534623,8.8070976005747,14.4324563337038
"8",2024-02-28 12:35:00,9.69828041063085,10.486161442047,13.9497610687849
"9",2024-02-28 12:40:00,8.59582672529162,9.41164221489628,15.1443712305349
"10",2024-02-28 12:45:00,105.049498834171,106.204311966472,110.672227056564
"11",2024-02-28 12:50:00,207.739090856235,210.030410638433,212.918368907397
"12",2024-02-28 12:55:00,344.806694426347,347.733039264103,349.595564567121
"13",2024-02-28 13:00:00,415.62271222589,419.071709442888,420.475809460897
"14",2024-02-28 13:05:00,468.62776806868,471.014402592642,472.268269856797
"15",2024-02-28 13:10:00,516.19556242146,519.213223502554,520.107336165412
"16",2024-02-28 13:15:00,567.201611614676,569.906044578326,570.897458555345
"17",2024-02-28 13:20:00,628.63139476371,631.032895613048,631.752591239905
"18",2024-02-28 13:25:00,663.510401290881,666.278579718102,666.967958188186
"19",2024-02-28 13:30:00,498.635271143997,501.241733821446,504.29442634399
"20",2024-02-28 13:35:00,401.024390094583,402.518514865632,404.922857270883
"21",2024-02-28 13:40:00,246.433345577731,247.358821537981,249.864760489097
"22",2024-02-28 13:45:00,185.159091069657,186.164348487171,187.791632010611
"23",2024-02-28 13:50:00,177.115380869517,178.175579845704,179.157878610258
"24",2024-02-28 13:55:00,153.52589892858,156.044004409551,158.065160943125
"25",2024-02-28 14:00:00,240.350869293012,242.640570773166,244.18165504361
"26",2024-02-28 14:05:00,267.067797731901,269.370513624633,271.292803397017
"27",2024-02-28 14:10:00,329.37503389681,331.902251775598,333.237945434993
"28",2024-02-28 14:15:00,379.450408080058,384.869316877414,385.959805164002
"29",2024-02-28 14:20:00,465.205723352209,476.342595351978,480.117442806242
"30",2024-02-28 14:25:00,549.144039157046,557.452571390612,560.209270436099
"31",2024-02-28 14:30:00,573.523723774357,581.743048090079,583.923173900807
"32",2024-02-28 14:35:00,594.103997677008,600.862062456687,602.444465503444
"33",2024-02-28 14:40:00,621.215867845981,627.514863122862,628.853389638504
"34",2024-02-28 14:45:00,632.76609553258,641.040270490666,645.425421670349
"35",2024-02-28 14:50:00,912.033000017993,927.309624114311,932.133851915259
"36",2024-02-28 14:55:00,933.638005631903,946.898380811318,951.56367977567
"37",2024-02-28 15:00:00,835.879324566813,845.664452957022,851.355778330614
"38",2024-02-28 15:05:00,618.664918925329,624.807034630624,629.29262662728
"39",2024-02-28 15:10:00,671.446942890116,684.6563173428,688.192540092048
"40",2024-02-28 15:15:00,837.478270483935,861.870146485602,865.167761830582
"41",2024-02-28 15:20:00,917.21766524881,938.574040620611,940.903041857463
