timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-07-01T00:00:03,46.26,319.05,31.81,554.25,109.76,57.93,280.62,253.81,4.50,4.50,0.2744,607.8092,37.0000,50.35,30.66,996.71,46.06,25.36
2024-07-01T00:00:08,46.30,319.05,31.81,554.25,55.66,29.38,260.91,235.99,4.62,4.62,0.2745,607.8778,37.0000,50.34,30.66,996.70,53.87,29.66
2024-07-01T00:00:13,46.30,318.78,31.80,553.78,35.47,18.72,251.07,227.08,4.59,4.59,0.2745,608.0270,37.0000,50.33,30.66,996.73,62.46,34.39
2024-07-01T00:00:18,46.30,319.01,31.84,554.19,49.15,25.94,263.39,238.22,4.58,4.58,0.2746,608.1073,37.0000,50.35,30.66,996.73,39.81,21.92
2024-07-01T00:00:23,46.27,318.65,31.84,553.56,69.35,36.60,275.70,249.36,4.40,4.40,0.2745,608.0418,37.0000,50.35,30.66,996.72,53.87,29.66
2024-07-01T00:00:28,46.27,318.31,31.81,552.95,69.34,36.60,273.23,247.13,4.21,4.21,0.2746,608.0751,37.0000,50.34,30.66,996.71,69.48,38.26
2024-07-01T00:00:33,46.28,317.76,31.81,552.01,55.67,29.38,270.77,244.90,3.96,3.96,0.2745,607.8779,37.0000,50.35,30.66,996.71,46.84,25.79
2024-07-01T00:00:38,46.28,317.55,31.81,551.65,55.67,29.38,270.77,244.90,3.79,3.79,0.2745,607.8697,37.0000,50.35,30.66,996.73,62.46,34.39
2024-07-01T00:00:43,46.28,317.59,31.81,551.68,55.66,29.38,275.68,249.36,3.80,3.80,0.2745,607.9670,37.0000,50.34,30.67,996.69,47.62,26.22
2024-07-01T00:00:48,46.26,318.44,31.83,553.18,69.34,36.60,268.30,242.67,3.94,3.94,0.2746,608.1479,37.0000,50.34,30.67,996.74,47.62,26.22
2024-07-01T00:00:53,46.28,318.23,31.83,552.80,42.63,22.50,302.79,273.87,4.16,4.16,0.2745,607.9549,37.0000,50.33,30.67,996.72,63.24,34.82
2024-07-01T00:00:58,46.31,318.22,31.83,552.81,55.67,29.38,275.70,249.36,4.20,4.20,0.2744,607.7805,37.0000,50.32,30.66,996.73,61.68,33.96
2024-07-01T00:01:03,46.30,318.21,31.81,552.78,69.34,36.60,263.38,238.22,4.05,4.05,0.2744,607.7059,37.0000,50.35,30.66,996.70,39.81,21.92
2024-07-01T00:01:08,46.31,317.76,31.80,552.01,55.67,29.38,268.30,242.67,3.97,3.97,0.2745,607.8921,37.0000,50.37,30.66,996.71,46.84,25.79
2024-07-01T00:01:13,46.28,318.00,31.83,552.44,55.67,29.38,268.31,242.67,3.88,3.88,0.2745,607.9323,37.0000,50.37,30.66,996.73,46.84,25.79
2024-07-01T00:01:18,46.31,317.88,31.81,552.21,49.15,25.94,270.76,244.90,3.77,3.77,0.2744,607.8388,37.0000,50.37,30.66,996.70,32.00,17.62
2024-07-01T00:01:23,46.30,318.08,31.83,552.56,28.95,15.28,260.91,235.99,3.89,3.89,0.2744,607.7987,37.0000,50.35,30.66,996.71,46.84,25.79
2024-07-01T00:01:28,46.35,317.60,31.83,551.74,69.35,36.60,280.62,253.81,4.09,4.09,0.2745,607.8618,37.0000,50.35,30.66,996.72,69.49,38.26
2024-07-01T00:01:33,46.30,317.87,31.81,552.20,56.31,29.72,253.52,229.30,4.16,4.16,0.2745,608.0249,37.0000,50.35,30.67,996.74,46.84,25.79
2024-07-01T00:01:38,46.28,317.72,31.83,551.94,41.99,22.16,258.45,233.76,4.34,4.34,0.2745,608.0420,37.0000,50.35,30.67,996.75,24.19,13.32
2024-07-01T00:01:43,46.28,318.05,31.81,552.50,55.66,29.38,263.38,238.22,4.38,4.38,0.2746,608.0892,37.0000,50.34,30.67,996.72,32.00,17.62
2024-07-01T00:01:48,46.30,317.81,31.81,552.09,49.15,25.94,258.44,233.76,4.28,4.28,0.2745,608.0471,37.0000,50.36,30.67,996.72,32.00,17.62
2024-07-01T00:01:53,46.30,317.43,31.81,551.42,56.31,29.72,258.44,233.76,4.11,4.11,0.2746,608.0562,37.0000,50.33,30.67,996.72,92.91,51.16
2024-07-01T00:01:58,46.32,317.32,31.84,551.24,48.50,25.60,290.47,262.73,3.98,3.98,0.2746,608.1302,37.0000,50.32,30.67,996.72,24.19,13.32
2024-07-01T00:02:03,46.28,317.39,31.81,551.36,55.66,29.38,248.60,224.85,3.82,3.82,0.2745,607.9607,37.0000,50.33,30.67,996.73,54.65,30.09
2024-07-01T00:02:08,46.31,316.88,31.81,550.50,49.15,25.94,270.77,244.90,3.68,3.68,0.2745,607.9145,37.0000,50.35,30.66,996.73,54.65,30.09
2024-07-01T00:02:13,46.28,316.93,31.81,550.54,56.31,29.72,273.22,247.13,3.61,3.61,0.2745,607.8912,37.0000,50.33,30.67,996.72,39.81,21.92
2024-07-01T00:02:18,46.31,317.36,31.83,551.31,56.31,29.72,273.23,247.13,3.59,3.59,0.2744,607.8404,37.0000,50.35,30.66,996.71,39.81,21.92
2024-07-01T00:02:23,46.28,317.74,31.83,551.96,62.83,33.16,263.38,238.22,3.55,3.55,0.2745,608.0298,37.0000,50.34,30.66,996.69,69.48,38.26
2024-07-01T00:02:28,46.30,317.94,31.80,552.30,70.01,36.95,288.00,260.50,3.73,3.73,0.2746,608.1148,37.0000,50.33,30.67,996.71,46.84,25.79
2024-07-01T00:02:33,46.31,318.01,31.83,552.43,62.83,33.16,258.45,233.76,3.94,3.94,0.2745,607.9659,37.0000,50.34,30.67,996.73,54.65,30.09
2024-07-01T00:02:38,46.28,317.66,31.81,551.81,41.98,22.16,260.91,235.99,4.14,4.14,0.2745,607.9840,37.0000,50.33,30.66,996.68,46.84,25.79
2024-07-01T00:02:43,46.30,317.68,31.81,551.85,82.38,43.48,253.51,229.30,4.22,4.22,0.2745,607.9207,37.0000,50.33,30.67,996.71,46.84,25.79
2024-07-01T00:02:48,46.27,317.35,31.81,551.29,28.29,14.93,273.23,247.13,4.16,4.16,0.2745,608.0443,37.0000,50.34,30.67,996.72,39.03,21.49
2024-07-01T00:02:53,46.33,317.04,31.83,550.74,28.95,15.28,280.61,253.81,4.24,4.24,0.2745,607.9439,37.0000,50.33,30.67,996.71,46.84,25.79
2024-07-01T00:02:58,46.35,317.29,31.81,551.17,42.63,22.50,270.75,244.90,4.63,4.63,0.2744,607.8176,37.0000,50.33,30.67,996.70,32.00,17.62
2024-07-01T00:03:03,46.30,317.40,31.81,551.36,55.66,29.38,258.44,233.76,4.75,4.75,0.2745,607.8434,37.0000,50.32,30.67,996.70,61.67,33.96
2024-07-01T00:03:08,46.30,317.17,31.81,550.95,62.18,32.82,248.59,224.85,4.72,4.72,0.2744,607.8178,37.0000,50.33,30.67,996.71,32.00,17.62
2024-07-01T00:03:13,46.26,317.82,31.84,552.07,69.34,36.60,270.75,244.90,4.61,4.61,0.2745,608.0079,37.0000,50.33,30.67,996.68,46.83,25.79
2024-07-01T00:03:18,46.32,318.01,31.81,552.43,62.83,33.16,263.38,238.22,4.53,4.53,0.2745,607.9832,37.0000,50.34,30.67,996.74,24.19,13.32
2024-07-01T00:03:23,46.31,317.89,31.81,552.21,49.15,25.94,273.22,247.13,4.53,4.53,0.2745,607.8812,37.0000,50.33,30.67,996.70,39.03,21.49
2024-07-01T00:03:28,46.32,317.26,31.80,551.09,69.34,36.60,285.53,258.27,4.51,4.51,0.2745,607.9430,37.0000,50.33,30.68,996.71,46.83,25.79
2024-07-01T00:03:33,46.32,318.01,31.81,552.42,69.34,36.60,246.13,222.62,4.58,4.58,0.2745,608.0146,37.0000,50.32,30.67,996.72,54.65,30.09
