timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-07T00:00:01,41.46,1308.50,26.13,2304.50,73.41,38.22,1215.89,1084.75,0.40,0.40,0.2199,493.7952,30.0000,46.45,24.95,991.48,55.33,30.05
2024-02-07T00:00:06,41.44,1309.01,26.14,2305.36,40.09,20.87,1246.22,1111.83,0.45,0.45,0.2204,494.8430,30.0000,46.49,24.95,991.46,47.43,25.76
2024-02-07T00:00:11,41.42,1308.93,26.13,2305.24,52.67,27.42,1265.54,1129.06,0.41,0.41,0.2205,495.0970,30.0000,46.49,24.94,991.44,64.99,35.30
2024-02-07T00:00:16,41.45,1308.76,26.14,2304.80,40.09,20.87,1279.27,1141.37,0.35,0.35,0.2204,494.8192,30.0000,46.46,24.95,991.41,56.21,30.53
2024-02-07T00:00:21,41.41,1308.95,26.14,2305.18,72.78,37.89,1235.14,1101.98,0.27,0.27,0.2200,494.0246,30.0000,46.45,24.94,991.39,30.73,16.69
2024-02-07T00:00:26,41.44,1308.30,26.14,2304.07,65.86,34.29,1243.45,1109.37,0.22,0.22,0.2200,493.9132,30.0000,46.48,24.94,991.41,48.29,26.23
2024-02-07T00:00:31,41.44,1308.25,26.17,2304.30,52.68,27.42,1273.97,1136.45,0.17,0.17,0.2202,494.4520,30.0000,46.53,24.94,991.55,30.73,16.69
2024-02-07T00:00:36,41.50,1307.47,26.14,2302.81,59.59,31.02,1240.80,1106.91,0.15,0.15,0.2203,494.7296,30.0000,46.49,24.94,991.50,64.11,34.82
2024-02-07T00:00:41,41.44,1307.10,26.13,2302.05,58.95,30.69,1257.29,1121.68,0.14,0.14,0.2197,493.2334,30.0000,46.42,24.95,991.49,47.43,25.76
2024-02-07T00:00:46,41.41,1306.16,26.13,2300.26,65.86,34.29,1271.01,1133.98,0.14,0.14,0.2198,493.4875,30.0000,46.43,24.94,991.40,72.89,39.59
2024-02-07T00:00:51,41.44,1306.50,26.13,2301.03,59.59,31.02,1265.58,1129.06,0.18,0.18,0.2197,493.3861,30.0000,46.43,24.94,991.47,56.21,30.53
2024-02-07T00:00:56,41.42,1306.76,26.14,2301.29,65.86,34.29,1259.96,1124.14,0.20,0.20,0.2197,493.2360,30.0000,46.41,24.95,991.42,47.43,25.76
2024-02-07T00:01:01,41.42,1306.55,26.12,2300.99,59.58,31.02,1237.92,1104.44,0.18,0.18,0.2197,493.3681,30.0000,46.46,24.95,991.45,48.29,26.23
