timestamp(UTC),NetCO2-HUM(%),NetCO2-CO2(ppm),NetCO2-TEMP(°C),NetCO2-CO2_ug,NetPid_P1-PPB(ppm),NetPid_P1-PPB_ug,NetPid_P1-TEMP(°C),NetADC_CO-CO_ug,NetADC_CO-CO( ppb),NetPM-PM10(µg/m3),NetPM-PM25(µg/m3),NetADC_O3-O3_ug,NetADC_O3-O3(ppb),NetBME280-PERC(%),NetBME280-TEMP_EXT(°C),NetBME280-HPA(hPa),NetADC_NO2-NO2_ug,NetADC_NO2-NO2(ppb)
2024-02-13T00:00:02,60.85,1480.27,19.33,2691.53,0.3798,880.4342,24.0000,5783.03,4997.31,1.20,0.95,105.60,53.25,70.70,17.75,998.88,53.61,28.20
2024-02-13T00:00:07,60.70,1479.47,19.34,2689.97,0.3800,880.8217,24.0000,5832.89,5040.57,1.13,0.90,78.55,39.61,70.76,17.76,998.88,71.45,37.59
2024-02-13T00:00:12,60.78,1479.25,19.34,2689.61,0.3798,880.3610,24.0000,5827.38,5035.76,1.11,0.88,104.31,52.60,70.79,17.76,998.89,72.35,38.06
2024-02-13T00:00:17,60.86,1479.55,19.33,2690.27,0.3795,879.6490,24.0000,5824.86,5033.36,1.19,0.94,78.55,39.61,70.86,17.75,998.90,64.31,33.83
2024-02-13T00:00:22,60.77,1479.38,19.34,2689.79,0.3794,879.4439,24.0000,5791.14,5004.52,1.07,0.85,72.10,36.36,70.64,17.76,998.88,63.41,33.36
2024-02-13T00:00:27,60.60,1479.11,19.33,2689.44,0.3792,879.0138,24.0000,5835.92,5042.97,0.97,0.77,78.55,39.61,70.45,17.75,998.89,45.56,23.97
2024-02-13T00:00:32,60.47,1478.99,19.33,2689.14,0.3799,880.7246,24.0000,5835.75,5042.97,0.94,0.74,110.75,55.85,70.33,17.76,998.90,98.24,51.68
2024-02-13T00:00:37,60.55,1478.95,19.31,2689.12,0.3801,881.2436,24.0000,5833.07,5040.57,0.96,0.76,64.39,32.47,70.74,17.75,998.88,63.41,33.36
2024-02-13T00:00:42,60.74,1480.13,19.33,2691.21,0.3802,881.2374,24.0000,5830.18,5038.17,1.02,0.81,90.78,45.78,70.86,17.76,998.89,89.30,46.98
2024-02-13T00:00:47,60.91,1479.89,19.34,2690.86,0.3801,881.1380,24.0000,5824.80,5033.36,1.19,0.94,71.47,36.04,70.83,17.75,998.89,55.37,29.13
2024-02-13T00:00:52,60.87,1479.60,19.33,2690.35,0.3799,880.7120,24.0000,5835.96,5042.97,1.31,1.04,78.55,39.61,70.75,17.75,998.90,72.35,38.06
2024-02-13T00:00:57,60.71,1478.88,19.31,2689.05,0.3801,881.1129,24.0000,5824.86,5033.36,1.37,1.09,78.55,39.61,70.67,17.75,998.90,55.37,29.13
2024-02-13T00:01:02,60.77,1479.17,19.33,2689.50,0.3805,882.0754,24.0000,5805.22,5016.53,1.42,1.13,85.00,42.86,70.72,17.76,998.91,46.46,24.44
2024-02-13T00:01:07,60.85,1477.82,19.33,2687.19,0.3798,880.5761,24.0000,5833.36,5040.57,1.49,1.19,84.35,42.53,70.80,17.75,998.93,38.42,20.21
2024-02-13T00:01:12,60.84,1477.37,19.34,2686.43,0.3794,879.4683,24.0000,5855.76,5059.80,1.50,1.20,85.00,42.86,70.71,17.74,998.92,63.42,33.36
2024-02-13T00:01:17,60.70,1476.43,19.31,2684.64,0.3796,879.9714,23.0000,5858.34,5062.20,1.61,1.29,72.11,36.36,70.47,17.75,998.92,54.50,28.67
2024-02-13T00:01:22,60.50,1476.24,19.33,2684.24,0.3800,880.9940,24.0000,5813.71,5023.74,1.65,1.32,91.42,46.10,70.32,17.75,998.90,55.37,29.13
2024-02-13T00:01:27,60.51,1476.08,19.34,2683.91,0.3804,881.8651,24.0000,5860.91,5064.60,1.71,1.36,104.31,52.60,70.46,17.75,998.88,81.26,42.75
2024-02-13T00:01:32,60.79,1475.56,19.31,2682.97,0.3803,881.5199,24.0000,5841.44,5047.78,1.60,1.28,77.90,39.28,70.82,17.75,998.88,64.31,33.83
2024-02-13T00:01:37,61.04,1475.63,19.33,2683.13,0.3808,882.7766,24.0000,5847.08,5052.59,1.64,1.32,85.00,42.86,70.92,17.76,998.93,72.35,38.06
2024-02-13T00:01:42,60.98,1475.87,19.33,2683.43,0.3804,881.8748,23.0000,5818.98,5028.55,1.64,1.32,65.66,33.11,70.83,17.76,998.88,54.50,28.67
2024-02-13T00:01:47,60.88,1476.60,19.31,2684.70,0.3804,881.7012,24.0000,5796.60,5009.32,1.59,1.28,91.42,46.10,70.61,17.76,998.86,46.46,24.44
2024-02-13T00:01:52,60.74,1477.35,19.31,2686.07,0.3807,882.4842,24.0000,5830.00,5038.17,1.56,1.25,104.31,52.60,70.67,17.76,998.86,98.23,51.68
2024-02-13T00:01:57,60.92,1477.56,19.31,2686.52,0.3811,883.5341,23.0000,5857.95,5062.20,1.60,1.29,77.26,38.96,71.02,17.76,998.89,72.35,38.06
2024-02-13T00:02:02,61.23,1477.29,19.33,2686.05,0.3808,882.6936,24.0000,5852.44,5057.39,1.52,1.22,64.39,32.47,71.19,17.76,998.90,72.35,38.06
2024-02-13T00:02:07,61.39,1476.18,19.30,2684.02,0.3803,881.4912,24.0000,5902.47,5100.66,1.48,1.20,90.78,45.78,71.20,17.76,998.89,72.35,38.06
2024-02-13T00:02:12,61.26,1475.97,19.30,2683.72,0.3806,882.3946,24.0000,5838.69,5045.38,1.41,1.14,91.42,46.10,71.06,17.76,998.92,72.35,38.06
2024-02-13T00:02:17,61.14,1476.68,19.30,2684.95,0.3805,882.1516,24.0000,5860.79,5064.60,1.28,1.04,91.42,46.10,71.04,17.75,998.86,55.37,29.13
2024-02-13T00:02:22,61.18,1476.31,19.31,2684.28,0.3808,882.7504,24.0000,5835.76,5042.97,1.16,0.94,91.42,46.10,71.17,17.76,998.90,73.24,38.53
